variant,segment,net_profit,profit_factor,max_drawdown_pct,total_trades,percent_profitable,avg_trade,expectancy,allow_longs,allow_shorts,enable_add_on_entries
long_only,full_sample,1207.6130452647485,2.0917050470765797,0.5486693266300358,88.0,30.681818181818183,13.722875514372832,13.722875514372832,True,False,True
long_only,2019_2022,1167.0071047592937,2.741147531146802,0.5486693266300358,48.0,37.5,24.312648015818834,24.312648015818834,True,False,True
long_only,2023_2024,78.16907997752423,1.1805519982307675,0.2735614629405747,34.0,26.47058823529412,2.2990905875721803,2.2990905875721803,True,False,True
long_only,2025_2026,-5.931829400913557,0.0,0.052473791790474955,3.0,0.0,-1.9772764669709268,-1.9772764669709268,True,False,True
short_only,full_sample,-28.43767384137027,0.0,0.0849759216977164,1.0,0.0,-28.43767384136623,-28.43767384136623,False,True,True
short_only,2019_2022,-28.43767384137027,0.0,0.0849759216977164,1.0,0.0,-28.43767384136623,-28.43767384136623,False,True,True
short_only,2023_2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True
short_only,2025_2026,-221.55237640468113,0.009992743708202374,0.3325114757916525,4.0,25.0,-55.388094101167844,-55.388094101167844,False,True,True
long_only_no_addons,full_sample,1207.6130452647485,2.0917050470765797,0.5486693266300358,88.0,30.681818181818183,13.722875514372832,13.722875514372832,True,False,False
long_only_no_addons,2019_2022,1167.0071047592937,2.741147531146802,0.5486693266300358,48.0,37.5,24.312648015818834,24.312648015818834,True,False,False
long_only_no_addons,2023_2024,78.16907997752423,1.1805519982307675,0.2735614629405747,34.0,26.47058823529412,2.2990905875721803,2.2990905875721803,True,False,False
long_only_no_addons,2025_2026,-5.931829400913557,0.0,0.052473791790474955,3.0,0.0,-1.9772764669709268,-1.9772764669709268,True,False,False
short_only_no_addons,full_sample,-28.43767384137027,0.0,0.0849759216977164,1.0,0.0,-28.43767384136623,-28.43767384136623,False,True,False
short_only_no_addons,2019_2022,-28.43767384137027,0.0,0.0849759216977164,1.0,0.0,-28.43767384136623,-28.43767384136623,False,True,False
short_only_no_addons,2023_2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False
short_only_no_addons,2025_2026,-221.55237640468113,0.009992743708202374,0.3325114757916525,4.0,25.0,-55.388094101167844,-55.388094101167844,False,True,False
