candidate,scope,net_pnl,top3_market_concentration_pct,top5_market_concentration_pct,top10_positive_trade_contribution_pct,interpretation
C_volatility_compression_breakout_v2,holdout,-1013.754826,,,,not_pass_evidence_when_aggregate_nonpositive
D_volatility_expansion_continuation,holdout,-1347.506852,,,,not_pass_evidence_when_aggregate_nonpositive
E_true_mean_reversion_v2,holdout,-311.780778,,,,not_pass_evidence_when_aggregate_nonpositive
F_relative_strength_rotation,holdout,-508.316127,,,,not_pass_evidence_when_aggregate_nonpositive
H_market_family_framework_v2,holdout,-100.384302,,,,not_pass_evidence_when_aggregate_nonpositive
I_defensive_short_only,holdout,-409.835472,,,,not_pass_evidence_when_aggregate_nonpositive
J_long_short_regime_switch,holdout,-3293.525453,,,,not_pass_evidence_when_aggregate_nonpositive
K_liquidation_wick_bounce,holdout,769.166224,111.070671,149.002892,136.362996,concentration_risk
L_breakout_failure_reversal,holdout,-634.515462,,,,not_pass_evidence_when_aggregate_nonpositive
C_volatility_compression_breakout_v2,later_fetched,-21.761822,,,,not_pass_evidence_when_aggregate_nonpositive
D_volatility_expansion_continuation,later_fetched,-45.478828,,,,not_pass_evidence_when_aggregate_nonpositive
E_true_mean_reversion_v2,later_fetched,0.0,,,,no_trades
F_relative_strength_rotation,later_fetched,0.0,,,,no_trades
H_market_family_framework_v2,later_fetched,0.0,,,,no_trades
I_defensive_short_only,later_fetched,0.0,,,,no_trades
J_long_short_regime_switch,later_fetched,-13.269553,,,,not_pass_evidence_when_aggregate_nonpositive
K_liquidation_wick_bounce,later_fetched,-35.427328,,,,not_pass_evidence_when_aggregate_nonpositive
L_breakout_failure_reversal,later_fetched,-33.70957,,,,not_pass_evidence_when_aggregate_nonpositive
