scope,candidate,candidate_net_pnl,candidate_profit_factor,reference,reference_net_pnl,reference_profit_factor,candidate_minus_reference_net_pnl,interpretation
holdout,C_volatility_compression_breakout_v2,-1013.754826,0.836443,failed_Long1_only_holdout,-69.89,0.9832,-943.864826,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,C_volatility_compression_breakout_v2,-1013.754826,0.836443,D2_dry_run_reference,-51.92,,-961.834826,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,C_volatility_compression_breakout_v2,-1013.754826,0.836443,D6_early_stop_dry_run_reference,-103.78,,-909.974826,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,C_volatility_compression_breakout_v2,-1013.754826,0.836443,cooldown_after_exit_validation,-91.46,0.9725,-922.294826,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,C_volatility_compression_breakout_v2,-1013.754826,0.836443,anti_chase_validation,-225.26,0.9445,-788.494826,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,C_volatility_compression_breakout_v2,-1013.754826,0.836443,regime_filtered_long_only_validation,-266.26,0.9318,-747.494826,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,C_volatility_compression_breakout_v2,-1013.754826,0.836443,Candidate_D_later_data_failure,-174.23,0.1313,-839.524826,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,D_volatility_expansion_continuation,-1347.506852,0.761991,failed_Long1_only_holdout,-69.89,0.9832,-1277.616852,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,D_volatility_expansion_continuation,-1347.506852,0.761991,D2_dry_run_reference,-51.92,,-1295.586852,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,D_volatility_expansion_continuation,-1347.506852,0.761991,D6_early_stop_dry_run_reference,-103.78,,-1243.726852,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,D_volatility_expansion_continuation,-1347.506852,0.761991,cooldown_after_exit_validation,-91.46,0.9725,-1256.046852,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,D_volatility_expansion_continuation,-1347.506852,0.761991,anti_chase_validation,-225.26,0.9445,-1122.246852,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,D_volatility_expansion_continuation,-1347.506852,0.761991,regime_filtered_long_only_validation,-266.26,0.9318,-1081.246852,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,D_volatility_expansion_continuation,-1347.506852,0.761991,Candidate_D_later_data_failure,-174.23,0.1313,-1173.276852,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,E_true_mean_reversion_v2,-311.780778,0.63491,failed_Long1_only_holdout,-69.89,0.9832,-241.890778,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,E_true_mean_reversion_v2,-311.780778,0.63491,D2_dry_run_reference,-51.92,,-259.860778,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,E_true_mean_reversion_v2,-311.780778,0.63491,D6_early_stop_dry_run_reference,-103.78,,-208.000778,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,E_true_mean_reversion_v2,-311.780778,0.63491,cooldown_after_exit_validation,-91.46,0.9725,-220.320778,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,E_true_mean_reversion_v2,-311.780778,0.63491,anti_chase_validation,-225.26,0.9445,-86.520778,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,E_true_mean_reversion_v2,-311.780778,0.63491,regime_filtered_long_only_validation,-266.26,0.9318,-45.520778,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,E_true_mean_reversion_v2,-311.780778,0.63491,Candidate_D_later_data_failure,-174.23,0.1313,-137.550778,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,F_relative_strength_rotation,-508.316127,0.96795,failed_Long1_only_holdout,-69.89,0.9832,-438.426127,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,F_relative_strength_rotation,-508.316127,0.96795,D2_dry_run_reference,-51.92,,-456.396127,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,F_relative_strength_rotation,-508.316127,0.96795,D6_early_stop_dry_run_reference,-103.78,,-404.536127,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,F_relative_strength_rotation,-508.316127,0.96795,cooldown_after_exit_validation,-91.46,0.9725,-416.856127,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,F_relative_strength_rotation,-508.316127,0.96795,anti_chase_validation,-225.26,0.9445,-283.056127,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,F_relative_strength_rotation,-508.316127,0.96795,regime_filtered_long_only_validation,-266.26,0.9318,-242.056127,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,F_relative_strength_rotation,-508.316127,0.96795,Candidate_D_later_data_failure,-174.23,0.1313,-334.086127,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,H_market_family_framework_v2,-100.384302,0.914281,failed_Long1_only_holdout,-69.89,0.9832,-30.494302,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,H_market_family_framework_v2,-100.384302,0.914281,D2_dry_run_reference,-51.92,,-48.464302,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,H_market_family_framework_v2,-100.384302,0.914281,D6_early_stop_dry_run_reference,-103.78,,3.395698,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,H_market_family_framework_v2,-100.384302,0.914281,cooldown_after_exit_validation,-91.46,0.9725,-8.924302,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,H_market_family_framework_v2,-100.384302,0.914281,anti_chase_validation,-225.26,0.9445,124.875698,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,H_market_family_framework_v2,-100.384302,0.914281,regime_filtered_long_only_validation,-266.26,0.9318,165.875698,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,H_market_family_framework_v2,-100.384302,0.914281,Candidate_D_later_data_failure,-174.23,0.1313,73.845698,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,I_defensive_short_only,-409.835472,0.731404,failed_Long1_only_holdout,-69.89,0.9832,-339.945472,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,I_defensive_short_only,-409.835472,0.731404,D2_dry_run_reference,-51.92,,-357.915472,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
holdout,I_defensive_short_only,-409.835472,0.731404,D6_early_stop_dry_run_reference,-103.78,,-306.055472,beating_failed_reference_is_not_enough_must_beat_no_trade_and_later_gate
