scope,candidate,family,trade_count,net_pnl,profit_factor,max_dd_pct,win_rate,avg_trade,median_trade,gross_profit,gross_loss,fees,avg_hold_bars,median_hold_bars,stop_loss_count,take_profit_count,time_stop_count,ema_touch_count
holdout,C_volatility_compression_breakout_v2,defi,38,-31.860795,0.955873,0.222444,31.578947,-0.838442,-21.85611,690.158546,722.019341,38.003071,4.947368,4.0,23,10,3,0
holdout,C_volatility_compression_breakout_v2,large_alts,184,-753.719869,0.734434,0.808459,29.891304,-4.096304,-16.221783,2084.439504,2838.159373,183.714998,5.5,4.0,98,40,20,0
holdout,C_volatility_compression_breakout_v2,majors,53,-242.217401,0.598612,0.267514,26.415094,-4.57014,-12.265319,361.232261,603.449662,52.905344,4.849057,4.0,32,11,6,0
holdout,C_volatility_compression_breakout_v2,meme_high_beta,24,-208.843177,0.608117,0.267309,25.0,-8.701799,-26.533436,324.07942,532.922597,23.907532,4.333333,3.0,16,6,0,0
holdout,C_volatility_compression_breakout_v2,other,130,222.886416,1.148431,0.24192,37.692308,1.714511,-7.966103,1724.504005,1501.617589,130.176531,6.238462,5.0,52,32,20,0
holdout,D_volatility_expansion_continuation,defi,30,-572.368807,0.493574,0.602062,23.333333,-19.07896,-43.026139,557.843482,1130.212289,29.72868,6.033333,5.5,16,4,6,0
holdout,D_volatility_expansion_continuation,large_alts,97,-464.327696,0.80963,0.773045,34.020619,-4.786883,-26.284985,1974.757201,2439.084897,96.816244,5.618557,5.0,52,21,20,0
holdout,D_volatility_expansion_continuation,majors,12,-47.342478,0.68726,0.091624,33.333333,-3.945207,-4.510192,104.036986,151.379464,11.98232,7.333333,10.0,4,1,7,0
holdout,D_volatility_expansion_continuation,meme_high_beta,9,258.829903,2.865351,0.092653,55.555556,28.758878,55.496324,397.586594,138.756691,9.133982,5.444444,4.0,4,4,1,0
holdout,D_volatility_expansion_continuation,other,77,-522.297775,0.710181,1.191316,31.168831,-6.783088,-22.331379,1279.852992,1802.150767,76.77724,5.545455,5.0,43,15,12,0
holdout,E_true_mean_reversion_v2,defi,7,15.039577,1.206919,0.052689,57.142857,2.148511,19.226419,87.722828,72.68325,7.011025,2.857143,2.0,3,2,2,0
holdout,E_true_mean_reversion_v2,large_alts,20,-168.4655,0.520715,0.086906,45.0,-8.423275,-11.799092,183.027888,351.493387,19.92573,3.35,3.0,10,4,6,0
holdout,E_true_mean_reversion_v2,majors,10,-33.223451,0.622364,0.038761,40.0,-3.322345,-9.118581,54.754053,87.977504,9.988382,2.2,1.5,6,3,1,0
holdout,E_true_mean_reversion_v2,meme_high_beta,3,-15.212208,0.775729,0.0,66.666667,-5.070736,11.722993,52.617375,67.829584,2.993891,4.333333,4.0,1,1,1,0
holdout,E_true_mean_reversion_v2,other,18,-109.919196,0.598835,0.249068,50.0,-6.106622,-2.73952,164.080542,273.999738,17.954017,2.611111,2.0,8,6,4,0
holdout,F_relative_strength_rotation,defi,77,-662.37038,0.687992,0.668528,28.571429,-8.602213,-31.79925,1460.55543,2122.925811,76.707168,7.441558,7.0,35,12,16,0
holdout,F_relative_strength_rotation,large_alts,359,268.231674,1.036039,0.783783,39.554318,0.747163,-20.956165,7711.003395,7442.771721,359.313773,6.470752,5.0,175,87,66,0
holdout,F_relative_strength_rotation,majors,50,172.624141,1.257399,0.233867,42.0,3.452483,-7.836746,843.272038,670.647898,50.111368,7.62,8.0,18,11,13,0
holdout,F_relative_strength_rotation,meme_high_beta,48,536.571495,1.517701,0.205881,47.916667,11.178573,-11.796341,1573.022431,1036.450937,48.292432,6.645833,6.0,17,15,9,0
holdout,F_relative_strength_rotation,other,207,-823.373056,0.820501,1.219486,37.681159,-3.977648,-20.375568,3763.689544,4587.0626,206.691659,6.444444,6.0,101,48,38,0
holdout,H_market_family_framework_v2,defi,40,115.423675,1.172734,0.354339,45.0,2.885592,-14.825563,783.64092,668.217244,40.077751,4.25,4.0,19,4,7,10
holdout,H_market_family_framework_v2,large_alts,20,-168.4655,0.520715,0.086906,45.0,-8.423275,-11.799092,183.027888,351.493387,19.92573,3.35,3.0,10,4,6,0
holdout,H_market_family_framework_v2,majors,12,-47.342478,0.68726,0.091624,33.333333,-3.945207,-4.510192,104.036986,151.379464,11.98232,7.333333,10.0,4,1,7,0
holdout,H_market_family_framework_v2,meme_high_beta,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,H_market_family_framework_v2,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,defi,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,large_alts,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,majors,69,-409.835472,0.731404,0.659739,34.782609,-5.939645,-20.378425,1116.005805,1525.841277,69.170333,6.768116,6.0,30,13,18,0
holdout,I_defensive_short_only,meme_high_beta,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,J_long_short_regime_switch,defi,23,-506.434217,0.438977,0.493874,21.73913,-22.018879,-47.008969,396.263598,902.697815,22.758162,6.0,5.0,12,2,6,0
holdout,J_long_short_regime_switch,large_alts,200,-2391.867084,0.639786,3.725523,31.5,-11.959335,-32.070844,4248.263452,6640.130536,201.161941,6.265,5.0,95,43,48,0
holdout,J_long_short_regime_switch,majors,72,-472.963263,0.696658,0.724507,34.722222,-6.568934,-20.092011,1086.213775,1559.177038,72.165475,6.819444,6.0,32,13,22,0
holdout,J_long_short_regime_switch,meme_high_beta,6,215.213883,3.642576,0.035337,66.666667,35.86898,60.203003,296.654827,81.440944,6.110662,5.333333,5.0,2,3,1,0
holdout,J_long_short_regime_switch,other,57,-137.474773,0.901261,0.850998,35.087719,-2.411838,-23.96312,1254.830714,1392.305486,56.959742,5.421053,5.0,31,15,6,0
holdout,K_liquidation_wick_bounce,defi,40,115.423675,1.172734,0.354339,45.0,2.885592,-14.825563,783.64092,668.217244,40.077751,4.25,4.0,19,4,7,10
holdout,K_liquidation_wick_bounce,large_alts,282,541.532469,1.125237,0.777775,51.41844,1.920328,1.952364,4865.603839,4324.07137,282.411972,3.960993,3.0,119,39,52,72
holdout,K_liquidation_wick_bounce,majors,93,127.448664,1.119848,0.271809,52.688172,1.370416,6.524716,1190.867438,1063.418774,93.110279,3.83871,3.0,40,15,18,20
holdout,K_liquidation_wick_bounce,meme_high_beta,27,-132.60943,0.765275,0.279076,48.148148,-4.91146,-9.569748,432.347246,564.956676,26.947169,4.444444,4.0,12,3,7,5
holdout,K_liquidation_wick_bounce,other,169,117.370845,1.046856,0.676761,44.970414,0.694502,-7.421616,2622.291827,2504.920982,169.143257,3.863905,3.0,82,21,21,45
holdout,L_breakout_failure_reversal,defi,183,118.893061,1.098055,0.134642,52.459016,0.649689,0.690771,1331.40616,1212.513099,182.849129,1.142077,1.0,17,8,0,0
holdout,L_breakout_failure_reversal,large_alts,982,-696.913191,0.880822,0.943534,47.046843,-0.709688,-0.944666,5150.735415,5847.648606,981.857528,1.090631,1.0,94,44,0,0
holdout,L_breakout_failure_reversal,majors,288,-33.255989,0.9688,0.204014,48.263889,-0.115472,-0.223473,1032.640435,1065.896425,287.872692,1.131944,1.0,21,15,2,0
holdout,L_breakout_failure_reversal,meme_high_beta,110,-183.777377,0.797153,0.378974,45.454545,-1.670703,-2.329746,722.214672,905.992049,110.03687,1.054545,1.0,14,3,0,0
