scope,candidate,market,family,trade_count,net_pnl,profit_factor,max_dd_pct,win_rate,avg_trade,median_trade,gross_profit,gross_loss,fees,avg_hold_bars,median_hold_bars,stop_loss_count,take_profit_count,time_stop_count,ema_touch_count
holdout,C_volatility_compression_breakout_v2,AAVEUSDT,defi,24,-107.48051,0.770993,0.229263,29.166667,-4.478355,-23.047796,361.851617,469.332127,23.958239,5.25,4.0,14,5,3,0
holdout,C_volatility_compression_breakout_v2,ADAUSDT,large_alts,20,-33.575273,0.879023,0.067241,35.0,-1.678764,-16.177197,243.959183,277.534456,19.993209,5.8,4.5,8,4,3,0
holdout,C_volatility_compression_breakout_v2,ATOMUSDT,other,25,-31.636858,0.90869,0.062587,32.0,-1.265474,-13.630581,314.841173,346.47803,24.99668,5.56,4.0,12,6,3,0
holdout,C_volatility_compression_breakout_v2,AVAXUSDT,large_alts,20,-87.343792,0.778278,0.305624,35.0,-4.36719,-24.532541,306.59087,393.934662,19.966311,5.6,4.0,12,5,2,0
holdout,C_volatility_compression_breakout_v2,BCHUSDT,large_alts,16,-246.048002,0.221185,0.224345,18.75,-15.378,-23.882809,69.877918,315.925921,15.884918,4.6875,3.5,10,1,1,0
holdout,C_volatility_compression_breakout_v2,BNBUSDT,large_alts,27,-192.763868,0.328628,0.189699,18.518519,-7.139403,-11.515518,94.355392,287.119261,26.917077,5.444444,4.0,15,3,6,0
holdout,C_volatility_compression_breakout_v2,BTCUSDT,majors,24,-111.713891,0.521846,0.124476,29.166667,-4.654745,-11.301583,121.921727,233.635618,23.956121,5.0,3.5,13,5,3,0
holdout,C_volatility_compression_breakout_v2,DOGEUSDT,meme_high_beta,24,-208.843177,0.608117,0.267309,25.0,-8.701799,-26.533436,324.07942,532.922597,23.907532,4.333333,3.0,16,6,0,0
holdout,C_volatility_compression_breakout_v2,DOTUSDT,other,20,34.285567,1.121101,0.095471,35.0,1.714278,-21.579837,317.400209,283.114642,20.027156,6.2,5.0,8,6,0,0
holdout,C_volatility_compression_breakout_v2,ETCUSDT,other,24,-115.341033,0.66415,0.16866,29.166667,-4.805876,-18.724831,228.08893,343.429963,23.954307,6.458333,5.5,11,3,5,0
