scope,candidate,candidate_net_pnl,no_trade_net_pnl,candidate_minus_no_trade,no_trade_preferred,interpretation
holdout,A_no_trade_control,0.0,0.0,0.0,baseline,capital_preservation_default
holdout,C_volatility_compression_breakout_v2,-1013.754826,0.0,-1013.754826,True,must_beat_no_trade_to_survive
holdout,D_volatility_expansion_continuation,-1347.506852,0.0,-1347.506852,True,must_beat_no_trade_to_survive
holdout,E_true_mean_reversion_v2,-311.780778,0.0,-311.780778,True,must_beat_no_trade_to_survive
holdout,F_relative_strength_rotation,-508.316127,0.0,-508.316127,True,must_beat_no_trade_to_survive
holdout,H_market_family_framework_v2,-100.384302,0.0,-100.384302,True,must_beat_no_trade_to_survive
holdout,I_defensive_short_only,-409.835472,0.0,-409.835472,True,must_beat_no_trade_to_survive
holdout,J_long_short_regime_switch,-3293.525453,0.0,-3293.525453,True,must_beat_no_trade_to_survive
holdout,K_liquidation_wick_bounce,769.166224,0.0,769.166224,False,must_beat_no_trade_to_survive
holdout,L_breakout_failure_reversal,-634.515462,0.0,-634.515462,True,must_beat_no_trade_to_survive
later_fetched,A_no_trade_control,0.0,0.0,0.0,baseline,capital_preservation_default
later_fetched,C_volatility_compression_breakout_v2,-21.761822,0.0,-21.761822,True,must_beat_no_trade_to_survive
later_fetched,D_volatility_expansion_continuation,-45.478828,0.0,-45.478828,True,must_beat_no_trade_to_survive
later_fetched,E_true_mean_reversion_v2,0.0,0.0,0.0,True,must_beat_no_trade_to_survive
later_fetched,F_relative_strength_rotation,0.0,0.0,0.0,True,must_beat_no_trade_to_survive
later_fetched,H_market_family_framework_v2,0.0,0.0,0.0,True,must_beat_no_trade_to_survive
later_fetched,I_defensive_short_only,0.0,0.0,0.0,True,must_beat_no_trade_to_survive
later_fetched,J_long_short_regime_switch,-13.269553,0.0,-13.269553,True,must_beat_no_trade_to_survive
later_fetched,K_liquidation_wick_bounce,-35.427328,0.0,-35.427328,True,must_beat_no_trade_to_survive
later_fetched,L_breakout_failure_reversal,-33.70957,0.0,-33.70957,True,must_beat_no_trade_to_survive
