row_seq,inst_id,trade_id,ts,ts_utc,px,sz,side,page_seq,raw_path
1,BTC-USDT-SWAP,2624693695,1779790362756,2026-05-26T10:12:42.756000+00:00,76647.8,0.08,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
2,BTC-USDT-SWAP,2624693694,1779790362756,2026-05-26T10:12:42.756000+00:00,76647.8,0.02,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
3,BTC-USDT-SWAP,2624693696,1779790363675,2026-05-26T10:12:43.675000+00:00,76647.7,2,sell,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
4,BTC-USDT-SWAP,2624693697,1779790364061,2026-05-26T10:12:44.061000+00:00,76647.8,0.36,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
5,BTC-USDT-SWAP,2624693698,1779790364239,2026-05-26T10:12:44.239000+00:00,76647.8,0.93,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
6,BTC-USDT-SWAP,2624693702,1779790364860,2026-05-26T10:12:44.860000+00:00,76647.8,63.98,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
7,BTC-USDT-SWAP,2624693701,1779790364860,2026-05-26T10:12:44.860000+00:00,76647.8,0.01,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
8,BTC-USDT-SWAP,2624693700,1779790364860,2026-05-26T10:12:44.860000+00:00,76647.8,0.01,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
9,BTC-USDT-SWAP,2624693699,1779790364860,2026-05-26T10:12:44.860000+00:00,76647.8,1,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
10,BTC-USDT-SWAP,2624693703,1779790364877,2026-05-26T10:12:44.877000+00:00,76647.8,0.1,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
11,BTC-USDT-SWAP,2624693704,1779790365488,2026-05-26T10:12:45.488000+00:00,76647.8,5,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
12,BTC-USDT-SWAP,2624693705,1779790366029,2026-05-26T10:12:46.029000+00:00,76647.8,0.15,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
13,BTC-USDT-SWAP,2624693720,1779790367127,2026-05-26T10:12:47.127000+00:00,76648.3,0.08,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
14,BTC-USDT-SWAP,2624693719,1779790367127,2026-05-26T10:12:47.127000+00:00,76648.3,0.01,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
15,BTC-USDT-SWAP,2624693718,1779790367127,2026-05-26T10:12:47.127000+00:00,76648.3,0.05,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
16,BTC-USDT-SWAP,2624693717,1779790367127,2026-05-26T10:12:47.127000+00:00,76648.3,0.05,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
17,BTC-USDT-SWAP,2624693716,1779790367127,2026-05-26T10:12:47.127000+00:00,76648.1,0.08,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
18,BTC-USDT-SWAP,2624693715,1779790367127,2026-05-26T10:12:47.127000+00:00,76648.1,0.01,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
19,BTC-USDT-SWAP,2624693714,1779790367127,2026-05-26T10:12:47.127000+00:00,76648,0.08,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
20,BTC-USDT-SWAP,2624693713,1779790367127,2026-05-26T10:12:47.127000+00:00,76648,0.01,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
21,BTC-USDT-SWAP,2625003396,1779796795892,2026-05-26T11:59:55.892000+00:00,77155.3,0.9,sell,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
22,BTC-USDT-SWAP,2625003397,1779796796513,2026-05-26T11:59:56.513000+00:00,77155.4,2.91,buy,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
23,BTC-USDT-SWAP,2625003406,1779796796811,2026-05-26T11:59:56.811000+00:00,77155.4,46.2,buy,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
24,BTC-USDT-SWAP,2625003405,1779796796811,2026-05-26T11:59:56.811000+00:00,77155.4,0.63,buy,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
