spot_style_symbol,base_asset,quote_asset,okx_swap_inst_id,ccxt_symbol,visibility_requirement,audit_requirement
AAVEUSDT,AAVE,USDT,AAVE-USDT-SWAP,AAVE/USDT:USDT,required_visible_same_19_market_universe,audit_exact_instrument_historical_oi
ADAUSDT,ADA,USDT,ADA-USDT-SWAP,ADA/USDT:USDT,required_visible_same_19_market_universe,audit_exact_instrument_historical_oi
ATOMUSDT,ATOM,USDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,required_visible_same_19_market_universe,audit_exact_instrument_historical_oi
AVAXUSDT,AVAX,USDT,AVAX-USDT-SWAP,AVAX/USDT:USDT,required_visible_same_19_market_universe,audit_exact_instrument_historical_oi
BCHUSDT,BCH,USDT,BCH-USDT-SWAP,BCH/USDT:USDT,required_visible_same_19_market_universe,audit_exact_instrument_historical_oi
BNBUSDT,BNB,USDT,BNB-USDT-SWAP,BNB/USDT:USDT,required_visible_same_19_market_universe,audit_exact_instrument_historical_oi
BTCUSDT,BTC,USDT,BTC-USDT-SWAP,BTC/USDT:USDT,required_visible_anchor_and_market,audit_exact_instrument_historical_oi
DOGEUSDT,DOGE,USDT,DOGE-USDT-SWAP,DOGE/USDT:USDT,required_visible_prior_weak_market,audit_exact_instrument_historical_oi
DOTUSDT,DOT,USDT,DOT-USDT-SWAP,DOT/USDT:USDT,required_visible_prior_weak_market,audit_exact_instrument_historical_oi
ETCUSDT,ETC,USDT,ETC-USDT-SWAP,ETC/USDT:USDT,required_visible_same_19_market_universe,audit_exact_instrument_historical_oi
ETHUSDT,ETH,USDT,ETH-USDT-SWAP,ETH/USDT:USDT,required_visible_same_19_market_universe,audit_exact_instrument_historical_oi
FILUSDT,FIL,USDT,FIL-USDT-SWAP,FIL/USDT:USDT,required_visible_same_19_market_universe,audit_exact_instrument_historical_oi
LINKUSDT,LINK,USDT,LINK-USDT-SWAP,LINK/USDT:USDT,required_visible_same_19_market_universe,audit_exact_instrument_historical_oi
LTCUSDT,LTC,USDT,LTC-USDT-SWAP,LTC/USDT:USDT,required_visible_same_19_market_universe,audit_exact_instrument_historical_oi
NEARUSDT,NEAR,USDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,required_visible_same_19_market_universe,audit_exact_instrument_historical_oi
SOLUSDT,SOL,USDT,SOL-USDT-SWAP,SOL/USDT:USDT,required_visible_same_19_market_universe,audit_exact_instrument_historical_oi
TRXUSDT,TRX,USDT,TRX-USDT-SWAP,TRX/USDT:USDT,required_visible_same_19_market_universe,audit_exact_instrument_historical_oi
UNIUSDT,UNI,USDT,UNI-USDT-SWAP,UNI/USDT:USDT,required_visible_prior_weak_market,audit_exact_instrument_historical_oi
XRPUSDT,XRP,USDT,XRP-USDT-SWAP,XRP/USDT:USDT,required_visible_same_19_market_universe,audit_exact_instrument_historical_oi
