market,okx_inst_id,source,row_count,earliest_timestamp,latest_timestamp,sampling_interval,gap_count,duplicate_timestamps,timezone,notes
AAVEUSDT,AAVE-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
ADAUSDT,ADA-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
ATOMUSDT,ATOM-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,719,2026-04-23T16:00:00+00:00,2026-05-23T14:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
AVAXUSDT,AVAX-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
BCHUSDT,BCH-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
BNBUSDT,BNB-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
BTCUSDT,BTC-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
DOGEUSDT,DOGE-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
DOTUSDT,DOT-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
ETCUSDT,ETC-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
ETHUSDT,ETH-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
FILUSDT,FIL-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
LINKUSDT,LINK-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
LTCUSDT,LTC-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
NEARUSDT,NEAR-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
SOLUSDT,SOL-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
TRXUSDT,TRX-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
UNIUSDT,UNI-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
XRPUSDT,XRP-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,720,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,60m,0,0,UTC_epoch_ms,gap count is relative to modal historical interval; exact-instrument history remains unproven
