market,okx_inst_id,current_exact_fields_present,current_oi_contracts,current_oi_ccy,current_oi_usd,historical_value_latest,historical_unit_assessment,contract_vs_base_assessment,conversion_possible,unit_stable_over_time,cross_market_comparison_valid,current_vs_historical_reconcile,aggregate_detection
AAVEUSDT,AAVE-USDT-SWAP,True,1587919.9000000004,158791.99000000005,13565599.705700004,14041714.909,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,aggregate_or_currency_route_instid_not_honored
ADAUSDT,ADA-USDT-SWAP,True,1268962.8000000007,126896280.00000007,30861175.29600002,35229403.326,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,aggregate_or_currency_route_instid_not_honored
ATOMUSDT,ATOM-USDT-SWAP,True,2746904.0,2746904.0,5661369.144,5895220.422,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,not_proven_exact_instrument
AVAXUSDT,AVAX-USDT-SWAP,True,1665495.1999999997,1665495.1999999997,15242612.070399996,16494695.6473,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,aggregate_or_currency_route_instid_not_honored
BCHUSDT,BCH-USDT-SWAP,True,989084.2999999999,98908.43,34598168.813999996,40040096.166,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,aggregate_or_currency_route_instid_not_honored
BNBUSDT,BNB-USDT-SWAP,True,7378432.0,73784.32,47834374.656,48470440.688,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,aggregate_or_currency_route_instid_not_honored
BTCUSDT,BTC-USDT-SWAP,True,3518904.750000024,35189.04750000024,2660147715.9052687,3457886178.4022,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,aggregate_or_currency_route_instid_not_honored
DOGEUSDT,DOGE-USDT-SWAP,True,1013527.0899999995,1013527089.9999995,102802052.73869994,135439819.4106,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,aggregate_or_currency_route_instid_not_honored
DOTUSDT,DOT-USDT-SWAP,True,7997759.0,7997759.0,9941214.437,13092088.27,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,not_proven_exact_instrument
ETCUSDT,ETC-USDT-SWAP,True,79948.23000000003,799482.3000000003,7097803.859400002,9536349.1407,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,aggregate_or_currency_route_instid_not_honored
ETHUSDT,ETH-USDT-SWAP,True,7985723.330000008,798572.3330000008,1650010154.4446018,1990757820.8383,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,aggregate_or_currency_route_instid_not_honored
FILUSDT,FIL-USDT-SWAP,True,138268780.0,13826878.0,13196372.3632,17014391.8192,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,aggregate_or_currency_route_instid_not_honored
LINKUSDT,LINK-USDT-SWAP,True,2817217.9000000004,2817217.9000000004,26355073.4545,31673518.9507,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,aggregate_or_currency_route_instid_not_honored
LTCUSDT,LTC-USDT-SWAP,True,481129.6999999997,481129.6999999997,25418082.050999984,31790314.328,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,aggregate_or_currency_route_instid_not_honored
NEARUSDT,NEAR-USDT-SWAP,True,1883300.2,18833002.0,41715099.43,41484590.6389,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,aggregate_or_currency_route_instid_not_honored
SOLUSDT,SOL-USDT-SWAP,True,2913343.090000004,2913343.090000004,245798756.50330037,276987956.7663,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,aggregate_or_currency_route_instid_not_honored
TRXUSDT,TRX-USDT-SWAP,True,45639.990000000034,45639990.00000004,16393884.408000013,16558092.2392,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,aggregate_or_currency_route_instid_not_honored
UNIUSDT,UNI-USDT-SWAP,True,3804548.0,3804548.0,12946876.844,15306842.982,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,aggregate_or_currency_route_instid_not_honored
XRPUSDT,XRP-USDT-SWAP,True,759385.1299999998,75938512.99999999,101757607.41999997,113127411.172,not exact; ccy aggregate route with no instId in response,current exact provides oi contracts and oiCcy; historical route provides aggregate value only,not safely for exact-instrument history from this route,historical numeric field stable in sample but exact unit/provenance insufficient,no for exact-instrument comparison; possible only as aggregate context with caveats,not_reconciled_as_exact_instrument,aggregate_or_currency_route_instid_not_honored
