candidate,scope,market_count,total_trades,net_pnl,profit_factor,max_drawdown_pct,win_rate,avg_trade,median_trade,gross_profit,gross_loss,commission,positive_markets,negative_markets,flat_markets,raw_signals,skipped_or_not_traded,candidate_type,start_close,end_close,return_pct
A_no_trade_baseline,reference,19,0,0.0,NA_no_trades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19,0,0,baseline,,,
H_benchmark_only_monitoring,reference,19,0,0.0,NA_no_trades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19,0,0,observation_only,,,
A_no_trade_baseline,holdout,19,0,0.0,NA_no_trades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19,0,0,baseline,,,
H_benchmark_only_monitoring,holdout,19,0,0.0,NA_no_trades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19,0,0,observation_only,,,
C_volatility_compression_breakout,reference,19,1112,1436.8511717758174,1.0733181885389567,0.15348168955126967,39.38848920863309,1.2921323487192602,-15.4522258495189,21034.323509930524,19597.47233815471,1113.2750631174467,14,5,0,1112,0,active_long,,,
C_volatility_compression_breakout,holdout,19,534,57.87683139049534,1.0075754321414845,0.06945599785164563,36.70411985018727,0.10838357938295008,-13.28974571222996,7697.946771896037,7640.069940505542,534.2960864589247,11,8,0,534,0,active_long,,,
D_mean_reversion_oversold_bounce,reference,19,839,3243.0036289571476,1.1628744776506217,0.22172962704769444,48.39094159713945,3.8653201775412964,-1.7041211694258143,23154.064439317106,19911.060810359962,841.0420228258915,14,5,0,843,4,active_long,,,
D_mean_reversion_oversold_bounce,holdout,19,339,3853.3206954951756,1.760127441945461,0.049203122174299355,55.45722713864307,11.366727715325002,12.131702293871305,8922.629449344447,5069.30875384927,341.0972089522237,18,1,0,342,3,active_long,,,
E_btc_relative_strength_alt,reference,19,2504,6795.551755410218,1.1004063845448842,0.26303683258686,39.57667731629393,2.713878496569576,-22.5172705780253,74476.02632097394,67680.4745655637,2508.6521019286693,11,7,1,2504,0,active_long,,,
E_btc_relative_strength_alt,holdout,19,1097,-822.1964390415072,0.9635633444708986,0.1484122944323564,37.28350045578851,-0.749495386546497,-18.656899980969612,21742.894321959593,22565.090761001098,1097.137470515737,8,10,1,1097,0,active_long,,,
F_market_family_framework,reference,19,593,1758.4424789928116,1.1662969921777033,0.08339923928420503,41.48397976391231,2.9653330168512846,-13.166195792245631,12332.551222425518,10574.108743432706,594.1763093941935,9,1,9,1934,1341,active_long,,,
F_market_family_framework,holdout,19,276,-59.923860961391284,0.9849235031871626,0.03574078751881547,37.68115942028986,-0.21711543826591045,-14.164860770147028,3914.7303113770413,3974.6541723384325,276.1080921155771,5,5,9,846,570,active_long,,,
G_defensive_short_hedge,reference,19,127,-108.45420678233009,0.9539205156980175,0.021535892104898577,37.79527559055118,-0.8539701321443314,-15.41152239511672,2245.17905160169,2353.6332583840203,126.99073173752241,0,1,18,127,0,active_short,,,
G_defensive_short_hedge,holdout,19,67,-127.25986684591584,0.8715625179777207,0.013995728238934215,35.82089552238806,-1.8994009977002364,-15.884763090856968,863.5713519087531,990.831218754669,67.03011487598496,0,1,18,67,0,active_short,,,
B_passive_BTC_buy_hold,reference,1,1,1056696.6231895438,NA_benchmark,77.04339319608702,NA_benchmark,1056696.6231895438,1056696.6231895438,1056696.6231895438,0.0,0.0,1,0,0,1,0,opportunity_cost_benchmark,3693.13,42718.31,1056.6966231895437
B_passive_BTC_buy_hold,holdout,1,1,64785.44702483385,NA_benchmark,49.83697178895504,NA_benchmark,64785.44702483385,64785.44702483385,64785.44702483385,0.0,0.0,1,0,0,1,0,opportunity_cost_benchmark,43071.88,70976.19,64.78544702483384
