candidate,scope,family,market_count,total_trades,net_pnl,positive_markets,negative_markets,flat_markets,raw_signals,skipped_or_not_traded
C_volatility_compression_breakout,holdout,defi,2,43,65.79173721046098,1,1,0,43,0
C_volatility_compression_breakout,holdout,large_alts,6,175,17.996123554031122,4,2,0,175,0
C_volatility_compression_breakout,holdout,majors,2,66,-130.60366640917275,0,2,0,66,0
C_volatility_compression_breakout,holdout,meme_high_beta,1,27,-89.7583495860369,0,1,0,27,0
C_volatility_compression_breakout,holdout,other,8,223,194.45098662121305,6,2,0,223,0
C_volatility_compression_breakout,reference,defi,2,94,-325.62896262399164,1,1,0,94,0
C_volatility_compression_breakout,reference,large_alts,6,360,720.4131651089726,5,1,0,360,0
C_volatility_compression_breakout,reference,majors,2,148,266.7882530414603,2,0,0,148,0
C_volatility_compression_breakout,reference,meme_high_beta,1,45,194.42546554320066,1,0,0,45,0
C_volatility_compression_breakout,reference,other,8,465,580.8532507061753,5,3,0,465,0
D_mean_reversion_oversold_bounce,holdout,defi,2,35,52.68368189375037,1,1,0,35,0
D_mean_reversion_oversold_bounce,holdout,large_alts,6,104,1397.3716661583078,6,0,0,104,0
D_mean_reversion_oversold_bounce,holdout,majors,2,46,494.6157696473565,2,0,0,46,0
D_mean_reversion_oversold_bounce,holdout,meme_high_beta,1,22,305.78665357378543,1,0,0,22,0
D_mean_reversion_oversold_bounce,holdout,other,8,132,1602.8629242219758,8,0,0,135,3
D_mean_reversion_oversold_bounce,reference,defi,2,85,771.2410608423786,2,0,0,85,0
D_mean_reversion_oversold_bounce,reference,large_alts,6,239,1614.5928200639946,5,1,0,243,4
D_mean_reversion_oversold_bounce,reference,majors,2,110,-910.3246380676139,0,2,0,110,0
D_mean_reversion_oversold_bounce,reference,meme_high_beta,1,47,-31.311844430398125,0,1,0,47,0
D_mean_reversion_oversold_bounce,reference,other,8,358,1798.8062305487863,7,1,0,358,0
E_btc_relative_strength_alt,holdout,defi,2,104,-266.682728315641,1,1,0,104,0
E_btc_relative_strength_alt,holdout,large_alts,6,391,596.8445462175448,3,3,0,391,0
E_btc_relative_strength_alt,holdout,majors,2,63,-44.78410069846943,0,1,1,63,0
E_btc_relative_strength_alt,holdout,meme_high_beta,1,70,788.0069347856512,1,0,0,70,0
E_btc_relative_strength_alt,holdout,other,8,469,-1895.5810910305927,3,5,0,469,0
E_btc_relative_strength_alt,reference,defi,2,247,-1168.1862675671077,0,2,0,247,0
E_btc_relative_strength_alt,reference,large_alts,6,927,3592.968469344843,4,2,0,927,0
E_btc_relative_strength_alt,reference,majors,2,166,327.8717333548391,1,0,1,166,0
E_btc_relative_strength_alt,reference,meme_high_beta,1,119,1831.6737263589562,1,0,0,119,0
E_btc_relative_strength_alt,reference,other,8,1045,2211.2240939186877,5,3,0,1045,0
F_market_family_framework,holdout,defi,2,35,52.68368189375037,1,1,0,35,0
F_market_family_framework,holdout,large_alts,6,175,17.996123554031122,4,2,0,175,0
F_market_family_framework,holdout,majors,2,66,-130.60366640917275,0,2,0,66,0
F_market_family_framework,holdout,meme_high_beta,1,0,0.0,0,0,1,67,67
F_market_family_framework,holdout,other,8,0,0.0,0,0,8,503,503
F_market_family_framework,reference,defi,2,85,771.2410608423786,2,0,0,85,0
F_market_family_framework,reference,large_alts,6,360,720.4131651089726,5,1,0,360,0
F_market_family_framework,reference,majors,2,148,266.7882530414603,2,0,0,148,0
F_market_family_framework,reference,meme_high_beta,1,0,0.0,0,0,1,133,133
F_market_family_framework,reference,other,8,0,0.0,0,0,8,1208,1208
G_defensive_short_hedge,holdout,defi,2,0,0.0,0,0,2,0,0
G_defensive_short_hedge,holdout,large_alts,6,0,0.0,0,0,6,0,0
G_defensive_short_hedge,holdout,majors,2,67,-127.25986684591584,0,1,1,67,0
G_defensive_short_hedge,holdout,meme_high_beta,1,0,0.0,0,0,1,0,0
G_defensive_short_hedge,holdout,other,8,0,0.0,0,0,8,0,0
G_defensive_short_hedge,reference,defi,2,0,0.0,0,0,2,0,0
G_defensive_short_hedge,reference,large_alts,6,0,0.0,0,0,6,0,0
G_defensive_short_hedge,reference,majors,2,127,-108.45420678233009,0,1,1,127,0
G_defensive_short_hedge,reference,meme_high_beta,1,0,0.0,0,0,1,0,0
G_defensive_short_hedge,reference,other,8,0,0.0,0,0,8,0,0
