record_type,group,metric,value,pass_count,fail_count
family_summary,accepted_nonintact_reference,trade_count,2,,
family_summary,accepted_nonintact_reference,avg_gate_e0_atr,178.4309592498762,,
family_summary,accepted_nonintact_reference,avg_gate_e0_atr_ma,192.69513204265922,,
family_summary,accepted_nonintact_reference,avg_gate_e0_atr_ratio,0.9259392169059748,,
pass_fail,accepted_nonintact_reference,atr_ge_atr_ma,,0,2
pass_fail,accepted_nonintact_reference,gate_directional_preparation_present,,0,2
family_summary,weak_nonintact_reference,trade_count,3,,
family_summary,weak_nonintact_reference,avg_gate_e0_atr,618.1010079025461,,
family_summary,weak_nonintact_reference,avg_gate_e0_atr_ma,574.6848253399879,,
family_summary,weak_nonintact_reference,avg_gate_e0_atr_ratio,1.0866638281420915,,
pass_fail,weak_nonintact_reference,atr_ge_atr_ma,,3,0
pass_fail,weak_nonintact_reference,gate_directional_preparation_present,,3,0
family_summary,accepted_completed_reference,trade_count,2,,
family_summary,accepted_completed_reference,avg_gate_e0_atr,315.62071512865015,,
family_summary,accepted_completed_reference,avg_gate_e0_atr_ma,291.40315221658284,,
family_summary,accepted_completed_reference,avg_gate_e0_atr_ratio,1.0843039810216437,,
pass_fail,accepted_completed_reference,atr_ge_atr_ma,,2,0
pass_fail,accepted_completed_reference,gate_directional_preparation_present,,2,0
