record_type,group,metric,value,pass_count,fail_count
family_summary,accepted_nonintact_reference,trade_count,2.0,,
family_summary,accepted_nonintact_reference,avg_b1_atr,178.00372534602053,,
family_summary,accepted_nonintact_reference,avg_b1_atr_ma,194.62575758440224,,
family_summary,accepted_nonintact_reference,avg_b1_atr_ratio,0.9137680783203503,,
family_summary,accepted_nonintact_reference,avg_e0_atr,178.4309592498762,,
family_summary,accepted_nonintact_reference,avg_e0_atr_ma,192.69513204265922,,
family_summary,accepted_nonintact_reference,avg_e0_atr_ratio,0.9259392169059748,,
pass_fail,accepted_nonintact_reference,b1_atr_ready,,0,2
pass_fail,accepted_nonintact_reference,e0_atr_ready,,0,2
transition_count,accepted_nonintact_reference,below_to_below,2.0,,
transition_count,accepted_nonintact_reference,below_to_above,0.0,,
transition_count,accepted_nonintact_reference,above_to_above,0.0,,
transition_count,accepted_nonintact_reference,above_to_below,0.0,,
pass_fail,accepted_nonintact_reference,b1_atr_ratio_rebuild_matches_stored,,2,0
pass_fail,accepted_nonintact_reference,e0_atr_ratio_rebuild_matches_stored,,2,0
family_summary,weak_nonintact_reference,trade_count,3.0,,
family_summary,weak_nonintact_reference,avg_b1_atr,595.7928803053063,,
family_summary,weak_nonintact_reference,avg_b1_atr_ma,575.7888760071664,,
family_summary,weak_nonintact_reference,avg_b1_atr_ratio,1.0415633457045335,,
family_summary,weak_nonintact_reference,avg_e0_atr,618.1010079025461,,
family_summary,weak_nonintact_reference,avg_e0_atr_ma,574.6848253399879,,
family_summary,weak_nonintact_reference,avg_e0_atr_ratio,1.0866638281420915,,
pass_fail,weak_nonintact_reference,b1_atr_ready,,2,1
pass_fail,weak_nonintact_reference,e0_atr_ready,,3,0
transition_count,weak_nonintact_reference,below_to_below,0.0,,
transition_count,weak_nonintact_reference,below_to_above,1.0,,
transition_count,weak_nonintact_reference,above_to_above,2.0,,
transition_count,weak_nonintact_reference,above_to_below,0.0,,
pass_fail,weak_nonintact_reference,b1_atr_ratio_rebuild_matches_stored,,3,0
pass_fail,weak_nonintact_reference,e0_atr_ratio_rebuild_matches_stored,,3,0
family_summary,accepted_completed_reference,trade_count,2.0,,
family_summary,accepted_completed_reference,avg_b1_atr,318.5834624462387,,
family_summary,accepted_completed_reference,avg_b1_atr_ma,287.68737546401223,,
family_summary,accepted_completed_reference,avg_b1_atr_ratio,1.1095901398461896,,
family_summary,accepted_completed_reference,avg_e0_atr,315.62071512865015,,
family_summary,accepted_completed_reference,avg_e0_atr_ma,291.40315221658284,,
family_summary,accepted_completed_reference,avg_e0_atr_ratio,1.0843039810216437,,
pass_fail,accepted_completed_reference,b1_atr_ready,,2,0
pass_fail,accepted_completed_reference,e0_atr_ready,,2,0
transition_count,accepted_completed_reference,below_to_below,0.0,,
transition_count,accepted_completed_reference,below_to_above,0.0,,
transition_count,accepted_completed_reference,above_to_above,2.0,,
transition_count,accepted_completed_reference,above_to_below,0.0,,
pass_fail,accepted_completed_reference,b1_atr_ratio_rebuild_matches_stored,,2,0
pass_fail,accepted_completed_reference,e0_atr_ratio_rebuild_matches_stored,,2,0
