record_type,label,lhs_group,rhs_group,lhs_count,rhs_count,lhs_loser_share,rhs_loser_share,lhs_avg_pnl,rhs_avg_pnl,losers,winners,momentum_persistence,support_stability_preserved,pre_release_tightening_or_containment,directional_preparation_present
parent_composition,broader_parent_total,broader_parent,,3,,0.0,,112.57974198857876,,0,3,,,,
parent_composition,broader_parent_mp,broader_parent,mp,2,,0.0,,162.49327310015084,,0,2,,,,
parent_composition,broader_parent_non_mp,broader_parent,non_mp,1,,0.0,,12.75267976543458,,0,1,,,,
comparison,intact_mp_vs_intact_non_mp,broader_release_parent_transition_intact_mp,broader_release_parent_transition_intact_non_mp,2,0,0.0,0.0,162.49327310015084,0.0,,,,,,
comparison,intact_mp_vs_compound_failed,broader_release_parent_transition_intact_mp,broader_release_parent_compound_failed,2,1,0.0,0.0,162.49327310015084,12.75267976543458,,,,,,
comparison,intact_mp_vs_other_parent,broader_release_parent_transition_intact_mp,broader_release_parent_other,2,0,0.0,0.0,162.49327310015084,0.0,,,,,,
comparison,intact_mp_vs_outside_parent,broader_release_parent_transition_intact_mp,outside_parent,2,87,0.0,0.7011494252873564,162.49327310015084,10.389589609805176,,,,,,
internal_bucket,broader_release_parent_compound_failed_mp,broader_release_parent_compound_failed,mp,0,,0.0,,0.0,,0,0,,,,
internal_bucket,broader_release_parent_compound_failed_non_mp,broader_release_parent_compound_failed,non_mp,1,,0.0,,12.75267976543458,,0,1,,,,
internal_bucket,broader_release_parent_other_mp,broader_release_parent_other,mp,0,,0.0,,0.0,,0,0,,,,
internal_bucket,broader_release_parent_other_non_mp,broader_release_parent_other,non_mp,0,,0.0,,0.0,,0,0,,,,
original_three_tracking,2019-06-18 20:00:00+00:00,broader_release_parent_transition_intact_mp,expected_tracking,,,,,213.02481327916627,,,,True,True,True,True
original_three_tracking,2020-10-25 16:00:00+00:00,broader_release_parent_compound_failed,expected_tracking,,,,,12.75267976543458,,,,False,True,False,False
original_three_tracking,2023-11-30 00:00:00+00:00,broader_release_parent_transition_intact_mp,expected_tracking,,,,,111.96173292113542,,,,True,True,True,True
