record_type,group,metric,pass_count,fail_count,pass_rate,avg_value,min_value,max_value
component_pass_fail,accepted_nonintact_reference,precursor_di_spread_nonworse,2,0,1.0,,,
component_pass_fail,accepted_nonintact_reference,precursor_adx_nonworse,0,2,0.0,,,
component_pass_fail,accepted_nonintact_reference,precursor_directional_progression_clause_pass,2,0,1.0,,,
component_pass_fail,accepted_nonintact_reference,precursor_atr_ratio_clause_pass,0,2,0.0,,,
component_pass_fail,accepted_nonintact_reference,gate_directional_preparation_present,0,2,0.0,,,
component_pass_fail,accepted_nonintact_reference,precursor_formula_matches_gate,2,0,1.0,,,
precursor_value_summary,accepted_nonintact_reference,gate_b1_di_spread,,,,7.861548187624539,-0.8451137967387652,16.568210171987843
precursor_value_summary,accepted_nonintact_reference,gate_e0_di_spread,,,,9.624509648420792,2.3797523063665764,16.86926699047501
precursor_value_summary,accepted_nonintact_reference,gate_b1_adx,,,,40.68429049676557,19.542206028329755,61.82637496520138
precursor_value_summary,accepted_nonintact_reference,gate_e0_adx,,,,39.64313908805701,18.59831770176521,60.68796047434882
precursor_value_summary,accepted_nonintact_reference,gate_e0_atr_ratio,,,,0.9259392169059748,0.9249437163176552,0.9269347174942946
precursor_value_summary,accepted_nonintact_reference,PnL,,,,1.5743611452652155,-9.60395747490415,12.75267976543458
component_pass_fail,weak_nonintact_reference,precursor_di_spread_nonworse,3,0,1.0,,,
component_pass_fail,weak_nonintact_reference,precursor_adx_nonworse,1,2,0.3333333333333333,,,
component_pass_fail,weak_nonintact_reference,precursor_directional_progression_clause_pass,3,0,1.0,,,
component_pass_fail,weak_nonintact_reference,precursor_atr_ratio_clause_pass,3,0,1.0,,,
component_pass_fail,weak_nonintact_reference,gate_directional_preparation_present,3,0,1.0,,,
component_pass_fail,weak_nonintact_reference,precursor_formula_matches_gate,3,0,1.0,,,
precursor_value_summary,weak_nonintact_reference,gate_b1_di_spread,,,,6.879924661834081,1.7616255071912086,12.73395394269637
precursor_value_summary,weak_nonintact_reference,gate_e0_di_spread,,,,11.906368853845573,8.67028962914355,16.984286350966492
precursor_value_summary,weak_nonintact_reference,gate_b1_adx,,,,25.908887964971314,17.96717533498592,31.95160645378981
precursor_value_summary,weak_nonintact_reference,gate_e0_adx,,,,25.994242496470793,19.682691388447672,30.99158349944456
precursor_value_summary,weak_nonintact_reference,gate_e0_atr_ratio,,,,1.0866638281420915,1.016555006277207,1.12215227000215
precursor_value_summary,weak_nonintact_reference,PnL,,,,-9.675846288697063,-16.90353133430004,-0.7035496149555155
