profile,label,count,losers,winners,loser_share,avg_pnl
tight,momentum_persistence_candidate,3,3,0,1.0,-12.915734197340372
tight,excluded_reclaim_damage,28,22,6,0.7857142857142857,1.611993331676119
tight,excluded_breakout_like,17,9,8,0.5294117647058824,21.35248831143753
tight,excluded_weakening_state,10,9,1,0.9,-18.39716859559342
tight,excluded_depth_or_extension,22,12,10,0.5454545454545454,19.85973647346973
tight,excluded_energy_quality,10,6,4,0.6,61.93100935690385
tight,other,0,0,0,0.0,0.0
center,momentum_persistence_candidate,8,5,3,0.625,29.625301765124274
center,excluded_reclaim_damage,40,28,12,0.7,13.098236832609564
center,excluded_breakout_like,12,6,6,0.5,22.691348086431642
center,excluded_weakening_state,10,9,1,0.9,-18.39716859559342
center,excluded_depth_or_extension,12,7,5,0.5833333333333334,3.0302674059344934
center,excluded_energy_quality,8,6,2,0.75,44.50174183011883
center,other,0,0,0,0.0,0.0
loose,momentum_persistence_candidate,11,6,5,0.5454545454545454,36.06061256511308
loose,excluded_reclaim_damage,40,28,12,0.7,13.098236832609564
loose,excluded_breakout_like,13,7,6,0.5384615384615384,16.91973003413276
loose,excluded_weakening_state,10,9,1,0.9,-18.39716859559342
loose,excluded_depth_or_extension,7,5,2,0.7142857142857143,-8.344358390055332
loose,excluded_energy_quality,9,6,3,0.6666666666666666,38.16255719341733
loose,other,0,0,0,0.0,0.0
