profile,group,count,losers,winners,loser_share,avg_pnl
tight,momentum_persistence_candidate,3,3,0,1.0,-12.915734197340372
tight,remaining_baseline_long1,87,58,29,0.6666666666666666,14.717019823112732
tight,excluded_reclaim_damage,28,22,6,0.7857142857142857,1.611993331676119
tight,excluded_breakout_like,17,9,8,0.5294117647058824,21.35248831143753
tight,excluded_weakening_state,10,9,1,0.9,-18.39716859559342
center,momentum_persistence_candidate,8,5,3,0.625,29.625301765124274
center,remaining_baseline_long1,82,56,26,0.6829268292682927,12.251598876802348
center,excluded_reclaim_damage,40,28,12,0.7,13.098236832609564
center,excluded_breakout_like,12,6,6,0.5,22.691348086431642
center,excluded_weakening_state,10,9,1,0.9,-18.39716859559342
loose,momentum_persistence_candidate,11,6,5,0.5454545454545454,36.06061256511308
loose,remaining_baseline_long1,79,55,24,0.6962025316455697,10.695782073449903
loose,excluded_reclaim_damage,40,28,12,0.7,13.098236832609564
loose,excluded_breakout_like,13,7,6,0.5384615384615384,16.91973003413276
loose,excluded_weakening_state,10,9,1,0.9,-18.39716859559342
