market,data_file,rows_loaded,allow_longs,allow_shorts,enable_add_on_entries,total_trades,Long1_count,net_profit,profit_factor,max_drawdown_pct,win_rate,avg_trade,median_trade_pnl,expectancy,avg_duration_bars,median_duration_bars,best_trade,worst_trade,equity_initial,equity_final,family_proxy
AAVEUSDT,AAVEUSDT_4h.csv,12239,True,False,False,91,91,129.81090801372193,1.0745773579717655,0.4156887078779902,70.32967032967034,1.4264934946562664,5.988561093688481,1.4264934946562664,8.010989010989011,6.0,171.62844440896603,-130.86139892960645,100000.0,100129.81090801372,smaller_alts
ADAUSDT,ADAUSDT_4h.csv,16152,True,False,False,70,70,96.33548948152747,1.0600669859747653,0.34644280457201404,57.14285714285714,1.3762212783074197,1.3020237417493217,1.3762212783074197,9.085714285714285,8.0,227.98342175617637,-113.34921862354861,100000.0,100096.33548948153,large_alts
ATOMUSDT,ATOMUSDT_4h.csv,15444,True,False,False,51,51,200.6768613173772,1.188706678729461,0.4761399197592448,72.54901960784314,3.934840417987037,5.179834486729151,3.934840417987037,7.647058823529412,6.0,154.76556504182216,-101.32493307507646,100000.0,100200.67686131738,smaller_alts
AVAXUSDT,AVAXUSDT_4h.csv,12376,True,False,False,50,50,461.2489181251003,1.5127665912432018,0.4577070400022423,70.0,9.224978362502801,19.923518175678595,9.224978362502801,8.5,5.5,153.48059760955135,-104.8281499196922,100000.0,100461.2489181251,smaller_alts
BCHUSDT,BCHUSDT_4h.csv,14168,True,False,False,97,97,-243.70308909891173,0.8604694403544008,0.8898543766205074,55.670103092783506,-2.5124029804007937,1.2726275618099103,-2.5124029804007937,8.31958762886598,7.0,160.5961381219129,-124.94324337999731,100000.0,99756.29691090109,large_alts
BNBUSDT,BNBUSDT_4h.csv,16152,True,False,False,157,157,1917.9208136868401,2.175143251399215,0.31460380667034527,70.70063694267516,12.216056138133146,7.970269355497452,12.216056138133146,9.535031847133759,7.0,462.54571327410025,-94.77497502507805,100000.0,101917.92081368684,majors
BTCUSDT,BTCUSDT_4h.csv,15947,True,False,False,169,169,421.26293853801326,1.2716716126304415,0.21584385076715895,62.721893491124256,2.492680109692719,3.691599680838734,2.492680109692719,9.615384615384615,7.0,91.98302464308571,-70.03819038037201,100000.0,100421.26293853801,majors
DOGEUSDT,DOGEUSDT_4h.csv,15042,True,False,False,54,54,-420.1667332225188,0.6835998873821202,0.609189295123344,61.111111111111114,-7.780865430046184,4.396726657397941,-7.780865430046184,8.88888888888889,7.5,131.2467479674878,-272.3337399079875,100000.0,99579.83326677748,large_alts
DOTUSDT,DOTUSDT_4h.csv,12582,True,False,False,45,45,-745.3124078857654,0.4616300314396954,0.9359411482670265,46.666666666666664,-16.56249795301761,-27.55872637478442,-16.56249795301761,8.777777777777779,6.0,100.34710975383747,-97.0374684714262,100000.0,99254.68759211423,large_alts
ETCUSDT,ETCUSDT_4h.csv,16152,True,False,False,55,55,-43.33422678147326,0.9625000283252375,0.4748143713097547,63.63636363636363,-0.7878950323899364,14.886710426636025,-0.7878950323899364,9.781818181818181,8.0,119.11151033194653,-151.39908658996447,100000.0,99956.66577321853,smaller_alts
