partition,group,count,losers,winners,loser_share,avg_pnl
Partition A,partition_gate_intact_missing_bad,2,1,1,0.5,-7.947404262868421
Partition A,partition_gate_loose_missing_good_support_good,1,0,1,0.0,159.14250286948706
Partition A,partition_gate_loose_missing_good_support_bad,3,3,0,1.0,-9.675846288697063
Partition A,partition_gate_loose_missing_bad,1,1,0,1.0,-22.910699313792787
Partition A,partition_other,0,0,0,0.0,0.0
Partition B,partition_gate_intact_missing_bad,0,0,0,0.0,0.0
Partition B,partition_gate_loose_missing_good_support_good,0,0,0,0.0,0.0
Partition B,partition_gate_loose_missing_good_support_bad,0,0,0,0.0,0.0
Partition B,partition_gate_loose_missing_bad,0,0,0,0.0,0.0
Partition B,partition_other,0,0,0,0.0,0.0
other_orderly_reset,other_orderly_reset,4,1,3,0.25,82.03381712270803
outside_orderly_reset,outside_orderly_reset,79,55,24,0.6962025316455697,10.407453131190989
