branch,group,trade_count,losers,winners,loser_share,avg_pnl
pre2022_nonintact_accepted_branch,nonintact_directional_absent_no_sequence,1,1,0,1.000000,-9.603957
pre2022_nonintact_accepted_branch,nonintact_directional_absent_sequence_present,1,0,1,0.000000,12.752680
pre2022_nonintact_accepted_branch,nonintact_directional_present,0,0,0,0.000000,0.000000
pre2022_nonintact_accepted_branch,nonintact_other,0,0,0,0.000000,0.000000
post2022_nonintact_accepted_branch,nonintact_directional_absent_no_sequence,0,0,0,0.000000,0.000000
post2022_nonintact_accepted_branch,nonintact_directional_absent_sequence_present,0,0,0,0.000000,0.000000
post2022_nonintact_accepted_branch,nonintact_directional_present,0,0,0,0.000000,0.000000
post2022_nonintact_accepted_branch,nonintact_other,0,0,0,0.000000,0.000000
context,post2022_upstream_fragility_reference,3,3,0,1.000000,-9.675846
context,other_long1,85,57,28,0.670588,14.911910
