branch,group,trade_count,losers,winners,loser_share,avg_pnl
pre2022_accepted_side_branch,accepted_support_stable_full_core,1,0,1,0.000000,213.024813
pre2022_accepted_side_branch,accepted_support_stable_noncore_compact,2,1,1,0.500000,1.574361
pre2022_accepted_side_branch,accepted_support_stable_noncore_noncompact,0,0,0,0.000000,0.000000
pre2022_accepted_side_branch,accepted_support_unstable,0,0,0,0.000000,0.000000
pre2022_accepted_side_branch,accepted_nonorderly,0,0,0,0.000000,0.000000
post2022_accepted_side_branch,accepted_support_stable_full_core,1,0,1,0.000000,111.961733
post2022_accepted_side_branch,accepted_support_stable_noncore_compact,0,0,0,0.000000,0.000000
post2022_accepted_side_branch,accepted_support_stable_noncore_noncompact,0,0,0,0.000000,0.000000
post2022_accepted_side_branch,accepted_support_unstable,0,0,0,0.000000,0.000000
post2022_accepted_side_branch,accepted_nonorderly,0,0,0,0.000000,0.000000
context,other_long1,86,60,26,0.697674,10.622073
