branch,group,trade_count,losers,winners,loser_share,avg_pnl
pre2022_branch,accepted_full_core,1,0,1,0.000000,213.024813
pre2022_branch,accepted_partial_directional_only,1,0,1,0.000000,12.752680
pre2022_branch,accepted_partial_preaccept_only,1,1,0,1.000000,-9.603957
pre2022_branch,accepted_other,0,0,0,0.000000,0.000000
pre2022_branch,weak_intact_missing_bad,1,0,1,0.000000,8.316945
pre2022_branch,weak_loose_missing_good_support_bad,0,0,0,0.000000,0.000000
pre2022_branch,weak_loose_missing_good_support_good,1,0,1,0.000000,159.142503
pre2022_branch,weak_loose_missing_bad,1,1,0,1.000000,-22.910699
pre2022_branch,weak_other,0,0,0,0.000000,0.000000
post2022_branch,accepted_full_core,1,0,1,0.000000,111.961733
post2022_branch,accepted_partial_directional_only,0,0,0,0.000000,0.000000
post2022_branch,accepted_partial_preaccept_only,0,0,0,0.000000,0.000000
post2022_branch,accepted_other,0,0,0,0.000000,0.000000
post2022_branch,weak_intact_missing_bad,1,1,0,1.000000,-24.211754
post2022_branch,weak_loose_missing_good_support_bad,3,3,0,1.000000,-9.675846
post2022_branch,weak_loose_missing_good_support_good,0,0,0,0.000000,0.000000
post2022_branch,weak_loose_missing_bad,0,0,0,0.000000,0.000000
post2022_branch,weak_other,0,0,0,0.000000,0.000000
context,outside_orderly_reset,79,55,24,0.696203,10.407453
