record_type,label,lhs_group,rhs_group,lhs_count,rhs_count,lhs_loser_share,rhs_loser_share,lhs_avg_pnl,rhs_avg_pnl,losers,winners,momentum_persistence,support_stability_preserved,pre_release_tightening_or_containment,directional_preparation_present
parent_composition,support_acceptance_parent_total,support_acceptance_parent,,4,,0.25,,82.03381712270803,,1,3,,,,
parent_composition,support_acceptance_parent_mp,support_acceptance_parent,mp,2,,0.0,,162.49327310015084,,0,2,,,,
parent_composition,support_acceptance_parent_non_mp,support_acceptance_parent,non_mp,2,,0.5,,1.5743611452652155,,1,1,,,,
parent_composition,support_acceptance_parent_release_seq,support_acceptance_parent,release_seq,3,,0.0,,112.57974198857876,,0,3,,,,
parent_composition,support_acceptance_parent_no_release_seq,support_acceptance_parent,no_release_seq,1,,1.0,,-9.60395747490415,,1,0,,,,
comparison,intact_seq_mp_vs_intact_seq_non_mp,support_acceptance_parent_transition_intact_release_seq_mp,support_acceptance_parent_transition_intact_release_seq_non_mp,2,0,0.0,0.0,162.49327310015084,0.0,,,,,,
comparison,intact_seq_mp_vs_compound_failed_seq,support_acceptance_parent_transition_intact_release_seq_mp,support_acceptance_parent_compound_failed_release_seq,2,1,0.0,0.0,162.49327310015084,12.75267976543458,,,,,,
comparison,intact_seq_mp_vs_intact_no_seq,support_acceptance_parent_transition_intact_release_seq_mp,support_acceptance_parent_transition_intact_no_release_seq,2,0,0.0,0.0,162.49327310015084,0.0,,,,,,
comparison,intact_seq_mp_vs_other_parent,support_acceptance_parent_transition_intact_release_seq_mp,support_acceptance_parent_other,2,1,0.0,1.0,162.49327310015084,-9.60395747490415,,,,,,
comparison,intact_seq_mp_vs_outside_parent,support_acceptance_parent_transition_intact_release_seq_mp,outside_parent,2,86,0.0,0.6976744186046512,162.49327310015084,10.622072715441332,,,,,,
internal_bucket,support_acceptance_parent_compound_failed_release_seq_mp,support_acceptance_parent_compound_failed_release_seq,mp,0,,0.0,,0.0,,0,0,,,,
internal_bucket,support_acceptance_parent_compound_failed_release_seq_non_mp,support_acceptance_parent_compound_failed_release_seq,non_mp,1,,0.0,,12.75267976543458,,0,1,,,,
internal_bucket,support_acceptance_parent_transition_intact_no_release_seq_mp,support_acceptance_parent_transition_intact_no_release_seq,mp,0,,0.0,,0.0,,0,0,,,,
internal_bucket,support_acceptance_parent_transition_intact_no_release_seq_non_mp,support_acceptance_parent_transition_intact_no_release_seq,non_mp,0,,0.0,,0.0,,0,0,,,,
internal_bucket,support_acceptance_parent_other_mp,support_acceptance_parent_other,mp,0,,0.0,,0.0,,0,0,,,,
internal_bucket,support_acceptance_parent_other_non_mp,support_acceptance_parent_other,non_mp,1,,1.0,,-9.60395747490415,,1,0,,,,
original_three_tracking,2019-06-18 20:00:00+00:00,support_acceptance_parent_transition_intact_release_seq_mp,expected_tracking,,,,,213.02481327916627,,,,True,True,True,True
original_three_tracking,2020-10-25 16:00:00+00:00,support_acceptance_parent_compound_failed_release_seq,expected_tracking,,,,,12.75267976543458,,,,False,True,False,False
original_three_tracking,2023-11-30 00:00:00+00:00,support_acceptance_parent_transition_intact_release_seq_mp,expected_tracking,,,,,111.96173292113542,,,,True,True,True,True
newly_included_nearby_parent,2020-08-15 20:00:00+00:00,support_acceptance_parent_other,entered_parent_without_release_seq,,,,,-9.60395747490415,,,,False,True,True,False
