record_type,label,lhs_group,rhs_group,lhs_count,rhs_count,lhs_loser_share,rhs_loser_share,lhs_avg_pnl,rhs_avg_pnl,losers,winners,momentum_persistence,support_stability_preserved,pre_release_tightening_or_containment,directional_preparation_present
comparison,mp_intact_vs_containment_failed,mp_orderly_support_releasing_transition_intact,containment_failed,2,0,0.0,0.0,162.49327310015084,0.0,,,,,,
comparison,mp_intact_vs_directional_failed,mp_orderly_support_releasing_transition_intact,directional_failed,2,0,0.0,0.0,162.49327310015084,0.0,,,,,,
comparison,mp_intact_vs_compound_failed,mp_orderly_support_releasing_transition_intact,release_sequence_compound_failed,2,1,0.0,0.0,162.49327310015084,12.75267976543458,,,,,,
comparison,mp_intact_vs_all_other_long1,mp_orderly_support_releasing_transition_intact,all_other_baseline_long1,2,88,0.0,0.6931818181818182,162.49327310015084,10.41644290702824,,,,,,
internal_failure_bucket,release_sequence_containment_failed_mp,release_sequence_containment_failed,mp,0,,0.0,,0.0,,0,0,,,,
internal_failure_bucket,release_sequence_containment_failed_non_mp,release_sequence_containment_failed,non_mp,0,,0.0,,0.0,,0,0,,,,
internal_failure_bucket,release_sequence_directional_failed_mp,release_sequence_directional_failed,mp,0,,0.0,,0.0,,0,0,,,,
internal_failure_bucket,release_sequence_directional_failed_non_mp,release_sequence_directional_failed,non_mp,0,,0.0,,0.0,,0,0,,,,
internal_failure_bucket,release_sequence_compound_failed_mp,release_sequence_compound_failed,mp,0,,0.0,,0.0,,0,0,,,,
internal_failure_bucket,release_sequence_compound_failed_non_mp,release_sequence_compound_failed,non_mp,1,,0.0,,12.75267976543458,,0,1,,,,
trade_audit,2019-06-18 20:00:00+00:00,mp_orderly_support_releasing_transition_intact,trade_component_audit,,,,,213.02481327916627,,,,True,True,True,True
trade_audit,2020-10-25 16:00:00+00:00,release_sequence_compound_failed,trade_component_audit,,,,,12.75267976543458,,,,False,True,False,False
trade_audit,2023-11-30 00:00:00+00:00,mp_orderly_support_releasing_transition_intact,trade_component_audit,,,,,111.96173292113542,,,,True,True,True,True
