record_type,group,metric,value,count
weak_focus_summary,weak_focus,focus_trade_count,3.0,
weak_focus_summary,weak_focus,weak_fragility_compact_ready,1.0,
weak_focus_summary,weak_focus,weak_fragility_compact_unready,0.0,
weak_focus_summary,weak_focus,weak_fragility_noncompact_ready,2.0,
weak_focus_summary,weak_focus,weak_fragility_noncompact_unready,0.0,
weak_focus_summary,weak_focus,weak_fragility_other,0.0,
pass_count,weak_fragility_compact_ready,gate_base_compact,1.0,1.0
pass_count,weak_fragility_compact_ready,gate_directional_preparation_present,1.0,1.0
pass_count,weak_fragility_compact_ready,gate_support_stability_preserved,0.0,1.0
pass_count,weak_fragility_compact_ready,support_to_release_sequence,0.0,1.0
pass_count,weak_fragility_compact_ready,momentum_persistence,1.0,1.0
pass_count,weak_fragility_compact_ready,support_residence_missing_layer_present,0.0,1.0
value_summary,weak_fragility_compact_ready,gate_e0_atr_ratio,1.016555006277207,1.0
value_summary,weak_fragility_compact_ready,PnL,-0.7035496149555155,1.0
pass_count,weak_fragility_compact_unready,gate_base_compact,0.0,0.0
pass_count,weak_fragility_compact_unready,gate_directional_preparation_present,0.0,0.0
pass_count,weak_fragility_compact_unready,gate_support_stability_preserved,0.0,0.0
pass_count,weak_fragility_compact_unready,support_to_release_sequence,0.0,0.0
pass_count,weak_fragility_compact_unready,momentum_persistence,0.0,0.0
pass_count,weak_fragility_compact_unready,support_residence_missing_layer_present,0.0,0.0
value_summary,weak_fragility_compact_unready,gate_e0_atr_ratio,0.0,0.0
value_summary,weak_fragility_compact_unready,PnL,0.0,0.0
pass_count,weak_fragility_noncompact_ready,gate_base_compact,0.0,2.0
pass_count,weak_fragility_noncompact_ready,gate_directional_preparation_present,2.0,2.0
pass_count,weak_fragility_noncompact_ready,gate_support_stability_preserved,0.0,2.0
pass_count,weak_fragility_noncompact_ready,support_to_release_sequence,0.0,2.0
pass_count,weak_fragility_noncompact_ready,momentum_persistence,1.0,2.0
pass_count,weak_fragility_noncompact_ready,support_residence_missing_layer_present,0.0,2.0
value_summary,weak_fragility_noncompact_ready,gate_e0_atr_ratio,1.1217182390745337,2.0
value_summary,weak_fragility_noncompact_ready,PnL,-14.161994625567836,2.0
pass_count,weak_fragility_noncompact_unready,gate_base_compact,0.0,0.0
pass_count,weak_fragility_noncompact_unready,gate_directional_preparation_present,0.0,0.0
pass_count,weak_fragility_noncompact_unready,gate_support_stability_preserved,0.0,0.0
pass_count,weak_fragility_noncompact_unready,support_to_release_sequence,0.0,0.0
pass_count,weak_fragility_noncompact_unready,momentum_persistence,0.0,0.0
pass_count,weak_fragility_noncompact_unready,support_residence_missing_layer_present,0.0,0.0
value_summary,weak_fragility_noncompact_unready,gate_e0_atr_ratio,0.0,0.0
value_summary,weak_fragility_noncompact_unready,PnL,0.0,0.0
pass_count,weak_fragility_other,gate_base_compact,0.0,0.0
pass_count,weak_fragility_other,gate_directional_preparation_present,0.0,0.0
pass_count,weak_fragility_other,gate_support_stability_preserved,0.0,0.0
pass_count,weak_fragility_other,support_to_release_sequence,0.0,0.0
pass_count,weak_fragility_other,momentum_persistence,0.0,0.0
pass_count,weak_fragility_other,support_residence_missing_layer_present,0.0,0.0
value_summary,weak_fragility_other,gate_e0_atr_ratio,0.0,0.0
value_summary,weak_fragility_other,PnL,0.0,0.0
pass_count,accepted_nonintact_reference,gate_base_compact,2.0,2.0
pass_count,accepted_nonintact_reference,gate_directional_preparation_present,0.0,2.0
pass_count,accepted_nonintact_reference,gate_support_stability_preserved,2.0,2.0
pass_count,accepted_nonintact_reference,support_to_release_sequence,1.0,2.0
pass_count,accepted_nonintact_reference,momentum_persistence,0.0,2.0
pass_count,accepted_nonintact_reference,support_residence_missing_layer_present,0.0,2.0
value_summary,accepted_nonintact_reference,gate_e0_atr_ratio,0.9259392169059748,2.0
value_summary,accepted_nonintact_reference,PnL,1.5743611452652155,2.0
pass_count,accepted_completed_reference,gate_base_compact,2.0,2.0
pass_count,accepted_completed_reference,gate_directional_preparation_present,2.0,2.0
pass_count,accepted_completed_reference,gate_support_stability_preserved,2.0,2.0
pass_count,accepted_completed_reference,support_to_release_sequence,2.0,2.0
pass_count,accepted_completed_reference,momentum_persistence,2.0,2.0
pass_count,accepted_completed_reference,support_residence_missing_layer_present,0.0,2.0
value_summary,accepted_completed_reference,gate_e0_atr_ratio,1.0843039810216437,2.0
value_summary,accepted_completed_reference,PnL,162.49327310015084,2.0
