record_type,metric,value,count,group
weak_focus_summary,focus_trade_count,3.0,,weak_focus
weak_focus_summary,weak_ready_persistent,2.0,,weak_focus
weak_focus_summary,weak_ready_transition,1.0,,weak_focus
weak_focus_summary,weak_ready_other,0.0,,weak_focus
value_summary,b1_atr_ratio_rebuilt,1.0742700599640846,2.0,weak_ready_persistent
value_summary,e0_atr_ratio_rebuilt,1.1217182390745337,2.0,weak_ready_persistent
value_summary,PnL,-14.161994625567836,2.0,weak_ready_persistent
pass_count,gate_directional_preparation_present,2.0,2.0,weak_ready_persistent
pass_count,gate_support_stability_preserved,0.0,2.0,weak_ready_persistent
pass_count,gate_base_compact,0.0,2.0,weak_ready_persistent
pass_count,support_to_release_sequence,0.0,2.0,weak_ready_persistent
pass_count,momentum_persistence,1.0,2.0,weak_ready_persistent
value_summary,b1_atr_ratio_rebuilt,0.976149917185431,1.0,weak_ready_transition
value_summary,e0_atr_ratio_rebuilt,1.016555006277207,1.0,weak_ready_transition
value_summary,PnL,-0.7035496149555155,1.0,weak_ready_transition
pass_count,gate_directional_preparation_present,1.0,1.0,weak_ready_transition
pass_count,gate_support_stability_preserved,0.0,1.0,weak_ready_transition
pass_count,gate_base_compact,1.0,1.0,weak_ready_transition
pass_count,support_to_release_sequence,0.0,1.0,weak_ready_transition
pass_count,momentum_persistence,1.0,1.0,weak_ready_transition
value_summary,b1_atr_ratio_rebuilt,0.0,0.0,weak_ready_other
value_summary,e0_atr_ratio_rebuilt,0.0,0.0,weak_ready_other
value_summary,PnL,0.0,0.0,weak_ready_other
pass_count,gate_directional_preparation_present,0.0,0.0,weak_ready_other
pass_count,gate_support_stability_preserved,0.0,0.0,weak_ready_other
pass_count,gate_base_compact,0.0,0.0,weak_ready_other
pass_count,support_to_release_sequence,0.0,0.0,weak_ready_other
pass_count,momentum_persistence,0.0,0.0,weak_ready_other
value_summary,b1_atr_ratio_rebuilt,0.9137680783203503,2.0,accepted_nonintact_reference
value_summary,e0_atr_ratio_rebuilt,0.9259392169059748,2.0,accepted_nonintact_reference
value_summary,PnL,1.5743611452652155,2.0,accepted_nonintact_reference
pass_count,gate_directional_preparation_present,0.0,2.0,accepted_nonintact_reference
pass_count,gate_support_stability_preserved,2.0,2.0,accepted_nonintact_reference
pass_count,gate_base_compact,2.0,2.0,accepted_nonintact_reference
pass_count,support_to_release_sequence,1.0,2.0,accepted_nonintact_reference
pass_count,momentum_persistence,0.0,2.0,accepted_nonintact_reference
value_summary,b1_atr_ratio_rebuilt,1.1095901398461894,2.0,accepted_completed_reference
value_summary,e0_atr_ratio_rebuilt,1.0843039810216437,2.0,accepted_completed_reference
value_summary,PnL,162.49327310015084,2.0,accepted_completed_reference
pass_count,gate_directional_preparation_present,2.0,2.0,accepted_completed_reference
pass_count,gate_support_stability_preserved,2.0,2.0,accepted_completed_reference
pass_count,gate_base_compact,2.0,2.0,accepted_completed_reference
pass_count,support_to_release_sequence,2.0,2.0,accepted_completed_reference
pass_count,momentum_persistence,2.0,2.0,accepted_completed_reference
