record_type,group,metric,value,count
weak_focus_summary,weak_focus,focus_trade_count,3.0,
weak_focus_summary,weak_focus,weak_ready_persistent,2.0,
weak_focus_summary,weak_focus,weak_ready_transition,1.0,
weak_focus_summary,weak_focus,weak_ready_other,0.0,
pass_count,weak_ready_persistent,gate_base_compact,0.0,2.0
pass_count,weak_ready_persistent,momentum_persistence,1.0,2.0
pass_count,weak_ready_persistent,support_to_release_sequence,0.0,2.0
pass_count,weak_ready_persistent,gate_support_stability_preserved,0.0,2.0
pass_count,weak_ready_persistent,gate_directional_preparation_present,2.0,2.0
value_summary,weak_ready_persistent,gate_b1_di_spread,7.2477897249437895,2.0
value_summary,weak_ready_persistent,gate_e0_di_spread,12.827287990055021,2.0
value_summary,weak_ready_persistent,gate_b1_adx,24.959390894387866,2.0
value_summary,weak_ready_persistent,gate_e0_adx,25.337137443946116,2.0
value_summary,weak_ready_persistent,gate_e0_atr_ratio,1.1217182390745337,2.0
value_summary,weak_ready_persistent,gate_close_gap_min_b4b1,0.0680341834937103,2.0
value_summary,weak_ready_persistent,gate_low_gap_min_b4b1,-1.195547617966581,2.0
value_summary,weak_ready_persistent,gate_pre_range_atr_b4b1,2.70329904953294,2.0
value_summary,weak_ready_persistent,b1_atr_ratio_rebuilt,1.0742700599640846,2.0
value_summary,weak_ready_persistent,e0_atr_ratio_rebuilt,1.1217182390745337,2.0
value_summary,weak_ready_persistent,PnL,-14.161994625567836,2.0
pass_count,weak_ready_transition,gate_base_compact,1.0,1.0
pass_count,weak_ready_transition,momentum_persistence,1.0,1.0
pass_count,weak_ready_transition,support_to_release_sequence,0.0,1.0
pass_count,weak_ready_transition,gate_support_stability_preserved,0.0,1.0
pass_count,weak_ready_transition,gate_directional_preparation_present,1.0,1.0
value_summary,weak_ready_transition,gate_b1_di_spread,6.144194535614663,1.0
value_summary,weak_ready_transition,gate_e0_di_spread,10.06453058142668,1.0
value_summary,weak_ready_transition,gate_b1_adx,27.80788210613821,1.0
value_summary,weak_ready_transition,gate_e0_adx,27.308452601520145,1.0
value_summary,weak_ready_transition,gate_e0_atr_ratio,1.016555006277207,1.0
value_summary,weak_ready_transition,gate_close_gap_min_b4b1,0.0,1.0
value_summary,weak_ready_transition,gate_low_gap_min_b4b1,-1.1210394059169355,1.0
value_summary,weak_ready_transition,gate_pre_range_atr_b4b1,1.583280780895318,1.0
value_summary,weak_ready_transition,b1_atr_ratio_rebuilt,0.976149917185431,1.0
value_summary,weak_ready_transition,e0_atr_ratio_rebuilt,1.016555006277207,1.0
value_summary,weak_ready_transition,PnL,-0.7035496149555155,1.0
pass_count,weak_ready_other,gate_base_compact,0.0,0.0
pass_count,weak_ready_other,momentum_persistence,0.0,0.0
pass_count,weak_ready_other,support_to_release_sequence,0.0,0.0
pass_count,weak_ready_other,gate_support_stability_preserved,0.0,0.0
pass_count,weak_ready_other,gate_directional_preparation_present,0.0,0.0
value_summary,weak_ready_other,gate_b1_di_spread,0.0,0.0
value_summary,weak_ready_other,gate_e0_di_spread,0.0,0.0
value_summary,weak_ready_other,gate_b1_adx,0.0,0.0
value_summary,weak_ready_other,gate_e0_adx,0.0,0.0
value_summary,weak_ready_other,gate_e0_atr_ratio,0.0,0.0
value_summary,weak_ready_other,gate_close_gap_min_b4b1,0.0,0.0
value_summary,weak_ready_other,gate_low_gap_min_b4b1,0.0,0.0
value_summary,weak_ready_other,gate_pre_range_atr_b4b1,0.0,0.0
value_summary,weak_ready_other,b1_atr_ratio_rebuilt,0.0,0.0
value_summary,weak_ready_other,e0_atr_ratio_rebuilt,0.0,0.0
value_summary,weak_ready_other,PnL,0.0,0.0
pass_count,accepted_nonintact_reference,gate_base_compact,2.0,2.0
pass_count,accepted_nonintact_reference,momentum_persistence,0.0,2.0
pass_count,accepted_nonintact_reference,support_to_release_sequence,1.0,2.0
pass_count,accepted_nonintact_reference,gate_support_stability_preserved,2.0,2.0
pass_count,accepted_nonintact_reference,gate_directional_preparation_present,0.0,2.0
value_summary,accepted_nonintact_reference,gate_b1_di_spread,7.861548187624539,2.0
value_summary,accepted_nonintact_reference,gate_e0_di_spread,9.624509648420792,2.0
value_summary,accepted_nonintact_reference,gate_b1_adx,40.68429049676557,2.0
value_summary,accepted_nonintact_reference,gate_e0_adx,39.64313908805701,2.0
value_summary,accepted_nonintact_reference,gate_e0_atr_ratio,0.9259392169059748,2.0
value_summary,accepted_nonintact_reference,gate_close_gap_min_b4b1,0.3890371852279289,2.0
value_summary,accepted_nonintact_reference,gate_low_gap_min_b4b1,-0.15895363430658155,2.0
value_summary,accepted_nonintact_reference,gate_pre_range_atr_b4b1,1.9889350797513212,2.0
value_summary,accepted_nonintact_reference,b1_atr_ratio_rebuilt,0.9137680783203503,2.0
value_summary,accepted_nonintact_reference,e0_atr_ratio_rebuilt,0.9259392169059748,2.0
value_summary,accepted_nonintact_reference,PnL,1.5743611452652155,2.0
pass_count,accepted_completed_reference,gate_base_compact,2.0,2.0
pass_count,accepted_completed_reference,momentum_persistence,2.0,2.0
pass_count,accepted_completed_reference,support_to_release_sequence,2.0,2.0
pass_count,accepted_completed_reference,gate_support_stability_preserved,2.0,2.0
pass_count,accepted_completed_reference,gate_directional_preparation_present,2.0,2.0
value_summary,accepted_completed_reference,gate_b1_di_spread,7.231913037691327,2.0
value_summary,accepted_completed_reference,gate_e0_di_spread,8.513032731099912,2.0
value_summary,accepted_completed_reference,gate_b1_adx,34.23325183630356,2.0
value_summary,accepted_completed_reference,gate_e0_adx,33.48626298455832,2.0
value_summary,accepted_completed_reference,gate_e0_atr_ratio,1.0843039810216437,2.0
value_summary,accepted_completed_reference,gate_close_gap_min_b4b1,0.3712524608123535,2.0
value_summary,accepted_completed_reference,gate_low_gap_min_b4b1,-0.24123833853825855,2.0
value_summary,accepted_completed_reference,gate_pre_range_atr_b4b1,1.7987847358796891,2.0
value_summary,accepted_completed_reference,b1_atr_ratio_rebuilt,1.1095901398461894,2.0
value_summary,accepted_completed_reference,e0_atr_ratio_rebuilt,1.0843039810216437,2.0
value_summary,accepted_completed_reference,PnL,162.49327310015084,2.0
