symbol,dataset_path,rows,feature_rows_after_indicator_warmup,first_timestamp,last_timestamp,total_baseline_trades,Long1_count,Long2_count,Short1_count,Short2_count,instrumented_Long2_count,starter_long_signal_count,add_long_signal_count,starter_short_signal_count,add_short_signal_count,add_long_signal_runtime_after_manage_long_count,add_long_signal_runtime_after_manage_flat_count,add_long_signal_runtime_block_reached_count,add_long_signal_runtime_len_lt_2_count,add_long_signal_runtime_len_ge_2_count,add_long_signal_runtime_in_profit_count,add_long_signal_runtime_all_gates_passed_count,add_long_signal_returned_after_new_entry_count,add_long_signal_lifecycle_active_long_inclusive_count,add_long_signal_lifecycle_active_short_inclusive_count,add_long_signal_lifecycle_flat_count,add_long_signal_runtime_after_manage_long_share,add_long_signal_runtime_after_manage_flat_share,add_long_signal_runtime_in_profit_share_of_after_manage_long,avg_bars_since_long1_entry_for_runtime_active_long_add_signal,median_bars_since_long1_entry_for_runtime_active_long_add_signal,avg_bars_to_long1_exit_for_runtime_active_long_add_signal,median_bars_to_long1_exit_for_runtime_active_long_add_signal,has_enough_raw_add_long_material_for_future_inventory,has_any_actual_Long2_execution,future_long2_discovery_material_class
TRXUSDT,D:\Bot\0412_Bot_short1_research_workspace\data\TRXUSDT_4h.csv,16152,16080,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,87,84,0,3,0,0,186,363,4,1,146,217,146,146,0,0,0,6,152,0,211,0.4022038567493113,0.5977961432506887,0.0,21.506849315068493,16.5,21.123287671232877,19.0,True,False,raw_add_long_high
BNBUSDT,D:\Bot\0412_Bot_short1_research_workspace\data\BNBUSDT_4h.csv,16152,16080,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,80,80,0,0,0,0,163,339,0,0,168,171,168,168,0,0,0,8,176,0,163,0.49557522123893805,0.504424778761062,0.0,22.023809523809526,14.0,30.654761904761905,24.5,True,False,raw_add_long_high
ETHUSDT,D:\Bot\0412_Bot_short1_research_workspace\data\ETHUSDT_4h.csv,16152,16080,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,85,84,0,1,0,0,171,335,3,2,172,163,172,172,0,0,0,10,182,0,153,0.5134328358208955,0.48656716417910445,0.0,23.017441860465116,16.0,28.6046511627907,24.0,True,False,raw_add_long_high
BTCUSDT,D:\Bot\0412_Bot_short1_research_workspace\data\BTCUSDT_4h.csv,15947,15875,2019-01-01 00:00:00+00:00,2026-04-12 12:00:00+00:00,91,90,0,1,0,0,181,333,2,2,149,184,149,149,0,0,0,7,156,0,177,0.44744744744744747,0.5525525525525525,0.0,16.114093959731544,12.0,24.691275167785236,22.0,True,False,raw_add_long_high
LINKUSDT,D:\Bot\0412_Bot_short1_research_workspace\data\LINKUSDT_4h.csv,16060,15996,2019-01-16 08:00:00+00:00,2026-05-16 16:00:00+00:00,67,64,0,3,0,0,131,254,13,3,83,171,83,83,0,0,0,4,87,0,167,0.32677165354330706,0.6732283464566929,0.0,12.843373493975903,7.0,20.771084337349397,16.0,True,False,raw_add_long_high
SOLUSDT,D:\Bot\0412_Bot_short1_research_workspace\data\SOLUSDT_4h.csv,12628,12557,2020-08-11 04:00:00+00:00,2026-05-16 16:00:00+00:00,58,52,0,6,0,0,104,235,12,0,90,145,90,90,0,0,0,3,93,0,142,0.3829787234042553,0.6170212765957447,0.0,17.41111111111111,11.0,23.366666666666667,16.5,True,False,raw_add_long_high
ADAUSDT,D:\Bot\0412_Bot_short1_research_workspace\data\ADAUSDT_4h.csv,16152,16080,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,52,39,0,13,0,0,79,220,36,0,59,161,59,59,0,0,0,6,65,0,155,0.2681818181818182,0.7318181818181818,0.0,17.10169491525424,14.0,24.966101694915253,24.0,True,False,raw_add_long_high
LTCUSDT,D:\Bot\0412_Bot_short1_research_workspace\data\LTCUSDT_4h.csv,16152,16080,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,61,49,0,12,0,0,113,200,34,2,85,115,85,85,0,0,0,5,90,0,110,0.425,0.575,0.0,8.68235294117647,7.0,16.764705882352942,14.0,True,False,raw_add_long_high
XRPUSDT,D:\Bot\0412_Bot_short1_research_workspace\data\XRPUSDT_4h.csv,16152,16080,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,50,37,0,13,0,0,61,189,34,4,33,156,33,33,0,0,0,1,34,0,155,0.1746031746031746,0.8253968253968254,0.0,20.0,13.0,27.575757575757574,23.0,True,False,raw_add_long_high
BCHUSDT,D:\Bot\0412_Bot_short1_research_workspace\data\BCHUSDT_4h.csv,14168,14110,2019-11-28 08:00:00+00:00,2026-05-16 16:00:00+00:00,62,54,0,8,0,0,110,185,17,3,56,129,56,56,0,0,0,6,62,0,123,0.3027027027027027,0.6972972972972973,0.0,10.196428571428571,8.0,14.410714285714286,12.0,True,False,raw_add_long_high
