market,trade_tag,side,entry_timestamp,exit_timestamp,entry_bar,exit_bar,duration_bars,entry_price,exit_price,pnl,return_pct,exit_mechanism_label,exit_mechanism_detail,exact_close_event,matched_event_bar,matched_event_timestamp,tp1_occurred,tp2_occurred,trailing_stop_occurred,stop_assignment_occurred,stop_hit_occurred_proxy,trend_fail_occurred,add_on_interaction_occurred,add_on_entry_before_exit,latest_stop_kind,latest_stop_price,exit_to_stop_distance_pct,classification_confidence,notes
AAVEUSDT,Short1,short,2020-11-02 12:00:00+00:00,2020-11-03 04:00:00+00:00,51,55,4.0,30.199999999999996,27.94,37.41703143599992,0.07483443708609261,short_tp1_partial_close,position.close(portion=partial_exit_pct),True,55,2020-11-03 04:00:00+00:00,True,False,True,True,False,False,False,False,short_trailing_stop,3.0803974944283914e-07,90702578.94475041,exact,Research-only instrumentation; explicit strategy close event matched.
AAVEUSDT,Short1,short,2020-11-02 12:00:00+00:00,2020-11-05 12:00:00+00:00,51,69,18.0,30.199999999999996,28.628757032372352,26.013826349038766,0.05202791283535246,stop_hit_proxy:short_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,68,2020-11-05 08:00:00+00:00,True,False,True,True,True,False,False,False,short_trailing_stop,2.8628757032372353e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
AAVEUSDT,Long1,long,2020-11-15 20:00:00+00:00,2020-11-16 16:00:00+00:00,131,136,5.0,64.256,71.574,56.97938247435998,0.1138881972111554,long_tp1_partial_close,position.close(portion=partial_exit_pct),True,136,2020-11-16 16:00:00+00:00,True,False,False,True,False,False,True,True,long_breakeven_floor_stop,6.456832029543612e-07,110850025.25514956,exact,Research-only instrumentation; explicit strategy close event matched.
AAVEUSDT,Long2,long,2020-11-16 16:00:00+00:00,2020-11-18 12:00:00+00:00,136,147,11.0,71.574,68.3475164446911,-22.453417063613937,-0.04507898895281681,stop_hit_proxy:long_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,146,2020-11-18 08:00:00+00:00,False,False,True,True,True,False,True,False,long_trailing_stop,6.834751644469109e-07,99999999.00000001,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
AAVEUSDT,Long1,long,2020-11-15 20:00:00+00:00,2020-11-18 12:00:00+00:00,131,147,16.0,64.256,68.3475164446911,31.857349016503104,0.06367524347440057,stop_hit_proxy:long_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,146,2020-11-18 08:00:00+00:00,True,False,True,True,True,False,True,True,long_trailing_stop,6.834751644469109e-07,99999999.00000001,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
AAVEUSDT,Long1,long,2020-11-18 20:00:00+00:00,2020-11-20 12:00:00+00:00,149,159,10.0,75.15,78.153,20.005377291900007,0.03996007984031946,long_tp1_partial_close,position.close(portion=partial_exit_pct),True,159,2020-11-20 12:00:00+00:00,True,False,False,True,False,False,False,False,long_breakeven_floor_stop,7.546656355401458e-07,103559769.4724724,exact,Research-only instrumentation; explicit strategy close event matched.
AAVEUSDT,Long1,long,2020-11-18 20:00:00+00:00,2020-11-20 20:00:00+00:00,149,161,12.0,75.15,75.45872687158497,2.0566758364749123,0.004108142003792059,stop_hit_proxy:long_breakeven_floor_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,160,2020-11-20 16:00:00+00:00,True,False,False,True,True,False,False,False,long_breakeven_floor_stop,7.545872687158497e-07,99999999.00000001,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
AAVEUSDT,Long1,long,2020-12-02 00:00:00+00:00,2020-12-02 08:00:00+00:00,228,230,2.0,76.452,85.097,56.622343145550026,0.11307748652749439,long_tp1_partial_close,position.close(portion=partial_exit_pct),True,230,2020-12-02 08:00:00+00:00,True,False,False,True,False,False,True,True,long_breakeven_floor_stop,7.677789817062417e-07,110835281.06371084,exact,Research-only instrumentation; explicit strategy close event matched.
AAVEUSDT,Long2,long,2020-12-02 08:00:00+00:00,2020-12-04 20:00:00+00:00,230,245,15.0,85.097,83.04194924863938,-12.038918718274717,-0.024149508811833753,stop_hit_proxy:long_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,244,2020-12-04 16:00:00+00:00,False,False,True,True,True,False,True,False,long_trailing_stop,8.304194924863939e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
AAVEUSDT,Long1,long,2020-12-02 00:00:00+00:00,2020-12-04 20:00:00+00:00,228,245,17.0,76.452,83.04194924863938,43.16233287081768,0.08619721195834495,stop_hit_proxy:long_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,244,2020-12-04 16:00:00+00:00,True,False,True,True,True,False,True,True,long_trailing_stop,8.304194924863939e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
