scope,trade_tag,exit_mechanism_label,count,share_of_tag,avg_duration_bars,median_duration_bars,fast_exit_count_le_8_bars,medium_hold_count_9_to_24_bars,long_hold_count_gt_24_bars,tp1_occurred_count,tp2_occurred_count,trailing_stop_proxy_count,stop_hit_proxy_count,trend_fail_count,add_on_interaction_count,exact_close_event_count,proxy_or_unmatched_count,notes
AAVEUSDT,Long1,long_tp1_partial_close,31,0.33695652173913043,5.290322580645161,4.0,24,7,0,31,0,3,0,0,20,31,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AAVEUSDT,Long1,stop_hit_proxy:long_trailing_stop,23,0.25,12.956521739130435,11.0,8,13,2,11,7,23,23,0,12,0,23,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AAVEUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,18,0.1956521739130435,9.38888888888889,9.5,8,10,0,18,0,0,18,0,12,0,18,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AAVEUSDT,Long1,stop_hit_proxy:long_base_stop,16,0.17391304347826086,3.9375,3.5,15,1,0,0,0,0,16,0,0,0,16,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AAVEUSDT,Long1,long_trend_fail_close,4,0.043478260869565216,5.0,3.5,3,1,0,0,0,1,0,4,0,4,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ADAUSDT,Long1,stop_hit_proxy:long_trailing_stop,27,0.38571428571428573,12.25925925925926,10.0,8,18,1,11,7,27,27,0,10,0,27,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ADAUSDT,Long1,long_tp1_partial_close,22,0.3142857142857143,6.454545454545454,5.0,16,6,0,22,2,7,0,0,13,22,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ADAUSDT,Long1,stop_hit_proxy:long_base_stop,12,0.17142857142857143,4.833333333333333,4.0,11,1,0,0,0,0,12,0,0,0,12,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ADAUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,7,0.1,11.142857142857142,8.0,4,3,0,7,0,0,7,0,6,0,7,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ADAUSDT,Long1,long_trend_fail_close,2,0.02857142857142857,4.5,4.5,2,0,0,0,0,0,0,2,0,2,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AGGREGATE,Long1,long_tp1_partial_close,562,0.33492252681764006,5.948398576512456,5.0,448,113,1,562,22,124,0,0,343,562,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AGGREGATE,Long1,stop_hit_proxy:long_trailing_stop,510,0.3039332538736591,12.937254901960785,11.0,163,299,48,257,141,510,510,0,265,0,510,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AGGREGATE,Long1,stop_hit_proxy:long_base_stop,303,0.18057210965435042,4.551155115511551,4.0,276,27,0,0,0,0,303,0,7,0,303,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AGGREGATE,Long1,stop_hit_proxy:long_breakeven_floor_stop,241,0.1436233611442193,9.755186721991702,9.0,119,119,3,241,1,0,241,0,177,0,241,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AGGREGATE,Long1,long_trend_fail_close,62,0.03694874851013111,3.903225806451613,3.0,54,8,0,0,0,9,0,62,0,62,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ATOMUSDT,Long1,long_tp1_partial_close,19,0.3877551020408163,5.052631578947368,4.0,16,3,0,19,0,2,0,0,11,19,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ATOMUSDT,Long1,stop_hit_proxy:long_trailing_stop,13,0.2653061224489796,11.307692307692308,11.0,3,10,0,6,3,13,13,0,9,0,13,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ATOMUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,8,0.16326530612244897,8.5,7.5,4,4,0,8,0,0,8,0,6,0,8,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ATOMUSDT,Long1,stop_hit_proxy:long_base_stop,7,0.14285714285714285,3.0,3.0,7,0,0,0,0,0,7,0,1,0,7,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ATOMUSDT,Long1,long_trend_fail_close,2,0.04081632653061224,8.0,8.0,1,1,0,0,0,0,0,2,0,2,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AVAXUSDT,Long1,long_tp1_partial_close,16,0.32653061224489793,5.875,4.0,14,2,0,16,1,5,0,0,12,16,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AVAXUSDT,Long1,stop_hit_proxy:long_trailing_stop,14,0.2857142857142857,15.5,13.0,5,7,2,8,5,14,14,0,9,0,14,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AVAXUSDT,Long1,stop_hit_proxy:long_base_stop,8,0.16326530612244897,3.875,3.0,7,1,0,0,0,0,8,0,0,0,8,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AVAXUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,8,0.16326530612244897,7.875,7.0,5,3,0,8,0,0,8,0,8,0,8,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AVAXUSDT,Long1,long_trend_fail_close,3,0.061224489795918366,3.6666666666666665,3.0,3,0,0,0,0,1,0,3,0,3,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BCHUSDT,Long1,long_tp1_partial_close,28,0.28865979381443296,6.107142857142857,4.0,21,7,0,28,2,8,0,0,16,28,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BCHUSDT,Long1,stop_hit_proxy:long_trailing_stop,28,0.28865979381443296,10.071428571428571,8.5,14,12,2,10,8,28,28,0,10,0,28,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BCHUSDT,Long1,stop_hit_proxy:long_base_stop,21,0.21649484536082475,5.523809523809524,5.0,20,1,0,0,0,0,21,0,0,0,21,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BCHUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,16,0.16494845360824742,12.0,10.5,4,12,0,16,0,0,16,0,14,0,16,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BCHUSDT,Long1,long_trend_fail_close,4,0.041237113402061855,2.0,1.5,4,0,0,0,0,0,0,4,0,4,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BNBUSDT,Long1,long_tp1_partial_close,59,0.37341772151898733,5.88135593220339,4.0,48,11,0,59,4,17,0,0,33,59,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BNBUSDT,Long1,stop_hit_proxy:long_trailing_stop,57,0.36075949367088606,14.859649122807017,13.0,9,41,7,37,21,57,57,0,33,0,57,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BNBUSDT,Long1,stop_hit_proxy:long_base_stop,25,0.15822784810126583,5.0,4.0,21,4,0,0,0,0,25,0,1,0,25,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BNBUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,15,0.0949367088607595,9.333333333333334,7.0,10,4,1,15,1,0,15,0,10,0,15,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BNBUSDT,Long1,long_trend_fail_close,2,0.012658227848101266,2.5,2.5,2,0,0,0,0,0,0,2,0,2,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BTCUSDT,Long1,long_tp1_partial_close,61,0.3567251461988304,6.262295081967213,5.0,47,14,0,61,3,16,0,0,37,61,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BTCUSDT,Long1,stop_hit_proxy:long_trailing_stop,53,0.30994152046783624,14.245283018867925,11.0,16,30,7,26,16,53,53,0,28,0,53,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BTCUSDT,Long1,stop_hit_proxy:long_base_stop,30,0.17543859649122806,4.533333333333333,4.0,27,3,0,0,0,0,30,0,0,0,30,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BTCUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,23,0.13450292397660818,8.652173913043478,7.0,14,9,0,23,0,0,23,0,17,0,23,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BTCUSDT,Long1,long_trend_fail_close,4,0.023391812865497075,4.25,3.0,3,1,0,0,0,1,0,4,0,4,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
DOGEUSDT,Long1,long_tp1_partial_close,16,0.2962962962962963,8.4375,5.0,10,6,0,16,0,2,0,0,7,16,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
DOGEUSDT,Long1,stop_hit_proxy:long_trailing_stop,14,0.25925925925925924,11.071428571428571,10.5,5,9,0,6,2,14,14,0,5,0,14,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
DOGEUSDT,Long1,stop_hit_proxy:long_base_stop,11,0.2037037037037037,5.181818181818182,5.0,11,0,0,0,0,0,11,0,0,0,11,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
DOGEUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,9,0.16666666666666666,11.444444444444445,8.0,6,2,1,9,0,0,9,0,6,0,9,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
DOGEUSDT,Long1,long_trend_fail_close,4,0.07407407407407407,3.0,2.5,4,0,0,0,0,1,0,4,0,4,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
DOTUSDT,Long1,stop_hit_proxy:long_trailing_stop,14,0.3111111111111111,13.928571428571429,15.0,3,10,1,4,3,14,14,0,5,0,14,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
DOTUSDT,Long1,stop_hit_proxy:long_base_stop,12,0.26666666666666666,4.5,3.5,11,1,0,0,0,0,12,0,1,0,12,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
DOTUSDT,Long1,long_tp1_partial_close,11,0.24444444444444444,6.090909090909091,5.0,9,2,0,11,1,2,0,0,6,11,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
DOTUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,6,0.13333333333333333,12.0,10.0,2,4,0,6,0,0,6,0,3,0,6,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
DOTUSDT,Long1,long_trend_fail_close,2,0.044444444444444446,2.5,2.5,2,0,0,0,0,0,0,2,0,2,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ETCUSDT,Long1,stop_hit_proxy:long_trailing_stop,19,0.34545454545454546,12.210526315789474,11.0,7,11,1,9,5,19,19,0,9,0,19,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ETCUSDT,Long1,long_tp1_partial_close,18,0.32727272727272727,7.0,6.0,13,4,1,18,2,4,0,0,13,18,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ETCUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,8,0.14545454545454545,10.25,9.0,4,4,0,8,0,0,8,0,7,0,8,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ETCUSDT,Long1,stop_hit_proxy:long_base_stop,7,0.12727272727272726,5.428571428571429,4.0,6,1,0,0,0,0,7,0,0,0,7,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ETCUSDT,Long1,long_trend_fail_close,3,0.05454545454545454,7.333333333333333,1.0,2,1,0,0,0,1,0,3,0,3,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ETHUSDT,Long1,long_tp1_partial_close,56,0.358974358974359,6.625,6.5,41,15,0,56,1,9,0,0,41,56,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ETHUSDT,Long1,stop_hit_proxy:long_trailing_stop,43,0.27564102564102566,16.162790697674417,14.0,12,21,10,26,18,43,43,0,24,0,43,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ETHUSDT,Long1,stop_hit_proxy:long_base_stop,31,0.1987179487179487,4.935483870967742,4.0,28,3,0,0,0,0,31,0,0,0,31,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ETHUSDT,Long1,stop_hit_proxy:long_breakeven_floor_stop,21,0.1346153846153846,9.571428571428571,10.0,10,11,0,21,0,0,21,0,16,0,21,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ETHUSDT,Long1,long_trend_fail_close,5,0.03205128205128205,3.4,3.0,5,0,0,0,0,1,0,5,0,5,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
FILUSDT,Long1,long_tp1_partial_close,4,0.4444444444444444,5.25,4.5,4,0,0,4,0,2,0,0,3,4,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
FILUSDT,Long1,stop_hit_proxy:long_trailing_stop,3,0.3333333333333333,14.666666666666666,15.0,0,3,0,1,1,3,3,0,1,0,3,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
