scope,trade_tag,exit_mechanism_label,count,share_of_tag,avg_duration_bars,median_duration_bars,fast_exit_count_le_8_bars,medium_hold_count_9_to_24_bars,long_hold_count_gt_24_bars,tp1_occurred_count,tp2_occurred_count,trailing_stop_proxy_count,stop_hit_proxy_count,trend_fail_count,add_on_interaction_count,exact_close_event_count,proxy_or_unmatched_count,notes
AAVEUSDT,Short1,stop_hit_proxy:short_trailing_stop,7,0.3181818181818182,9.428571428571429,8.0,4,3,0,2,0,7,7,0,0,0,7,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AAVEUSDT,Short1,short_tp1_partial_close,6,0.2727272727272727,7.333333333333333,6.0,4,2,0,6,1,6,0,0,0,6,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AAVEUSDT,Short1,stop_hit_proxy:short_base_stop,5,0.22727272727272727,5.6,4.0,4,1,0,0,0,0,5,0,0,0,5,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AAVEUSDT,Short1,short_tp2_close,2,0.09090909090909091,14.0,14.0,0,2,0,2,2,2,0,0,0,2,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AAVEUSDT,Short1,stop_hit_proxy:short_breakeven_floor_stop,2,0.09090909090909091,12.5,12.5,0,2,0,2,0,0,2,0,0,0,2,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ADAUSDT,Short1,short_tp1_partial_close,10,0.3125,3.9,4.0,10,0,0,10,1,10,0,0,0,10,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ADAUSDT,Short1,stop_hit_proxy:short_trailing_stop,8,0.25,12.875,11.5,2,5,1,4,0,8,8,0,0,0,8,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ADAUSDT,Short1,short_trend_fail_close,5,0.15625,5.4,5.0,5,0,0,0,0,0,0,5,0,5,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ADAUSDT,Short1,short_tp2_close,4,0.125,11.75,10.5,2,2,0,4,4,4,0,0,0,4,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ADAUSDT,Short1,stop_hit_proxy:short_base_stop,4,0.125,3.75,3.0,4,0,0,0,0,0,4,0,0,0,4,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ADAUSDT,Short1,stop_hit_proxy:short_breakeven_floor_stop,1,0.03125,11.0,11.0,0,1,0,1,0,0,1,0,0,0,1,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AGGREGATE,Short1,short_tp1_partial_close,157,0.29961832061068705,7.305732484076433,6.0,107,50,0,157,14,157,0,0,0,157,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AGGREGATE,Short1,stop_hit_proxy:short_trailing_stop,139,0.2652671755725191,10.690647482014388,10.0,61,72,6,42,0,139,139,0,0,0,139,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AGGREGATE,Short1,stop_hit_proxy:short_base_stop,101,0.19274809160305342,4.930693069306931,4.0,88,13,0,0,0,0,101,0,0,0,101,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AGGREGATE,Short1,short_tp2_close,55,0.1049618320610687,13.49090909090909,14.0,14,39,2,55,55,55,0,0,0,55,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AGGREGATE,Short1,short_trend_fail_close,36,0.06870229007633588,5.861111111111111,5.0,29,7,0,0,0,14,0,36,0,36,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AGGREGATE,Short1,stop_hit_proxy:short_breakeven_floor_stop,36,0.06870229007633588,10.38888888888889,9.5,12,24,0,36,0,0,36,0,0,0,36,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ATOMUSDT,Short1,short_tp1_partial_close,18,0.29508196721311475,7.055555555555555,4.5,13,5,0,18,0,18,0,0,0,18,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ATOMUSDT,Short1,stop_hit_proxy:short_base_stop,16,0.26229508196721313,5.0,4.0,13,3,0,0,0,0,16,0,0,0,16,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ATOMUSDT,Short1,stop_hit_proxy:short_trailing_stop,14,0.22950819672131148,10.642857142857142,11.0,6,8,0,6,0,14,14,0,0,0,14,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ATOMUSDT,Short1,short_tp2_close,7,0.11475409836065574,15.0,13.0,1,5,1,7,7,7,0,0,0,7,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ATOMUSDT,Short1,short_trend_fail_close,3,0.04918032786885246,3.3333333333333335,3.0,3,0,0,0,0,0,0,3,0,3,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
ATOMUSDT,Short1,stop_hit_proxy:short_breakeven_floor_stop,3,0.04918032786885246,12.333333333333334,9.0,1,2,0,3,0,0,3,0,0,0,3,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AVAXUSDT,Short1,short_tp1_partial_close,4,0.26666666666666666,6.0,5.0,3,1,0,4,2,4,0,0,0,4,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AVAXUSDT,Short1,stop_hit_proxy:short_base_stop,4,0.26666666666666666,5.0,5.5,4,0,0,0,0,0,4,0,0,0,4,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AVAXUSDT,Short1,short_tp2_close,3,0.2,10.0,5.0,2,1,0,3,3,3,0,0,0,3,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AVAXUSDT,Short1,stop_hit_proxy:short_trailing_stop,3,0.2,9.666666666666666,10.0,1,2,0,0,0,3,3,0,0,0,3,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
AVAXUSDT,Short1,stop_hit_proxy:short_breakeven_floor_stop,1,0.06666666666666667,9.0,9.0,0,1,0,1,0,0,1,0,0,0,1,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BCHUSDT,Short1,short_tp1_partial_close,6,0.3157894736842105,10.166666666666666,8.5,3,3,0,6,1,6,0,0,0,6,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BCHUSDT,Short1,stop_hit_proxy:short_base_stop,5,0.2631578947368421,8.4,7.0,3,2,0,0,0,0,5,0,0,0,5,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BCHUSDT,Short1,stop_hit_proxy:short_breakeven_floor_stop,4,0.21052631578947367,14.25,12.5,0,4,0,4,0,0,4,0,0,0,4,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BCHUSDT,Short1,short_tp2_close,2,0.10526315789473684,11.0,11.0,1,1,0,2,2,2,0,0,0,2,0,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BCHUSDT,Short1,stop_hit_proxy:short_trailing_stop,2,0.10526315789473684,14.0,14.0,0,2,0,0,0,2,2,0,0,0,2,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
BTCUSDT,Short1,stop_hit_proxy:short_trailing_stop,1,1.0,16.0,16.0,0,1,0,0,0,1,1,0,0,0,1,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
DOGEUSDT,Short1,stop_hit_proxy:short_trailing_stop,22,0.6470588235294118,10.590909090909092,8.0,12,8,2,5,0,22,22,0,0,0,22,Stop-hit and trailing labels are proxies unless exact_close_event_count > 0 for position.close mechanisms.
