market,family,pre_count,post_count,count_delta,pre_avg_duration_bars,post_avg_duration_bars,avg_duration_delta_bars,pre_median_duration_bars,post_median_duration_bars,median_duration_delta_bars,pre_min_duration_bars,post_min_duration_bars,pre_max_duration_bars,post_max_duration_bars,exit_reason_available,interpretation_proxy
AGGREGATE,Long1,872,1668,796,16.321286516674988,7.230169692941158,-9.091116823733831,10.0,6.0,-4.0,,,,,False,count increase with shorter duration
AGGREGATE,Short1,184,527,343,109.65681919060542,9.290923454533726,-100.36589573607169,80.0,7.25,-72.75,,,,,False,count increase with shorter duration
AAVEUSDT,Long1,43,94,51,15.325581395348838,6.882978723404255,-8.442602671944583,12.0,5.0,-7.0,1.0,1.0,78.0,49.0,False,count increase with shorter duration
AAVEUSDT,Short1,10,22,12,74.8,8.681818181818182,-66.11818181818181,56.0,8.0,-48.0,18.0,3.0,159.0,18.0,False,count increase with shorter duration
ADAUSDT,Long1,39,71,32,16.0,7.788732394366197,-8.211267605633804,10.0,6.0,-4.0,1.0,1.0,60.0,34.0,False,count increase with shorter duration
ADAUSDT,Short1,13,33,20,86.3076923076923,8.121212121212121,-78.18648018648018,62.0,6.0,-56.0,5.0,2.0,278.0,29.0,False,count increase with shorter duration
ATOMUSDT,Long1,23,48,25,17.304347826086957,6.3125,-10.991847826086957,11.0,4.0,-7.0,1.0,1.0,81.0,23.0,False,count increase with shorter duration
ATOMUSDT,Short1,18,61,43,138.83333333333334,8.39344262295082,-130.4398907103825,75.0,6.0,-69.0,4.0,1.0,620.0,27.0,False,count increase with shorter duration
AVAXUSDT,Long1,27,47,20,13.296296296296296,6.340425531914893,-6.955870764381403,9.0,5.0,-4.0,2.0,1.0,81.0,25.0,False,count increase with shorter duration
AVAXUSDT,Short1,7,15,8,187.0,7.466666666666667,-179.53333333333333,146.0,6.0,-140.0,11.0,3.0,399.0,21.0,False,count increase with shorter duration
BCHUSDT,Long1,54,94,40,12.444444444444445,6.446808510638298,-5.997635933806147,10.0,5.0,-5.0,1.0,1.0,39.0,25.0,False,count increase with shorter duration
BCHUSDT,Short1,8,19,11,71.125,11.052631578947368,-60.07236842105263,78.0,11.0,-67.0,16.0,3.0,151.0,21.0,False,count increase with shorter duration
BNBUSDT,Long1,80,159,79,18.2125,8.062893081761006,-10.149606918238993,11.5,6.0,-5.5,1.0,1.0,133.0,32.0,False,count increase with shorter duration
BNBUSDT,Short1,0,0,0,,,,,,,,,,,False,no count-duration compression proxy
BTCUSDT,Long1,90,169,79,16.4,7.615384615384615,-8.784615384615384,10.0,5.0,-5.0,1.0,1.0,71.0,49.0,False,count increase with shorter duration
BTCUSDT,Short1,1,1,0,99.0,16.0,-83.0,99.0,16.0,-83.0,99.0,16.0,99.0,16.0,False,no count-duration compression proxy
DOGEUSDT,Long1,27,51,24,17.185185185185187,8.07843137254902,-9.106753812636168,9.0,6.0,-3.0,1.0,1.0,107.0,27.0,False,count increase with shorter duration
DOGEUSDT,Short1,11,35,24,108.36363636363636,9.628571428571428,-98.73506493506493,62.0,8.0,-54.0,6.0,2.0,322.0,27.0,False,count increase with shorter duration
DOTUSDT,Long1,28,45,17,13.071428571428571,7.844444444444444,-5.226984126984127,8.5,6.0,-2.5,1.0,1.0,44.0,21.0,False,count increase with shorter duration
