market,before_Long1,before_Long2,before_Short1,before_Short2,before_total_trades,after_Long1,after_Long2,after_Short1,after_Short2,after_total_trades,delta_Long1,delta_Long2,delta_Short1,delta_Short2,delta_total_trades
AGGREGATE,872,0,184,0,1056,1668,501,527,0,2696,796,501,343,0,1640
AAVEUSDT,43,0,10,0,53,94,29,22,0,145,51,29,12,0,92
ADAUSDT,39,0,13,0,52,71,18,33,0,122,32,18,20,0,70
ATOMUSDT,23,0,18,0,41,48,19,61,0,128,25,19,43,0,87
AVAXUSDT,27,0,7,0,34,47,17,15,0,79,20,17,8,0,45
BCHUSDT,54,0,8,0,62,94,25,19,0,138,40,25,11,0,76
BNBUSDT,80,0,0,0,80,159,49,0,0,208,79,49,0,0,128
BTCUSDT,90,0,1,0,91,169,49,1,0,219,79,49,0,0,128
DOGEUSDT,27,0,11,0,38,51,12,35,0,98,24,12,24,0,60
DOTUSDT,28,0,18,0,46,45,8,69,0,122,17,8,51,0,76
ETCUSDT,29,0,10,0,39,56,19,28,0,103,27,19,18,0,64
ETHUSDT,84,0,1,0,85,156,47,3,0,206,72,47,2,0,121
FILUSDT,4,0,23,0,27,9,3,65,0,77,5,3,42,0,50
LINKUSDT,64,0,3,0,67,119,35,12,0,166,55,35,9,0,99
LTCUSDT,49,0,12,0,61,102,44,25,0,171,53,44,13,0,110
NEARUSDT,42,0,11,0,53,79,23,34,0,136,37,23,23,0,83
SOLUSDT,52,0,6,0,58,111,39,14,0,164,59,39,8,0,106
TRXUSDT,84,0,3,0,87,176,47,7,0,230,92,47,4,0,143
UNIUSDT,16,0,16,0,32,25,7,47,0,79,9,7,31,0,47
XRPUSDT,37,0,13,0,50,57,11,37,0,105,20,11,24,0,55
