market,period,family,count,avg_duration_bars,median_duration_bars,min_duration_bars,max_duration_bars,exit_reason_available,note,scope
AAVEUSDT,pre,Long1,43,15.325581395348838,12.0,1.0,78.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
AAVEUSDT,pre,Long2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
AAVEUSDT,pre,Short1,10,74.8,56.0,18.0,159.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
AAVEUSDT,pre,Short2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
AAVEUSDT,post,Long1,94,6.882978723404255,5.0,1.0,49.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
AAVEUSDT,post,Long2,29,7.379310344827586,5.0,1.0,47.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
AAVEUSDT,post,Short1,22,8.681818181818182,8.0,3.0,18.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
AAVEUSDT,post,Short2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
ADAUSDT,pre,Long1,39,16.0,10.0,1.0,60.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
ADAUSDT,pre,Long2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
ADAUSDT,pre,Short1,13,86.3076923076923,62.0,5.0,278.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
ADAUSDT,pre,Short2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
ADAUSDT,post,Long1,71,7.788732394366197,6.0,1.0,34.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
ADAUSDT,post,Long2,18,6.666666666666667,4.5,1.0,29.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
ADAUSDT,post,Short1,33,8.121212121212121,6.0,2.0,29.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
ADAUSDT,post,Short2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
ATOMUSDT,pre,Long1,23,17.304347826086957,11.0,1.0,81.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
ATOMUSDT,pre,Long2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
ATOMUSDT,pre,Short1,18,138.83333333333334,75.0,4.0,620.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
ATOMUSDT,pre,Short2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
ATOMUSDT,post,Long1,48,6.3125,4.0,1.0,23.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
ATOMUSDT,post,Long2,19,4.894736842105263,3.0,1.0,22.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
ATOMUSDT,post,Short1,61,8.39344262295082,6.0,1.0,27.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
ATOMUSDT,post,Short2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
AVAXUSDT,pre,Long1,27,13.296296296296296,9.0,2.0,81.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
AVAXUSDT,pre,Long2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
AVAXUSDT,pre,Short1,7,187.0,146.0,11.0,399.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
AVAXUSDT,pre,Short2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
AVAXUSDT,post,Long1,47,6.340425531914893,5.0,1.0,25.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
AVAXUSDT,post,Long2,17,5.117647058823529,4.0,1.0,13.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
AVAXUSDT,post,Short1,15,7.466666666666667,6.0,3.0,21.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
AVAXUSDT,post,Short2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BCHUSDT,pre,Long1,54,12.444444444444445,10.0,1.0,39.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BCHUSDT,pre,Long2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BCHUSDT,pre,Short1,8,71.125,78.0,16.0,151.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BCHUSDT,pre,Short2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BCHUSDT,post,Long1,94,6.446808510638298,5.0,1.0,25.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BCHUSDT,post,Long2,25,5.08,4.0,1.0,18.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BCHUSDT,post,Short1,19,11.052631578947368,11.0,3.0,21.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BCHUSDT,post,Short2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BNBUSDT,pre,Long1,80,18.2125,11.5,1.0,133.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BNBUSDT,pre,Long2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BNBUSDT,pre,Short1,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BNBUSDT,pre,Short2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BNBUSDT,post,Long1,159,8.062893081761006,6.0,1.0,32.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BNBUSDT,post,Long2,49,8.326530612244898,6.0,1.0,28.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BNBUSDT,post,Short1,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BNBUSDT,post,Short2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BTCUSDT,pre,Long1,90,16.4,10.0,1.0,71.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BTCUSDT,pre,Long2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BTCUSDT,pre,Short1,1,99.0,99.0,99.0,99.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BTCUSDT,pre,Short2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BTCUSDT,post,Long1,169,7.615384615384615,5.0,1.0,49.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BTCUSDT,post,Long2,49,8.73469387755102,4.0,1.0,48.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BTCUSDT,post,Short1,1,16.0,16.0,16.0,16.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
BTCUSDT,post,Short2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
DOGEUSDT,pre,Long1,27,17.185185185185187,9.0,1.0,107.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
DOGEUSDT,pre,Long2,0,,,,,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
DOGEUSDT,pre,Short1,11,108.36363636363636,62.0,6.0,322.0,False,Backtesting trade export does not include explicit exit reason; duration/count changes are lifecycle proxies.,market
