scope,raw_add_short_signal_total,active_short_add_short_after_manage_total,after_manage_flat_or_ineligible_total,len_trades_lt_2_pass_total,add_on_gap_pass_total,runtime_in_profit_pass_total,all_short2_gates_pass_total
aggregate,39,3,36,3,3,0,0
AAVEUSDT,0,0,0,0,0,0,0
ADAUSDT,0,0,0,0,0,0,0
ATOMUSDT,4,1,3,1,1,0,0
AVAXUSDT,2,0,2,0,0,0,0
BCHUSDT,3,0,3,0,0,0,0
BNBUSDT,0,0,0,0,0,0,0
BTCUSDT,2,0,2,0,0,0,0
DOGEUSDT,6,0,6,0,0,0,0
DOTUSDT,4,0,4,0,0,0,0
ETCUSDT,3,0,3,0,0,0,0
ETHUSDT,2,0,2,0,0,0,0
FILUSDT,1,1,0,1,1,0,0
LINKUSDT,3,0,3,0,0,0,0
LTCUSDT,2,0,2,0,0,0,0
NEARUSDT,1,0,1,0,0,0,0
SOLUSDT,0,0,0,0,0,0,0
TRXUSDT,1,0,1,0,0,0,0
UNIUSDT,1,0,1,0,0,0,0
XRPUSDT,4,1,3,1,1,0,0
