state,market,family,count,avg_duration_bars,median_duration_bars,min_duration_bars,max_duration_bars,fast_exit_proxy_count,medium_hold_proxy_count,long_hold_proxy_count,exit_reason_available,proxy_bucket_definition,source,notes
A_original_pre_unit_fix_baseline,AGGREGATE,Long1,872,16.321286516674988,10.0,,,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,AGGREGATE,Long1,1668,7.230169692941158,6.0,,,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,AGGREGATE,Short1,184,109.65681919060542,80.0,,,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,AGGREGATE,Short1,527,9.290923454533726,7.25,,,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,AAVEUSDT,Long1,43,15.325581395348838,12.0,1.0,78.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,AAVEUSDT,Long1,94,6.882978723404255,5.0,1.0,49.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,AAVEUSDT,Short1,10,74.8,56.0,18.0,159.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,AAVEUSDT,Short1,22,8.681818181818182,8.0,3.0,18.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
A_original_pre_unit_fix_baseline,ADAUSDT,Long1,39,16.0,10.0,1.0,60.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
B_post_option_a_atr_distance_patch,ADAUSDT,Long1,71,7.788732394366197,6.0,1.0,34.0,,,,False,prior artifact did not export per-trade buckets here,long2_option_a_management_exit_audit_round1.per_market_count_duration_delta.csv,prior accepted lifecycle summary; explicit exit reasons unavailable
