market,family,baseline_count,post_option_a_count,post_trend_fail_count,delta_baseline_to_option_a,delta_option_a_to_trend_fail,delta_baseline_to_trend_fail,largest_abs_delta_scope,notes
AAVEUSDT,Long1,43,94,92,51,-2,49,baseline_to_option_a,counts only; no profitability interpretation
AAVEUSDT,Long2,0,29,30,29,1,30,baseline_to_trend_fail,counts only; no profitability interpretation
AAVEUSDT,Short1,10,22,22,12,0,12,baseline_to_option_a,counts only; no profitability interpretation
AAVEUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
AAVEUSDT,Total,53,145,144,92,-1,91,baseline_to_option_a,counts only; no profitability interpretation
ADAUSDT,Long1,39,71,70,32,-1,31,baseline_to_option_a,counts only; no profitability interpretation
ADAUSDT,Long2,0,18,18,18,0,18,baseline_to_option_a,counts only; no profitability interpretation
ADAUSDT,Short1,13,33,32,20,-1,19,baseline_to_option_a,counts only; no profitability interpretation
ADAUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
ADAUSDT,Total,52,122,120,70,-2,68,baseline_to_option_a,counts only; no profitability interpretation
ATOMUSDT,Long1,23,48,49,25,1,26,baseline_to_trend_fail,counts only; no profitability interpretation
ATOMUSDT,Long2,0,19,20,19,1,20,baseline_to_trend_fail,counts only; no profitability interpretation
ATOMUSDT,Short1,18,61,61,43,0,43,baseline_to_option_a,counts only; no profitability interpretation
ATOMUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
ATOMUSDT,Total,41,128,130,87,2,89,baseline_to_trend_fail,counts only; no profitability interpretation
AVAXUSDT,Long1,27,47,49,20,2,22,baseline_to_trend_fail,counts only; no profitability interpretation
AVAXUSDT,Long2,0,17,20,17,3,20,baseline_to_trend_fail,counts only; no profitability interpretation
AVAXUSDT,Short1,7,15,15,8,0,8,baseline_to_option_a,counts only; no profitability interpretation
AVAXUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
AVAXUSDT,Total,34,79,84,45,5,50,baseline_to_trend_fail,counts only; no profitability interpretation
BCHUSDT,Long1,54,94,97,40,3,43,baseline_to_trend_fail,counts only; no profitability interpretation
BCHUSDT,Long2,0,25,27,25,2,27,baseline_to_trend_fail,counts only; no profitability interpretation
BCHUSDT,Short1,8,19,19,11,0,11,baseline_to_option_a,counts only; no profitability interpretation
BCHUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
BCHUSDT,Total,62,138,143,76,5,81,baseline_to_trend_fail,counts only; no profitability interpretation
BNBUSDT,Long1,80,159,158,79,-1,78,baseline_to_option_a,counts only; no profitability interpretation
BNBUSDT,Long2,0,49,50,49,1,50,baseline_to_trend_fail,counts only; no profitability interpretation
BNBUSDT,Short1,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
BNBUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
BNBUSDT,Total,80,208,208,128,0,128,baseline_to_option_a,counts only; no profitability interpretation
BTCUSDT,Long1,90,169,171,79,2,81,baseline_to_trend_fail,counts only; no profitability interpretation
BTCUSDT,Long2,0,49,52,49,3,52,baseline_to_trend_fail,counts only; no profitability interpretation
BTCUSDT,Short1,1,1,1,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
BTCUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
BTCUSDT,Total,91,219,224,128,5,133,baseline_to_trend_fail,counts only; no profitability interpretation
DOGEUSDT,Long1,27,51,54,24,3,27,baseline_to_trend_fail,counts only; no profitability interpretation
DOGEUSDT,Long2,0,12,13,12,1,13,baseline_to_trend_fail,counts only; no profitability interpretation
DOGEUSDT,Short1,11,35,34,24,-1,23,baseline_to_option_a,counts only; no profitability interpretation
DOGEUSDT,Short2,0,0,0,0,0,0,baseline_to_option_a,counts only; no profitability interpretation
