market,long1_only_net_pnl,long1_long2_net_pnl,delta_net_pnl,long1_only_profit_factor,long1_long2_profit_factor,delta_profit_factor,long1_only_max_drawdown_pct,long1_long2_max_drawdown_pct,delta_max_drawdown_pct,long1_only_win_rate,long1_long2_win_rate,delta_win_rate,Long2_count,Long2_total_pnl,Long2_avg_pnl,Long2_median_pnl,Long2_win_rate,label,notes,family_proxy
AAVEUSDT,129.81090801372193,48.26377478882205,-81.54713322489988,1.0745773579717655,1.021716619120563,-0.05286073885120235,0.4156887078779925,0.560792487334838,0.1451037794568455,70.32967032967034,59.01639344262295,-11.313276887047387,30,-7.277030635718116,-0.24256768785727054,-9.940378996797035,40.0,weak_negative,delta compares full long-only variants; Long2 PnL is closed Long2-tag PnL and can differ due lifecycle interaction,smaller_alts
ADAUSDT,96.33548948152747,407.23479238421714,310.89930290268967,1.0600669859747653,1.2272526505518562,0.16718566457709083,0.3464428045720114,0.42536225934761696,0.07891945477560558,57.14285714285714,54.54545454545454,-2.597402597402599,18,269.30290393696947,14.961272440942748,-4.782116857841482,44.44444444444444,strong_positive,delta compares full long-only variants; Long2 PnL is closed Long2-tag PnL and can differ due lifecycle interaction,large_alts
ATOMUSDT,200.6768613173772,-14.548101795240655,-215.22496311261784,1.188706678729461,0.9901915686487052,-0.19851511008075573,0.4761399197592442,0.5628810040612775,0.08674108430203331,72.54901960784314,55.072463768115945,-17.47655583972719,20,-142.02930856605903,-7.1014654283029515,-18.343956419514747,25.0,strong_negative,delta compares full long-only variants; Long2 PnL is closed Long2-tag PnL and can differ due lifecycle interaction,smaller_alts
AVAXUSDT,461.2489181251003,445.853882090174,-15.395036034926306,1.5127665912432018,1.3768047342129264,-0.1359618570302754,0.45770704000224205,0.48937032594925656,0.03166328594701451,70.0,56.52173913043478,-13.478260869565219,20,-72.61413820099958,-3.630706910049979,-8.92498593599636,30.0,weak_negative,delta compares full long-only variants; Long2 PnL is closed Long2-tag PnL and can differ due lifecycle interaction,smaller_alts
BCHUSDT,-243.70308909891173,-135.6537183278706,108.04937077104114,0.8604694403544008,0.9307720857579966,0.07030264540359588,0.8898543766205025,0.9791762643097002,0.08932188768919769,55.670103092783506,52.41935483870967,-3.2507482540738337,27,-6.217127976046572,-0.23026399911283602,-6.112087284488047,40.74074074074074,weak_positive,delta compares full long-only variants; Long2 PnL is closed Long2-tag PnL and can differ due lifecycle interaction,large_alts
BNBUSDT,1917.9208136868401,3100.9942727210437,1183.0734590342036,2.175143251399215,2.582517911018661,0.4073746596194461,0.3146038066703438,0.3506516694662509,0.036047862795907104,70.70063694267516,65.86538461538461,-4.835252327290547,50,1181.693909296226,23.63387818592452,0.5742993324590817,52.0,strong_positive,delta compares full long-only variants; Long2 PnL is closed Long2-tag PnL and can differ due lifecycle interaction,majors
BTCUSDT,421.26293853801326,498.158474429787,76.89553589177376,1.2716716126304415,1.2797942483887499,0.008122635758308405,0.21584385076716117,0.2580082492107949,0.04216439844363373,62.721893491124256,58.29596412556054,-4.425929365563718,52,156.19895622846113,3.0038260813165603,-2.0675202233336893,42.30769230769231,weak_positive,delta compares full long-only variants; Long2 PnL is closed Long2-tag PnL and can differ due lifecycle interaction,majors
DOGEUSDT,-420.1667332225188,-482.51996174588567,-62.35322852336685,0.6835998873821202,0.6903030167076937,0.006703129325573487,0.6091892951233469,0.6934029168348066,0.08421362171145974,61.111111111111114,50.74626865671642,-10.364842454394697,13,-50.57835410837876,-3.890642623721443,-10.547656334599836,23.076923076923077,weak_negative,delta compares full long-only variants; Long2 PnL is closed Long2-tag PnL and can differ due lifecycle interaction,large_alts
DOTUSDT,-745.3124078857654,-778.0769736610964,-32.76456577533099,0.4616300314396954,0.4879275591288443,0.026297527689148892,0.9359411482670277,0.9896562891970051,0.05371514092997742,46.666666666666664,43.63636363636363,-3.030303030303031,10,-61.25695480646939,-6.125695480646939,-13.082668019283844,30.0,weak_negative,delta compares full long-only variants; Long2 PnL is closed Long2-tag PnL and can differ due lifecycle interaction,large_alts
ETCUSDT,-43.33422678147326,-33.8994349292625,9.434791852210765,0.9625000283252375,0.9744942877618428,0.011994259436605259,0.4748143713097508,0.5200680410650138,0.045253669755263015,63.63636363636363,56.75675675675676,-6.879606879606875,19,-18.191953386788576,-0.9574712308836093,-6.397139438454015,36.84210526315789,neutral,delta compares full long-only variants; Long2 PnL is closed Long2-tag PnL and can differ due lifecycle interaction,smaller_alts
ETHUSDT,697.9380109218182,1426.6378510415816,728.6998401197634,1.4281380807224866,1.7806379489457733,0.3524998682232867,0.3787989193283825,0.27097360427773554,-0.10782531505064696,66.23376623376623,63.10679611650486,-3.126970117261372,50,636.8861067107822,12.737722134215645,0.11332643239670986,52.0,strong_positive,delta compares full long-only variants; Long2 PnL is closed Long2-tag PnL and can differ due lifecycle interaction,majors
FILUSDT,264.74105026983307,394.1716715129005,129.43062124306743,5.356441015128564,5.201789233527954,-0.15465178160061033,0.11748425593941514,0.12698000981398172,0.009495753874566581,77.77777777777779,66.66666666666666,-11.111111111111128,3,123.07623658710642,41.02541219570214,-13.703051175520523,33.33333333333333,weak_positive,delta compares full long-only variants; Long2 PnL is closed Long2-tag PnL and can differ due lifecycle interaction,smaller_alts
LINKUSDT,301.4412906622456,259.2644667893328,-42.17682387291279,1.1376024525266064,1.0971842459127343,-0.040418206613872076,0.4564726124366314,0.5400775072779029,0.08360489484127154,62.71186440677966,54.19354838709678,-8.518316019682878,36,2.096378871473428,0.05823274642981745,-6.103699514711969,30.555555555555557,weak_negative,delta compares full long-only variants; Long2 PnL is closed Long2-tag PnL and can differ due lifecycle interaction,large_alts
LTCUSDT,826.352431098654,1114.0493389131589,287.6969078145048,1.7014036412466382,1.8365219929688221,0.1351183517221839,0.1751913748771705,0.21660782886212537,0.04141645398495486,73.73737373737373,68.96551724137932,-4.771856495994413,45,104.10610760401217,2.313469057866937,2.144682155703946,55.55555555555556,strong_positive,delta compares full long-only variants; Long2 PnL is closed Long2-tag PnL and can differ due lifecycle interaction,large_alts
NEARUSDT,-174.43293775124766,-291.41757153767685,-116.98463378642919,0.9127287523595901,0.8791616485420708,-0.03356710381751926,0.8630248821733355,1.149990901441511,0.28696601926817555,64.1025641025641,53.398058252427184,-10.704505850136918,24,-134.12641299228846,-5.588600541345353,-15.798584966753548,25.0,strong_negative,delta compares full long-only variants; Long2 PnL is closed Long2-tag PnL and can differ due lifecycle interaction,smaller_alts
SOLUSDT,638.6378639617178,803.9638846763846,165.3260207146668,1.3827642730995366,1.3945265580625883,0.01176228496305165,0.5161361863134317,0.6054790701735868,0.0893428838601551,66.35514018691589,60.810810810810814,-5.544329376105075,39,41.23295184309549,1.057255175463987,-2.4722791657188203,46.15384615384615,strong_positive,delta compares full long-only variants; Long2 PnL is closed Long2-tag PnL and can differ due lifecycle interaction,majors
