market,timestamp,bar_index,position_side_before_manage,position_side_after_manage,runtime_close,avg_entry,atr_unscaled,runtime_price_scale,runtime_add_on_profit_distance,profit_threshold_price,runtime_in_profit,len_trades,len_trades_lt_2_pass,add_on_gap_bars_pass,all_long2_gates_passed,add_long_signal,bars_since_long1_entry,active_long_entry_timestamp,position_size
AAVEUSDT,2020-12-07T12:00:00+00:00,261,long,long,9.421599999999999e-07,8.575400000000001e-07,4.201102101280128,1e-08,3.3608816810241027e-08,8.911488168102411e-07,True,1,True,True,True,True,14,2020-12-05T04:00:00+00:00,1167841151.0
AAVEUSDT,2020-11-16T16:00:00+00:00,136,long,long,7.1574e-07,6.425600000000001e-07,4.961285908722355,1e-08,3.9690287269778844e-08,6.822502872697789e-07,True,1,True,True,True,True,5,2020-11-15T20:00:00+00:00,1556468274.0
AAVEUSDT,2020-12-02T08:00:00+00:00,230,long,long,8.5097e-07,7.6452e-07,4.988923412483511,1e-08,3.991138729986809e-08,8.044313872998681e-07,True,1,True,True,True,True,2,2020-12-02T00:00:00+00:00,1308807697.0
AAVEUSDT,2025-07-06T20:00:00+00:00,10295,long,long,2.8735e-06,2.7357e-06,6.33367255064169,1e-08,5.066938040513353e-08,2.7863693804051333e-06,True,1,True,True,True,True,9,2025-07-05T08:00:00+00:00,365322548.0
AAVEUSDT,2025-07-08T16:00:00+00:00,10306,long,long,2.9097000000000003e-06,2.8322e-06,6.529331065494368,1e-08,5.2234648523954945e-08,2.8844346485239553e-06,True,1,True,True,True,True,5,2025-07-07T20:00:00+00:00,352965872.0
AAVEUSDT,2025-07-02T16:00:00+00:00,10270,long,long,2.7986e-06,2.7393e-06,6.780480640581816,1e-08,5.424384512465453e-08,2.7935438451246546e-06,True,1,True,True,True,True,1,2025-07-02T12:00:00+00:00,364950899.0
AAVEUSDT,2021-01-07T12:00:00+00:00,447,long,long,1.26847e-06,1.15191e-06,7.65015166056644,1e-08,6.120121328453152e-08,1.2131112132845315e-06,True,1,True,True,True,True,4,2021-01-06T20:00:00+00:00,869191319.0
AAVEUSDT,2025-07-13T12:00:00+00:00,10335,long,long,3.1164e-06,3.0086000000000003e-06,7.761966126909171,1e-08,6.209572901527338e-08,3.070695729015274e-06,True,1,True,True,True,True,9,2025-07-12T00:00:00+00:00,332467779.0
AAVEUSDT,2025-08-12T16:00:00+00:00,10516,long,long,3.1412e-06,2.9866000000000003e-06,8.066412400909769,1e-08,6.453129920727816e-08,3.0511312992072783e-06,True,1,True,True,True,True,7,2025-08-11T12:00:00+00:00,167347341.0
AAVEUSDT,2025-05-13T16:00:00+00:00,9970,long,long,2.352e-06,2.1837e-06,8.303846916600794,1e-08,6.643077533280635e-08,2.2501307753328062e-06,True,1,True,True,True,True,2,2025-05-13T08:00:00+00:00,458392773.0
AAVEUSDT,2025-05-16T04:00:00+00:00,9985,long,long,2.3765e-06,2.2947000000000002e-06,8.379855343923714,1e-08,6.703884275138971e-08,2.36173884275139e-06,True,1,True,True,True,True,1,2025-05-16T00:00:00+00:00,436170801.0
AAVEUSDT,2024-11-27T04:00:00+00:00,8965,long,long,1.9211e-06,1.816e-06,8.393581891408637,1e-08,6.71486551312691e-08,1.8831486551312692e-06,True,1,True,True,True,True,2,2024-11-26T20:00:00+00:00,550749411.0
AAVEUSDT,2025-08-22T16:00:00+00:00,10576,long,long,3.3767000000000002e-06,3.1977999999999997e-06,9.929983537394751,1e-08,7.943986829915801e-08,3.2772398682991576e-06,True,1,True,True,True,True,1,2025-08-22T12:00:00+00:00,312799511.0
AAVEUSDT,2025-07-16T04:00:00+00:00,10351,long,long,3.3248000000000003e-06,3.1351e-06,10.397146410739618,1e-08,8.317717128591694e-08,3.218277171285917e-06,True,1,True,True,True,True,6,2025-07-15T04:00:00+00:00,159493055.0
AAVEUSDT,2025-05-20T00:00:00+00:00,10008,long,long,2.6612e-06,2.4036e-06,10.821938394953554,1e-08,8.657550715962843e-08,2.4901755071596285e-06,True,1,True,True,True,True,2,2025-05-19T16:00:00+00:00,415951997.0
AAVEUSDT,2021-01-16T00:00:00+00:00,498,long,long,1.795e-06,1.5195099999999999e-06,11.965131934500151,1e-08,9.572105547600123e-08,1.615231055476001e-06,True,1,True,True,True,True,2,2021-01-15T16:00:00+00:00,657088687.0
AAVEUSDT,2021-08-16T04:00:00+00:00,1771,long,long,4.2394000000000004e-06,4.1027e-06,12.699802670595831,1e-08,1.0159842136476666e-07,4.204298421364766e-06,True,1,True,True,True,True,2,2021-08-15T20:00:00+00:00,244030291.0
AAVEUSDT,2021-02-03T08:00:00+00:00,608,long,long,3.1753699999999997e-06,3.01171e-06,12.934896928519699,1e-08,1.034791754281576e-07,3.115189175428158e-06,True,1,True,True,True,True,4,2021-02-02T16:00:00+00:00,331758847.0
AAVEUSDT,2021-08-11T04:00:00+00:00,1741,long,long,4.0637e-06,3.8448e-06,13.62944649091744,1e-08,1.0903557192733952e-07,3.95383557192734e-06,True,1,True,True,True,True,3,2021-08-10T16:00:00+00:00,260365970.0
AAVEUSDT,2021-08-13T04:00:00+00:00,1753,long,long,4.2327e-06,4.001e-06,15.024798890736095,1e-08,1.2019839112588875e-07,4.121198391125889e-06,True,1,True,True,True,True,1,2021-08-13T00:00:00+00:00,250275404.0
ADAUSDT,2020-07-01T12:00:00+00:00,3208,long,long,9.014e-10,8.387999999999999e-10,0.0018577154877146835,1e-08,1.486172390171747e-11,8.536617239017174e-10,True,1,True,True,True,True,6,2020-06-30T12:00:00+00:00,1190284630760.0
ADAUSDT,2020-07-06T20:00:00+00:00,3240,long,long,1.0512e-09,9.605e-10,0.0029326946427419755,1e-08,2.3461557141935805e-11,9.839615571419358e-10,True,1,True,True,True,True,7,2020-07-05T16:00:00+00:00,1040816181836.0
