scope,markets,raw_add_long_signal_total,active_long_add_long_after_manage_total,after_manage_flat_or_ineligible_total,returned_after_new_entry_before_long2_eval_total,manage_closed_or_changed_before_add_eval_among_active_candidates,len_trades_lt_2_pass_total,add_on_gap_pass_total,runtime_in_profit_pass_total,scale_consistent_in_profit_diagnostic_pass_total,all_runtime_gates_pass_total,runtime_in_profit_share_of_active_candidates,scale_consistent_in_profit_diagnostic_share_of_active_candidates,close_above_entry_share_of_active_candidates,runtime_price_scale_seen,primary_observed_blocker,interpretation
aggregate,19,3958,1378,2580,73.0,0.0,1378,1378,0,1324,0,0.0,0.9608127721335269,0.9985486211901307,1e-08,runtime_in_profit_mixed_scale_threshold,"Long2 branch is reached, len(self.trades)<2 and add_on_gap pass on active candidates, but runtime in_profit never passes."
ETHUSDT,1,335,172,163,,,172,172,0,167,0,0.0,0.9709302325581395,1.0,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
BNBUSDT,1,339,168,171,,,168,168,0,165,0,0.0,0.9821428571428571,1.0,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
BTCUSDT,1,333,149,184,,,149,149,0,142,0,0.0,0.9530201342281879,1.0,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
TRXUSDT,1,363,146,217,,,146,146,0,141,0,0.0,0.9657534246575342,1.0,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
SOLUSDT,1,235,90,145,,,90,90,0,86,0,0.0,0.9555555555555556,1.0,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
LTCUSDT,1,200,85,115,,,85,85,0,83,0,0.0,0.9764705882352941,1.0,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
LINKUSDT,1,254,83,171,,,83,83,0,79,0,0.0,0.9518072289156626,1.0,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
AAVEUSDT,1,167,65,102,,,65,65,0,62,0,0.0,0.9538461538461539,1.0,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
ADAUSDT,1,220,59,161,,,59,59,0,57,0,0.0,0.9661016949152542,0.9830508474576272,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
BCHUSDT,1,185,56,129,,,56,56,0,54,0,0.0,0.9642857142857143,1.0,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
NEARUSDT,1,153,56,97,,,56,56,0,53,0,0.0,0.9464285714285714,1.0,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
ETCUSDT,1,173,54,119,,,54,54,0,53,0,0.0,0.9814814814814815,1.0,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
AVAXUSDT,1,155,37,118,,,37,37,0,37,0,0.0,1.0,1.0,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
ATOMUSDT,1,153,37,116,,,37,37,0,36,0,0.0,0.972972972972973,1.0,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
DOGEUSDT,1,168,36,132,,,36,36,0,32,0,0.0,0.8888888888888888,0.9722222222222222,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
XRPUSDT,1,189,33,156,,,33,33,0,33,0,0.0,1.0,1.0,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
DOTUSDT,1,122,20,102,,,20,20,0,16,0,0.0,0.8,1.0,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
FILUSDT,1,80,20,60,,,20,20,0,19,0,0.0,0.95,1.0,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
UNIUSDT,1,134,12,122,,,12,12,0,9,0,0.0,0.75,1.0,1e-08,runtime_in_profit_mixed_scale_threshold,market-level Long2 gate funnel
