scope,count,runtime_in_profit_pass,scale_consistent_in_profit_diagnostic_pass,close_above_entry_count,close_above_entry_share,avg_runtime_unrealized_pct,median_runtime_unrealized_pct,min_runtime_unrealized_pct,max_runtime_unrealized_pct,avg_mixed_scale_profit_atr,median_mixed_scale_profit_atr,min_mixed_scale_profit_atr,max_mixed_scale_profit_atr,avg_scale_consistent_profit_atr,median_scale_consistent_profit_atr,min_scale_consistent_profit_atr,max_scale_consistent_profit_atr,avg_runtime_close_minus_mixed_threshold,max_runtime_close_minus_mixed_threshold,avg_runtime_close_minus_scale_consistent_threshold,max_runtime_close_minus_scale_consistent_threshold,avg_bars_since_long1_entry,median_bars_since_long1_entry,min_bars_since_long1_entry,max_bars_since_long1_entry
aggregate,1378,0,1324,1376,0.9985486211901307,0.20995545148502445,0.10236234866662519,-0.08576370997423627,5.8375474050999925,4.109791104203814e-08,3.378112068904809e-08,-1.4521100964201927e-08,1.5655636281624844e-07,4.109791104203814,3.3781120689048088,-1.4521100964201927,15.655636281624844,-74.33710161417063,-0.00040523059680583996,3.1110263148450897e-06,0.00016406072926803013,18.0,11.0,1.0,98.0
market:AAVEUSDT,65,0,62,65,1.0,0.16567659434857326,0.11388819721115533,0.02164786624320082,0.7544650713382097,3.1156695324917806e-08,2.5730791993356493e-08,5.6740144590429756e-09,7.845354693886675e-08,3.115669532491781,2.573079199335649,0.5674014459042975,7.845354693886676,-10.18380980819724,-3.360881503384103,3.039945132443168e-07,2.0178856865780616e-06,14.138461538461538,7.0,1.0,65.0
market:ADAUSDT,59,0,57,58,0.9830508474576272,0.2857179252460816,0.1880327687368538,-0.03381445241946887,1.22054893211555,4.239597493815089e-08,3.821411145387996e-08,-1.4521100964201927e-08,9.802235462468777e-08,4.239597493815089,3.8214111453879958,-1.4521100964201927,9.802235462468778,-0.03765923173948311,-0.00148617232757168,1.6018280018040166e-09,6.982918237740983e-09,17.10169491525424,14.0,1.0,46.0
market:ATOMUSDT,37,0,36,37,1.0,0.2494311176969205,0.14434529985474165,0.025830258302583013,1.4304420951465644,3.307597239269961e-08,2.789551723016439e-08,5.375386778319762e-09,9.748247504737723e-08,3.3075972392699606,2.789551723016439,0.5375386778319762,9.748247504737723,-0.8970789019844695,-0.2386749042901709,2.6593534948836388e-08,1.0921295781593537e-07,19.135135135135137,17.0,1.0,64.0
market:AVAXUSDT,37,0,37,37,1.0,0.3629726101359412,0.14766187050359716,0.04163512490537464,1.774254850970194,3.716307328013108e-08,2.8488733188853244e-08,1.0754335948859118e-08,8.470499857894465e-08,3.716307328013108,2.848873318885324,1.075433594885912,8.470499857894465,-2.5130256912006463,-1.0536850837288676,9.578193106806085e-08,3.212726504029774e-07,15.972972972972974,11.0,1.0,65.0
market:BCHUSDT,56,0,54,56,1.0,0.17167430316806945,0.09152142625951051,0.0065308661172444275,0.750504810547571,3.2195952469197964e-08,2.861484312872426e-08,3.436850618222399e-09,7.341204760049565e-08,3.219595246919796,2.8614843128724257,0.3436850618222399,7.341204760049565,-23.217630307076906,-7.063689166705441,8.819397572166418e-07,4.436211006042432e-06,10.196428571428571,8.0,1.0,34.0
market:BNBUSDT,168,0,165,168,1.0,0.2233586636780558,0.1158443611789539,0.011811828985832348,2.239428529915228,5.078395672270135e-08,4.541801929146898e-08,3.958431522541096e-09,1.206008775061722e-07,5.078395672270135,4.5418019291468985,0.3958431522541096,12.06008775061722,-7.410702259044107,-0.1218121074382576,4.2385775219181594e-07,2.8269619460655223e-06,22.023809523809526,14.0,1.0,95.0
market:BTCUSDT,149,0,142,149,1.0,0.10033053906979673,0.06691915536801285,0.002658227848101216,0.5372662155689282,4.060628010929699e-08,3.4532965119373195e-08,3.2954445191054325e-09,1.1809889482202178e-07,4.060628010929698,3.453296511937319,0.3295444519105432,11.809889482202177,-617.9558647485184,-53.293549855906804,2.512319875761073e-05,0.00016406072926803013,16.114093959731544,12.0,1.0,56.0
market:DOGEUSDT,36,0,32,35,0.9722222222222222,0.8339389396832358,0.11883322410515565,-0.08576370997423627,5.8375474050999925,3.5766062465254847e-08,2.514807783833559e-08,-6.504915280196769e-09,8.917037080175267e-08,3.5766062465254844,2.5148077838335587,-0.6504915280196769,8.917037080175266,-0.008588527022678389,-0.0013195772531787201,4.468373077793236e-10,3.005877333886522e-09,35.47222222222222,21.0,4.0,98.0
market:DOTUSDT,20,0,16,20,1.0,0.12784402110890333,0.08974153514132238,0.021625312997951465,0.2998566697968668,2.655918772502999e-08,2.139736485301027e-08,6.605149443994698e-09,7.674033323255564e-08,2.655918772502999,2.139736485301027,0.6605149443994698,7.674033323255564,-0.8904677506919555,-0.09263312255134264,2.0995922194074445e-08,6.92416560503329e-08,11.25,11.0,1.0,35.0
market:ETCUSDT,54,0,53,54,1.0,0.3070864823210652,0.15243893405176462,0.016330688729046118,1.8517482421351443,4.4439617406588083e-08,3.658324791811184e-08,6.116404356137511e-09,1.1129615238211088e-07,4.443961740658809,3.658324791811184,0.6116404356137511,11.129615238211088,-0.8105176322726111,-0.13838195518900073,3.902936024296555e-08,2.455310422622457e-07,22.72222222222222,14.5,1.0,70.0
market:ETHUSDT,172,0,167,172,1.0,0.1487633623700867,0.09647307701640614,0.00508747983620791,0.6851139512760063,5.1050846354582374e-08,4.111141838456833e-08,3.4491269095239275e-09,1.5655636281624844e-07,5.105084635458238,4.111141838456833,0.34491269095239274,15.655636281624844,-35.057997293387004,-1.9287332441996177,2.0902490724252813e-06,1.544446660247648e-05,23.017441860465116,16.0,1.0,85.0
