market,rows,first_timestamp,last_timestamp,Long1_count,Long2_count,add_long_signal_count,add_long_signal_runtime_after_manage_flat_count,active_long_add_long_after_manage,len_trades_lt_2_pass,add_on_gap_pass,runtime_in_profit_pass,scale_consistent_in_profit_diagnostic_pass,all_runtime_gates_pass,close_above_entry_share,avg_scale_consistent_profit_atr,median_scale_consistent_profit_atr,max_scale_consistent_profit_atr,max_mixed_scale_profit_atr,closest_mixed_scale_threshold_gap,closest_scale_consistent_threshold_gap,avg_bars_since_long1_entry,median_bars_since_long1_entry,runtime_in_profit_share,scale_consistent_in_profit_diagnostic_share,active_candidate_rank,closest_scale_consistent_profit_rank,future_gate_diagnostic_material
ETHUSDT,16152,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,84,0,335,163,172,172,172,0,167,0,1.0,5.105084635458237,4.111141838456833,15.655636281624844,1.5655636281624844e-07,-1.9287332441996177,1.544446660247648e-05,23.017441860465116,16.0,0.0,0.9709302325581395,1,1,high
BNBUSDT,16152,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,80,0,339,171,168,168,168,0,165,0,1.0,5.078395672270135,4.5418019291468985,12.06008775061722,1.206008775061722e-07,-0.1218121074382576,2.8269619460655223e-06,22.023809523809526,14.0,0.0,0.9821428571428571,2,3,high
BTCUSDT,15947,2019-01-01 00:00:00+00:00,2026-04-12 12:00:00+00:00,90,0,333,184,149,149,149,0,142,0,1.0,4.060628010929698,3.453296511937319,11.809889482202177,1.1809889482202178e-07,-53.293549855906804,0.00016406072926803013,16.114093959731544,12.0,0.0,0.9530201342281879,3,4,high
TRXUSDT,16152,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,84,0,363,217,146,146,146,0,141,0,1.0,4.346561695924262,3.873950697236189,10.156089716239759,1.0156089716239759e-07,-0.00040523059680583996,7.367790030315519e-10,21.506849315068493,16.5,0.0,0.9657534246575342,4,8,high
SOLUSDT,12628,2020-08-11 04:00:00+00:00,2026-05-16 16:00:00+00:00,52,0,235,145,90,90,90,0,86,0,1.0,4.045009214752944,2.9323600876209106,12.38516375886576,1.238516375886576e-07,-1.0279844806886835,9.957403116680317e-07,17.41111111111111,11.0,0.0,0.9555555555555556,5,2,moderate
LTCUSDT,16152,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,49,0,200,115,85,85,85,0,83,0,1.0,2.938312356113772,2.4861440345010655,8.335738335714536,8.335738335714538e-08,-1.1404492403969542,7.672440971233545e-07,8.68235294117647,7.0,0.0,0.9764705882352941,6,13,moderate
LINKUSDT,16060,2019-01-16 08:00:00+00:00,2026-05-16 16:00:00+00:00,64,0,254,171,83,83,83,0,79,0,1.0,3.420199415374427,3.1911004437654675,7.5188100624036345,7.518810062403635e-08,-0.04411056424713016,8.273768925410355e-08,12.843373493975903,7.0,0.0,0.9518072289156626,7,16,moderate
AAVEUSDT,12239,2020-10-15 00:00:00+00:00,2026-05-16 16:00:00+00:00,43,0,167,102,65,65,65,0,62,0,1.0,3.1156695324917805,2.573079199335649,7.845354693886676,7.845354693886675e-08,-3.360881503384103,2.0178856865780616e-06,14.138461538461538,7.0,0.0,0.9538461538461539,8,14,moderate
ADAUSDT,16152,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,39,0,220,161,59,59,59,0,57,0,0.9830508474576272,4.23959749381509,3.8214111453879958,9.802235462468778,9.802235462468777e-08,-0.00148617232757168,6.982918237740983e-09,17.10169491525424,14.0,0.0,0.9661016949152542,9,9,moderate
BCHUSDT,14168,2019-11-28 08:00:00+00:00,2026-05-16 16:00:00+00:00,54,0,185,129,56,56,56,0,54,0,1.0,3.219595246919796,2.8614843128724257,7.341204760049565,7.341204760049565e-08,-7.063689166705441,4.436211006042432e-06,10.196428571428571,8.0,0.0,0.9642857142857143,10,17,moderate
NEARUSDT,12244,2020-10-14 04:00:00+00:00,2026-05-16 16:00:00+00:00,42,0,153,97,56,56,56,0,53,0,1.0,2.8690421099449663,2.6216613419719637,6.837739166935368,6.837739166935367e-08,-0.04729134951454104,4.2115914866621905e-08,10.303571428571429,10.0,0.0,0.9464285714285714,10,18,moderate
ETCUSDT,16152,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,29,0,173,119,54,54,54,0,53,0,1.0,4.443961740658809,3.658324791811184,11.129615238211088,1.1129615238211088e-07,-0.13838195518900073,2.455310422622457e-07,22.72222222222222,14.5,0.0,0.9814814814814815,12,7,moderate
AVAXUSDT,12376,2020-09-22 04:00:00+00:00,2026-05-16 16:00:00+00:00,27,0,155,118,37,37,37,0,37,0,1.0,3.716307328013108,2.848873318885324,8.470499857894465,8.470499857894465e-08,-1.0536850837288676,3.212726504029774e-07,15.972972972972974,11.0,0.0,1.0,13,12,low
ATOMUSDT,15444,2019-04-29 04:00:00+00:00,2026-05-16 16:00:00+00:00,23,0,153,116,37,37,37,0,36,0,1.0,3.307597239269961,2.789551723016439,9.748247504737723,9.748247504737723e-08,-0.2386749042901709,1.0921295781593537e-07,19.135135135135137,17.0,0.0,0.972972972972973,13,10,low
DOGEUSDT,15042,2019-07-05 12:00:00+00:00,2026-05-16 16:00:00+00:00,27,0,168,132,36,36,36,0,32,0,0.9722222222222222,3.5766062465254853,2.5148077838335587,8.917037080175266,8.917037080175267e-08,-0.0013195772531787201,3.005877333886522e-09,35.47222222222222,21.0,0.0,0.8888888888888888,15,11,low
XRPUSDT,16152,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,37,0,189,156,33,33,33,0,33,0,1.0,5.394987999534772,4.836297140771898,11.327280073710368,1.1327280073710366e-07,-0.014315239692017681,1.209212754408363e-08,20.0,13.0,0.0,1.0,16,5,low
DOTUSDT,12582,2020-08-18 20:00:00+00:00,2026-05-16 16:00:00+00:00,28,0,122,102,20,20,20,0,16,0,1.0,2.655918772502999,2.139736485301027,7.674033323255564,7.674033323255564e-08,-0.09263312255134264,6.92416560503329e-08,11.25,11.0,0.0,0.8,17,15,low
FILUSDT,12235,2020-10-15 16:00:00+00:00,2026-05-16 16:00:00+00:00,4,0,80,60,20,20,20,0,19,0,1.0,6.279839682885938,6.311031268011211,11.287202119151441,1.1287202119151442e-07,-1.6438266797793442,1.3613754516634216e-06,20.8,15.5,0.0,0.95,17,6,low
UNIUSDT,12407,2020-09-17 00:00:00+00:00,2026-05-16 16:00:00+00:00,16,0,134,122,12,12,12,0,9,0,1.0,1.3122611968167055,1.145104526958352,2.463372413808378,2.463372413808378e-08,-0.5957085375737083,2.6932614074408082e-08,4.416666666666667,3.0,0.0,0.75,19,19,low
