scope,raw_add_long_signal_total,active_long_add_long_after_manage_total,after_manage_flat_or_ineligible_total,len_trades_lt_2_pass_total,len_trades_lt_2_block_total,add_on_gap_pass_total,runtime_in_profit_pass_total,all_runtime_gates_pass_total,runtime_in_profit_share_of_active_candidates,all_gates_share_of_active_candidates
aggregate,3958,1088,2870,492,596,875,1034,438,0.9503676470588235,0.4025735294117647
AAVEUSDT,167,60,107,29,31,46,56,25,0.9333333333333333,0.4166666666666667
ADAUSDT,220,44,176,19,25,37,42,17,0.9545454545454546,0.38636363636363635
ATOMUSDT,153,31,122,18,13,22,30,17,0.967741935483871,0.5483870967741935
AVAXUSDT,155,25,130,14,11,19,25,14,1.0,0.56
BCHUSDT,185,46,139,24,22,36,44,22,0.9565217391304348,0.4782608695652174
BNBUSDT,339,141,198,49,92,116,137,45,0.9716312056737588,0.3191489361702128
BTCUSDT,333,109,224,49,60,94,102,42,0.9357798165137615,0.3853211009174312
DOGEUSDT,168,20,148,14,6,19,17,11,0.85,0.55
DOTUSDT,122,17,105,10,7,15,14,7,0.8235294117647058,0.4117647058823529
ETCUSDT,173,31,142,17,14,25,30,16,0.967741935483871,0.5161290322580645
ETHUSDT,335,127,208,49,78,105,122,44,0.9606299212598425,0.3464566929133858
FILUSDT,80,10,70,4,6,9,9,3,0.9,0.3
LINKUSDT,254,66,188,35,31,51,61,30,0.9242424242424242,0.45454545454545453
LTCUSDT,200,76,124,33,43,55,74,31,0.9736842105263158,0.40789473684210525
NEARUSDT,153,39,114,25,14,31,35,21,0.8974358974358975,0.5384615384615384
SOLUSDT,235,85,150,36,49,66,81,32,0.9529411764705882,0.3764705882352941
TRXUSDT,363,120,243,46,74,92,117,43,0.975,0.35833333333333334
UNIUSDT,134,12,122,10,2,10,9,7,0.75,0.5833333333333334
XRPUSDT,189,29,160,11,18,27,29,11,1.0,0.3793103448275862
