inst_id,field_name,present,sample_value,required_for_reconstruction,missing_impact,notes
BTC-USDT-SWAP,instId,True,BTC-USDT-SWAP,yes,cannot prove exact instrument scope,sample-only check across fetched bounded rows
BTC-USDT-SWAP,tradeId,True,2623458433,yes,deduplication and pagination audit unreliable,sample-only check across fetched bounded rows
BTC-USDT-SWAP,ts,True,1779723290723,yes,cannot align to 4h buckets,sample-only check across fetched bounded rows
BTC-USDT-SWAP,px,True,77648.4,yes,cannot compute notional or price diagnostics,sample-only check across fetched bounded rows
BTC-USDT-SWAP,sz,True,1.3,yes,cannot compute volume,sample-only check across fetched bounded rows
BTC-USDT-SWAP,side,True,buy,yes,cannot separate taker buy and taker sell,sample-only check across fetched bounded rows
DOGE-USDT-SWAP,instId,True,DOGE-USDT-SWAP,yes,cannot prove exact instrument scope,sample-only check across fetched bounded rows
DOGE-USDT-SWAP,tradeId,True,1276484658,yes,deduplication and pagination audit unreliable,sample-only check across fetched bounded rows
DOGE-USDT-SWAP,ts,True,1779723293446,yes,cannot align to 4h buckets,sample-only check across fetched bounded rows
DOGE-USDT-SWAP,px,True,0.10296,yes,cannot compute notional or price diagnostics,sample-only check across fetched bounded rows
DOGE-USDT-SWAP,sz,True,8.63,yes,cannot compute volume,sample-only check across fetched bounded rows
DOGE-USDT-SWAP,side,True,buy,yes,cannot separate taker buy and taker sell,sample-only check across fetched bounded rows
