market,data_file,rows_total,reference_rows,holdout_rows,start_timestamp,split_timestamp,end_timestamp,included_in_tournament_scope
AAVEUSDT,data/AAVEUSDT_4h.csv,12239,8567,3672,2020-10-15T00:00:00+00:00,2024-09-11T20:00:00+00:00,2026-05-16T16:00:00+00:00,yes
ADAUSDT,data/ADAUSDT_4h.csv,16152,11306,4846,2019-01-01T00:00:00+00:00,2024-02-29T04:00:00+00:00,2026-05-16T16:00:00+00:00,yes
ATOMUSDT,data/ATOMUSDT_4h.csv,15444,10810,4634,2019-04-29T04:00:00+00:00,2024-04-04T12:00:00+00:00,2026-05-16T16:00:00+00:00,yes
AVAXUSDT,data/AVAXUSDT_4h.csv,12376,8663,3713,2020-09-22T04:00:00+00:00,2024-09-05T00:00:00+00:00,2026-05-16T16:00:00+00:00,yes
BCHUSDT,data/BCHUSDT_4h.csv,14168,9917,4251,2019-11-28T08:00:00+00:00,2024-06-07T08:00:00+00:00,2026-05-16T16:00:00+00:00,yes
BNBUSDT,data/BNBUSDT_4h.csv,16152,11306,4846,2019-01-01T00:00:00+00:00,2024-02-29T04:00:00+00:00,2026-05-16T16:00:00+00:00,yes
BTCUSDT,data/BTCUSDT_4h.csv,15947,11162,4785,2019-01-01T00:00:00+00:00,2024-02-05T04:00:00+00:00,2026-04-12T12:00:00+00:00,yes
DOGEUSDT,data/DOGEUSDT_4h.csv,15042,10529,4513,2019-07-05T12:00:00+00:00,2024-04-24T16:00:00+00:00,2026-05-16T16:00:00+00:00,yes
DOTUSDT,data/DOTUSDT_4h.csv,12582,8807,3775,2020-08-18T20:00:00+00:00,2024-08-25T16:00:00+00:00,2026-05-16T16:00:00+00:00,yes
ETCUSDT,data/ETCUSDT_4h.csv,16152,11306,4846,2019-01-01T00:00:00+00:00,2024-02-29T04:00:00+00:00,2026-05-16T16:00:00+00:00,yes
ETHUSDT,data/ETHUSDT_4h.csv,16152,11306,4846,2019-01-01T00:00:00+00:00,2024-02-29T04:00:00+00:00,2026-05-16T16:00:00+00:00,yes
FILUSDT,data/FILUSDT_4h.csv,12235,8564,3671,2020-10-15T16:00:00+00:00,2024-09-12T00:00:00+00:00,2026-05-16T16:00:00+00:00,yes
LINKUSDT,data/LINKUSDT_4h.csv,16060,11242,4818,2019-01-16T08:00:00+00:00,2024-03-04T20:00:00+00:00,2026-05-16T16:00:00+00:00,yes
LTCUSDT,data/LTCUSDT_4h.csv,16152,11306,4846,2019-01-01T00:00:00+00:00,2024-02-29T04:00:00+00:00,2026-05-16T16:00:00+00:00,yes
NEARUSDT,data/NEARUSDT_4h.csv,12244,8570,3674,2020-10-14T04:00:00+00:00,2024-09-11T12:00:00+00:00,2026-05-16T16:00:00+00:00,yes
SOLUSDT,data/SOLUSDT_4h.csv,12628,8839,3789,2020-08-11T04:00:00+00:00,2024-08-23T08:00:00+00:00,2026-05-16T16:00:00+00:00,yes
TRXUSDT,data/TRXUSDT_4h.csv,16152,11306,4846,2019-01-01T00:00:00+00:00,2024-02-29T04:00:00+00:00,2026-05-16T16:00:00+00:00,yes
UNIUSDT,data/UNIUSDT_4h.csv,12407,8684,3723,2020-09-17T00:00:00+00:00,2024-09-03T08:00:00+00:00,2026-05-16T16:00:00+00:00,yes
XRPUSDT,data/XRPUSDT_4h.csv,16152,11306,4846,2019-01-01T00:00:00+00:00,2024-02-29T04:00:00+00:00,2026-05-16T16:00:00+00:00,yes
