market,okx_inst_id,instrument_exists,funding_available,row_count,earliest_timestamp,latest_timestamp,sampling_interval_mode,gap_count,duplicate_timestamps,timezone_consistency,funding_interval_interpretation,source_method,unit_or_notation,usability_status
AAVEUSDT,AAVE-USDT-SWAP,True,True,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,8h,0,0,UTC_iso8601,8h_settlement_cadence_maps_to_every_second_4h_candle_no_silent_fill,ccxt.fetchFundingRateHistory,rate_decimal_per_funding_interval,usable_for_research
ADAUSDT,ADA-USDT-SWAP,True,True,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,8h,0,0,UTC_iso8601,8h_settlement_cadence_maps_to_every_second_4h_candle_no_silent_fill,ccxt.fetchFundingRateHistory,rate_decimal_per_funding_interval,usable_for_research
ATOMUSDT,ATOM-USDT-SWAP,True,True,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,8h,0,0,UTC_iso8601,8h_settlement_cadence_maps_to_every_second_4h_candle_no_silent_fill,ccxt.fetchFundingRateHistory,rate_decimal_per_funding_interval,usable_for_research
AVAXUSDT,AVAX-USDT-SWAP,True,True,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,8h,0,0,UTC_iso8601,8h_settlement_cadence_maps_to_every_second_4h_candle_no_silent_fill,ccxt.fetchFundingRateHistory,rate_decimal_per_funding_interval,usable_for_research
BCHUSDT,BCH-USDT-SWAP,True,True,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,8h,0,0,UTC_iso8601,8h_settlement_cadence_maps_to_every_second_4h_candle_no_silent_fill,ccxt.fetchFundingRateHistory,rate_decimal_per_funding_interval,usable_for_research
BNBUSDT,BNB-USDT-SWAP,True,True,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,8h,0,0,UTC_iso8601,8h_settlement_cadence_maps_to_every_second_4h_candle_no_silent_fill,ccxt.fetchFundingRateHistory,rate_decimal_per_funding_interval,usable_for_research
BTCUSDT,BTC-USDT-SWAP,True,True,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,8h,0,0,UTC_iso8601,8h_settlement_cadence_maps_to_every_second_4h_candle_no_silent_fill,ccxt.fetchFundingRateHistory,rate_decimal_per_funding_interval,usable_for_research
DOGEUSDT,DOGE-USDT-SWAP,True,True,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,8h,0,0,UTC_iso8601,8h_settlement_cadence_maps_to_every_second_4h_candle_no_silent_fill,ccxt.fetchFundingRateHistory,rate_decimal_per_funding_interval,usable_for_research
DOTUSDT,DOT-USDT-SWAP,True,True,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,8h,0,0,UTC_iso8601,8h_settlement_cadence_maps_to_every_second_4h_candle_no_silent_fill,ccxt.fetchFundingRateHistory,rate_decimal_per_funding_interval,usable_for_research
ETCUSDT,ETC-USDT-SWAP,True,True,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,8h,0,0,UTC_iso8601,8h_settlement_cadence_maps_to_every_second_4h_candle_no_silent_fill,ccxt.fetchFundingRateHistory,rate_decimal_per_funding_interval,usable_for_research
