market,okx_inst_id,funding_row_count,funding_gap_count_expected_8h,funding_duplicate_timestamps,oi_row_count,oi_gap_count_expected_1h,oi_duplicate_timestamps,timezone_consistency,unit_issue
AAVEUSDT,AAVE-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
ADAUSDT,ADA-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
ATOMUSDT,ATOM-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
AVAXUSDT,AVAX-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
BCHUSDT,BCH-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
BNBUSDT,BNB-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
BTCUSDT,BTC-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
DOGEUSDT,DOGE-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
DOTUSDT,DOT-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
ETCUSDT,ETC-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
ETHUSDT,ETH-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
FILUSDT,FIL-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
LINKUSDT,LINK-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
LTCUSDT,LTC-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
NEARUSDT,NEAR-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
SOLUSDT,SOL-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
TRXUSDT,TRX-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
UNIUSDT,UNI-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
XRPUSDT,XRP-USDT-SWAP,279,0,0,148,0,0,UTC_iso8601,historical_oi_unit_not_exact_inst_specific
