market,okx_inst_id,instrument_exists,historical_oi_available,current_exact_oi_available,row_count,earliest_timestamp,latest_timestamp,sampling_interval_mode,gap_count,duplicate_timestamps,timezone_consistency,oi_sampling_interpretation,source_method,unit_or_notation,usability_status
AAVEUSDT,AAVE-USDT-SWAP,True,True,True,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,1h,0,0,UTC_iso8601,1h_history_can_be_downsampled_to_4h_but_is_not_exact_inst_history_via_ccxt,ccxt.fetchOpenInterestHistory_1h; ccxt.fetchOpenInterest_current,historical_open_interest_value_from_okx_rubik_base_currency_aggregate; current_exact_inst_units_available_from_public_open_interest,partially_usable
ADAUSDT,ADA-USDT-SWAP,True,True,True,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,1h,0,0,UTC_iso8601,1h_history_can_be_downsampled_to_4h_but_is_not_exact_inst_history_via_ccxt,ccxt.fetchOpenInterestHistory_1h; ccxt.fetchOpenInterest_current,historical_open_interest_value_from_okx_rubik_base_currency_aggregate; current_exact_inst_units_available_from_public_open_interest,partially_usable
ATOMUSDT,ATOM-USDT-SWAP,True,True,True,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,1h,0,0,UTC_iso8601,1h_history_can_be_downsampled_to_4h_but_is_not_exact_inst_history_via_ccxt,ccxt.fetchOpenInterestHistory_1h; ccxt.fetchOpenInterest_current,historical_open_interest_value_from_okx_rubik_base_currency_aggregate; current_exact_inst_units_available_from_public_open_interest,partially_usable
AVAXUSDT,AVAX-USDT-SWAP,True,True,True,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,1h,0,0,UTC_iso8601,1h_history_can_be_downsampled_to_4h_but_is_not_exact_inst_history_via_ccxt,ccxt.fetchOpenInterestHistory_1h; ccxt.fetchOpenInterest_current,historical_open_interest_value_from_okx_rubik_base_currency_aggregate; current_exact_inst_units_available_from_public_open_interest,partially_usable
BCHUSDT,BCH-USDT-SWAP,True,True,True,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,1h,0,0,UTC_iso8601,1h_history_can_be_downsampled_to_4h_but_is_not_exact_inst_history_via_ccxt,ccxt.fetchOpenInterestHistory_1h; ccxt.fetchOpenInterest_current,historical_open_interest_value_from_okx_rubik_base_currency_aggregate; current_exact_inst_units_available_from_public_open_interest,partially_usable
BNBUSDT,BNB-USDT-SWAP,True,True,True,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,1h,0,0,UTC_iso8601,1h_history_can_be_downsampled_to_4h_but_is_not_exact_inst_history_via_ccxt,ccxt.fetchOpenInterestHistory_1h; ccxt.fetchOpenInterest_current,historical_open_interest_value_from_okx_rubik_base_currency_aggregate; current_exact_inst_units_available_from_public_open_interest,partially_usable
BTCUSDT,BTC-USDT-SWAP,True,True,True,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,1h,0,0,UTC_iso8601,1h_history_can_be_downsampled_to_4h_but_is_not_exact_inst_history_via_ccxt,ccxt.fetchOpenInterestHistory_1h; ccxt.fetchOpenInterest_current,historical_open_interest_value_from_okx_rubik_base_currency_aggregate; current_exact_inst_units_available_from_public_open_interest,partially_usable
DOGEUSDT,DOGE-USDT-SWAP,True,True,True,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,1h,0,0,UTC_iso8601,1h_history_can_be_downsampled_to_4h_but_is_not_exact_inst_history_via_ccxt,ccxt.fetchOpenInterestHistory_1h; ccxt.fetchOpenInterest_current,historical_open_interest_value_from_okx_rubik_base_currency_aggregate; current_exact_inst_units_available_from_public_open_interest,partially_usable
DOTUSDT,DOT-USDT-SWAP,True,True,True,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,1h,0,0,UTC_iso8601,1h_history_can_be_downsampled_to_4h_but_is_not_exact_inst_history_via_ccxt,ccxt.fetchOpenInterestHistory_1h; ccxt.fetchOpenInterest_current,historical_open_interest_value_from_okx_rubik_base_currency_aggregate; current_exact_inst_units_available_from_public_open_interest,partially_usable
ETCUSDT,ETC-USDT-SWAP,True,True,True,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,1h,0,0,UTC_iso8601,1h_history_can_be_downsampled_to_4h_but_is_not_exact_inst_history_via_ccxt,ccxt.fetchOpenInterestHistory_1h; ccxt.fetchOpenInterest_current,historical_open_interest_value_from_okx_rubik_base_currency_aggregate; current_exact_inst_units_available_from_public_open_interest,partially_usable
ETHUSDT,ETH-USDT-SWAP,True,True,True,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,1h,0,0,UTC_iso8601,1h_history_can_be_downsampled_to_4h_but_is_not_exact_inst_history_via_ccxt,ccxt.fetchOpenInterestHistory_1h; ccxt.fetchOpenInterest_current,historical_open_interest_value_from_okx_rubik_base_currency_aggregate; current_exact_inst_units_available_from_public_open_interest,partially_usable
