market,okx_inst_id,ccxt_symbol,timestamp,timestamp_ms,open_interest_amount,open_interest_value,base_volume,quote_volume,info_oi,info_oi_ccy,info_oi_usd,inst_type,source,fetch_timestamp_utc
AAVEUSDT,AAVE-USDT-SWAP,AAVE/USDT:USDT,2026-05-23T08:41:47.144000+00:00,1779525707144,1588924.5000000002,158892.45000000004,158892.45000000004,,1588924.5000000003,158892.45000000003,13207140.4440000024936,SWAP,okx_public_via_ccxt.fetchOpenInterest,2026-05-23T08:41:43.407426+00:00
ADAUSDT,ADA-USDT-SWAP,ADA/USDT:USDT,2026-05-23T08:41:49.322000+00:00,1779525709322,1265406.600000001,126540660.00000009,126540660.00000009,,1265406.60000000095,126540660.000000095,30028098.6180000225435,SWAP,okx_public_via_ccxt.fetchOpenInterest,2026-05-23T08:41:43.407426+00:00
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-23T08:41:51.466000+00:00,1779525711466,2766185.0,2766185.0,2766185.0,,2766185,2766185,5604290.81,SWAP,okx_public_via_ccxt.fetchOpenInterest,2026-05-23T08:41:43.407426+00:00
AVAXUSDT,AVAX-USDT-SWAP,AVAX/USDT:USDT,2026-05-23T08:41:53.611000+00:00,1779525713611,1705663.9000000001,1705663.9000000001,1705663.9000000001,,1705663.90000000023,1705663.90000000023,15088302.85940000203458,SWAP,okx_public_via_ccxt.fetchOpenInterest,2026-05-23T08:41:43.407426+00:00
BCHUSDT,BCH-USDT-SWAP,BCH/USDT:USDT,2026-05-23T08:41:55.762000+00:00,1779525715762,891156.7,89115.67,89115.67,,891156.699999999974,89115.6699999999974,31680620.6849999990757,SWAP,okx_public_via_ccxt.fetchOpenInterest,2026-05-23T08:41:43.407426+00:00
BNBUSDT,BNB-USDT-SWAP,BNB/USDT:USDT,2026-05-23T08:41:57.921000+00:00,1779525717921,7377293.0,73772.93,73772.93,,7377293,73772.93,47089261.219,SWAP,okx_public_via_ccxt.fetchOpenInterest,2026-05-23T08:41:43.407426+00:00
BTCUSDT,BTC-USDT-SWAP,BTC/USDT:USDT,2026-05-23T08:42:00.096000+00:00,1779525720096,3464680.3700000253,34646.80370000025,34646.80370000025,,3464680.37000002543,34646.8037000002543,2577490061.69522891821619,SWAP,okx_public_via_ccxt.fetchOpenInterest,2026-05-23T08:41:43.407426+00:00
DOGEUSDT,DOGE-USDT-SWAP,DOGE/USDT:USDT,2026-05-23T08:42:02.233000+00:00,1779525722233,981464.0499999993,981464049.9999994,981464049.9999994,,981464.04999999939,981464049.99999939,97498638.7269999394026,SWAP,okx_public_via_ccxt.fetchOpenInterest,2026-05-23T08:41:43.407426+00:00
DOTUSDT,DOT-USDT-SWAP,DOT/USDT:USDT,2026-05-23T08:42:04.379000+00:00,1779525724379,8009396.0,8009396.0,8009396.0,,8009396,8009396,9691369.16,SWAP,okx_public_via_ccxt.fetchOpenInterest,2026-05-23T08:41:43.407426+00:00
ETCUSDT,ETC-USDT-SWAP,ETC/USDT:USDT,2026-05-23T08:42:06.530000+00:00,1779525726530,78693.57,786935.7000000001,786935.7000000001,,78693.570000000008,786935.70000000008,6782598.79830000068952,SWAP,okx_public_via_ccxt.fetchOpenInterest,2026-05-23T08:41:43.407426+00:00
