spot_style_symbol,base_asset,quote_asset,candidate_okx_swap_inst_id,ccxt_symbol,instrument_exists_in_ccxt_okx_markets,visibility_requirement,mapping_status
AAVEUSDT,AAVE,USDT,AAVE-USDT-SWAP,AAVE/USDT:USDT,True,required_visible_same_19_market_universe,mapped
ADAUSDT,ADA,USDT,ADA-USDT-SWAP,ADA/USDT:USDT,True,required_visible_same_19_market_universe,mapped
ATOMUSDT,ATOM,USDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,True,required_visible_same_19_market_universe,mapped
AVAXUSDT,AVAX,USDT,AVAX-USDT-SWAP,AVAX/USDT:USDT,True,required_visible_same_19_market_universe,mapped
BCHUSDT,BCH,USDT,BCH-USDT-SWAP,BCH/USDT:USDT,True,required_visible_same_19_market_universe,mapped
BNBUSDT,BNB,USDT,BNB-USDT-SWAP,BNB/USDT:USDT,True,required_visible_same_19_market_universe,mapped
BTCUSDT,BTC,USDT,BTC-USDT-SWAP,BTC/USDT:USDT,True,required_visible_anchor_and_market,mapped
DOGEUSDT,DOGE,USDT,DOGE-USDT-SWAP,DOGE/USDT:USDT,True,required_visible_prior_weak_market,mapped
DOTUSDT,DOT,USDT,DOT-USDT-SWAP,DOT/USDT:USDT,True,required_visible_prior_weak_market,mapped
ETCUSDT,ETC,USDT,ETC-USDT-SWAP,ETC/USDT:USDT,True,required_visible_same_19_market_universe,mapped
ETHUSDT,ETH,USDT,ETH-USDT-SWAP,ETH/USDT:USDT,True,required_visible_same_19_market_universe,mapped
FILUSDT,FIL,USDT,FIL-USDT-SWAP,FIL/USDT:USDT,True,required_visible_same_19_market_universe,mapped
LINKUSDT,LINK,USDT,LINK-USDT-SWAP,LINK/USDT:USDT,True,required_visible_same_19_market_universe,mapped
LTCUSDT,LTC,USDT,LTC-USDT-SWAP,LTC/USDT:USDT,True,required_visible_same_19_market_universe,mapped
NEARUSDT,NEAR,USDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,True,required_visible_same_19_market_universe,mapped
SOLUSDT,SOL,USDT,SOL-USDT-SWAP,SOL/USDT:USDT,True,required_visible_same_19_market_universe,mapped
TRXUSDT,TRX,USDT,TRX-USDT-SWAP,TRX/USDT:USDT,True,required_visible_same_19_market_universe,mapped
UNIUSDT,UNI,USDT,UNI-USDT-SWAP,UNI/USDT:USDT,True,required_visible_prior_weak_market,mapped
XRPUSDT,XRP,USDT,XRP-USDT-SWAP,XRP/USDT:USDT,True,required_visible_same_19_market_universe,mapped
