min_exec_adx,min_exec_atr_ratio,min_ema_distance_atr,pullback_overshoot_atr,cooldown_bars,direction_cooldown_bars,long_rsi_min,short_rsi_max,stop_atr_mult,tp1_rr,tp2_rr,trail_atr_mult,add_on_profit_atr,weekly_fast_length,weekly_slow_length,daily_fast_length,daily_mid_length,daily_slow_length,daily_slope_lookback,daily_di_length,daily_adx_smoothing,min_daily_adx,daily_atr_length,daily_atr_ma_length,min_daily_atr_ratio,use_daily_adx_filter,use_daily_atr_expansion,exec_fast_length,exec_mid_length,exec_slow_length,exec_slope_lookback,exec_di_length,exec_adx_smoothing,exec_atr_length,exec_atr_ma_length,rsi_length,continuation_lookback,add_on_gap_bars,breakeven_offset_atr,require_strong_resumption,net_profit,profit_factor,max_drawdown_pct,total_trades,percent_profitable,avg_trade,expectancy,objective,trial_number
16,0.9,0.05,0.7,3,2,53,47,1.6,1.0,2.4,2.25,0.7,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,0
16,0.9,0.05,0.7,3,2,53,47,1.4,1.0,2.2,2.0,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,1
16,0.9,0.05,0.7,3,2,53,47,1.4,1.0,2.6,2.25,0.9,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,2
16,0.9,0.05,0.7,3,2,53,47,1.5,1.0,2.4,2.25,0.7,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,3
16,0.9,0.05,0.7,3,2,53,47,1.5,1.0,2.6,2.5,0.9,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,4
16,0.9,0.05,0.7,3,2,53,47,1.6,1.0,2.2,2.5,0.9,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,5
16,0.9,0.05,0.7,3,2,53,47,1.4,1.0,2.4,2.0,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,6
16,0.9,0.05,0.7,3,2,53,47,1.4,1.0,2.2,2.25,0.9,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,7
16,0.9,0.05,0.7,3,2,53,47,1.6,1.0,2.6,2.5,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,8
16,0.9,0.05,0.7,3,2,53,47,1.6,1.0,2.6,2.5,0.7,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,9
16,0.9,0.05,0.7,3,2,53,47,1.6,1.0,2.4,2.5,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,10
16,0.9,0.05,0.7,3,2,53,47,1.5,1.0,2.6,2.0,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,11
16,0.9,0.05,0.7,3,2,53,47,1.6,1.0,2.4,2.0,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,12
16,0.9,0.05,0.7,3,2,53,47,1.4,1.0,2.6,2.0,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,13
16,0.9,0.05,0.7,3,2,53,47,1.6,1.0,2.2,2.25,0.9,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,14
16,0.9,0.05,0.7,3,2,53,47,1.4,1.0,2.2,2.5,0.7,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,15
16,0.9,0.05,0.7,3,2,53,47,1.4,1.0,2.4,2.0,0.9,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,16
16,0.9,0.05,0.7,3,2,53,47,1.5,1.0,2.4,2.0,0.9,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,17
16,0.9,0.05,0.7,3,2,53,47,1.5,1.0,2.4,2.5,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,18
