scope,market,data_file,rows_loaded,total_trades,Long1,Long2,Short1,Short2,net_profit,profit_factor,win_rate,avg_trade,expectancy,avg_duration_bars,median_duration_bars,min_duration_bars,max_duration_bars,max_drawdown_pct,equity_final,equity_initial,start,end
market,AAVEUSDT,AAVEUSDT_4h.csv,12239,144,92,30,22,0,29.899779184386716,1.0120627794645924,56.94444444444444,0.2076373554469691,0.2076373554469691,7.784722222222222,6.0,1.0,49.0,0.5607924874790227,100029.8997791844,100000.0,2020-10-25 00:00:00+00:00,2026-05-16 16:00:00+00:00
market,ADAUSDT,ADAUSDT_4h.csv,16152,120,70,18,32,0,396.90087880936335,1.1890481565748272,55.00000000000001,3.307507323410918,3.307507323410918,8.175,6.0,1.0,34.0,0.4253622593527906,100396.90087880936,100000.0,2019-01-13 00:00:00+00:00,2026-05-16 16:00:00+00:00
market,ATOMUSDT,ATOMUSDT_4h.csv,15444,130,49,20,61,0,-282.6618859115115,0.8751662722416317,53.07692307692308,-2.1743221993192012,-2.1743221993192012,7.315384615384615,5.0,1.0,27.0,0.5628810040612775,99717.33811408847,100000.0,2019-05-12 00:00:00+00:00,2026-05-16 16:00:00+00:00
market,AVAXUSDT,AVAXUSDT_4h.csv,12376,84,49,20,15,0,461.4015925840795,1.3346556152384037,55.95238095238096,5.492876102192087,5.492876102192087,7.880952380952381,5.0,1.0,40.0,0.5102316163740794,100461.40159258408,100000.0,2020-10-04 00:00:00+00:00,2026-05-16 16:00:00+00:00
market,BCHUSDT,BCHUSDT_4h.csv,14168,143,97,27,19,0,-144.31591759015282,0.9322755079740244,51.048951048951054,-1.0092022209095823,-1.0092022209095823,7.825174825174825,7.0,1.0,29.0,0.987765296801424,99855.68408240985,100000.0,2019-12-08 00:00:00+00:00,2026-05-16 16:00:00+00:00
market,BNBUSDT,BNBUSDT_4h.csv,16152,208,158,50,0,0,3100.9942727210437,2.582517911018661,65.86538461538461,14.908626311158956,14.908626311158956,9.177884615384617,7.0,1.0,32.0,0.3506516694662509,103100.99427272104,100000.0,2019-01-13 00:00:00+00:00,2026-05-16 16:00:00+00:00
market,BTCUSDT,BTCUSDT_4h.csv,15947,224,171,52,1,0,483.7132267269771,1.2695436710520824,58.03571428571429,2.159434047887655,2.159434047887655,8.825892857142858,6.0,1.0,49.0,0.2580082344604162,100483.71322672698,100000.0,2019-01-13 00:00:00+00:00,2026-04-12 12:00:00+00:00
market,DOGEUSDT,DOGEUSDT_4h.csv,15042,101,54,13,34,0,-905.2296538211232,0.5579522416969256,43.56435643564357,-8.962669839812353,-8.962669839812353,8.475247524752476,6.0,1.0,27.0,0.9099911572469032,99094.77034617888,100000.0,2019-07-14 00:00:00+00:00,2026-05-16 16:00:00+00:00
market,DOTUSDT,DOTUSDT_4h.csv,12582,123,45,10,68,0,-674.2580445437779,0.6851838202272492,52.84552845528455,-5.4817727198673,-5.4817727198673,8.398373983739837,7.0,1.0,25.0,0.9896562891970052,99325.74195545622,100000.0,2020-08-30 00:00:00+00:00,2026-05-16 16:00:00+00:00
market,ETCUSDT,ETCUSDT_4h.csv,16152,102,55,19,28,0,-193.01030909022663,0.8817011646184009,54.90196078431373,-1.8922579322575408,-1.8922579322575408,7.65686274509804,6.0,1.0,32.0,0.6791329597549356,99806.98969090976,100000.0,2019-01-13 00:00:00+00:00,2026-05-16 16:00:00+00:00
market,ETHUSDT,ETHUSDT_4h.csv,16152,209,156,50,3,0,1443.6234099433932,1.7817823455548247,63.1578947368421,6.907289042791987,6.907289042791987,9.334928229665072,7.0,1.0,48.0,0.2709736073455593,101443.6234099434,100000.0,2019-01-13 00:00:00+00:00,2026-05-16 16:00:00+00:00
market,FILUSDT,FILUSDT_4h.csv,12235,77,9,3,65,0,48.72536433466303,1.0416035989900594,49.35064935064935,0.632796939410444,0.632796939410444,8.25974025974026,7.0,1.0,26.0,0.6563924852157399,100048.72536433466,100000.0,2020-10-25 00:00:00+00:00,2026-05-16 16:00:00+00:00
market,LINKUSDT,LINKUSDT_4h.csv,16060,167,119,36,12,0,258.0378909472638,1.093313244864068,53.293413173652695,1.5451370715408113,1.5451370715408113,7.083832335329341,6.0,1.0,37.0,0.5400775072779029,100258.03789094726,100000.0,2019-01-27 00:00:00+00:00,2026-05-16 16:00:00+00:00
market,LTCUSDT,LTCUSDT_4h.csv,16152,170,100,45,25,0,735.6956261724408,1.4179513808601234,62.35294117647059,4.327621330426345,4.327621330426345,7.241176470588235,6.0,1.0,29.0,0.4523647321878044,100735.69562617244,100000.0,2019-01-13 00:00:00+00:00,2026-05-16 16:00:00+00:00
market,NEARUSDT,NEARUSDT_4h.csv,12244,137,79,24,34,0,-168.19674562763248,0.9386811398649018,55.47445255474452,-1.2277134717349765,-1.2277134717349765,6.875912408759124,6.0,1.0,24.0,1.2623407156588051,99831.80325437235,100000.0,2020-10-25 00:00:00+00:00,2026-05-16 16:00:00+00:00
market,SOLUSDT,SOLUSDT_4h.csv,12628,162,109,39,14,0,612.6524059779476,1.257209230660952,59.25925925925925,3.781804975172559,3.781804975172559,7.7592592592592595,7.0,1.0,28.0,0.5447265472001472,100612.65240597796,100000.0,2020-08-23 00:00:00+00:00,2026-05-16 16:00:00+00:00
market,TRXUSDT,TRXUSDT_4h.csv,16152,236,180,49,7,0,138.4571337555244,1.06176895912716,59.32203389830508,0.5866827701509236,0.5866827701509236,7.733050847457627,6.0,1.0,43.0,0.6306956109309314,100138.45713375552,100000.0,2019-01-13 00:00:00+00:00,2026-05-16 16:00:00+00:00
market,UNIUSDT,UNIUSDT_4h.csv,12407,81,26,8,47,0,-660.0582121362968,0.5527010945050248,48.148148148148145,-8.148866816496612,-8.148866816496612,8.123456790123457,6.0,1.0,40.0,0.8651720863120382,99339.9417878637,100000.0,2020-09-27 00:00:00+00:00,2026-05-16 16:00:00+00:00
