scope,market,Short1_count,Short1_total_pnl,Short1_avg_trade,Short1_win_rate,Short2_count,Short2_total_pnl,Short2_avg_trade,Short2_win_rate,short_total_pnl,total_strategy_pnl,short_contribution_to_total_pnl_pct,short_side_effect,assessment
aggregate,ALL_4H_MARKETS,524,-1571.3369981539386,-2.9987347293014093,50.19083969465649,0,0.0,0.0,0.0,-1571.3369981539386,5761.965446784985,-27.270850765526554,dragged_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,AAVEUSDT,22,-18.293354012027468,-0.831516091455794,45.45454545454545,0,0.0,0.0,0.0,-18.293354012027468,29.899779184363553,-61.18223783269341,dragged_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,ADAUSDT,32,-10.118935328489918,-0.31621672901530995,56.25,0,0.0,0.0,0.0,-10.118935328489918,396.90087880931014,-2.549486753177871,dragged_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,ATOMUSDT,61,-268.11378411630665,-4.3953079363328955,50.81967213114754,0,0.0,0.0,0.0,-268.11378411630665,-282.66188591149614,94.85317882590488,dragged_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,AVAXUSDT,15,15.636754656972279,1.0424503104648186,53.333333333333336,0,0.0,0.0,0.0,15.636754656972279,461.4015925841353,3.3889685055911376,helped_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,BCHUSDT,19,-8.728275770482536,-0.45938293528855456,42.10526315789473,0,0.0,0.0,0.0,-8.728275770482536,-144.31591759007028,6.048034005005064,dragged_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,BNBUSDT,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3100.9942727210628,0.0,flat_or_no_short_trades,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,BTCUSDT,1,-14.373671510392018,-14.373671510392018,0.0,0,0.0,0.0,0.0,-14.373671510392018,483.7132267268347,-2.97152749112424,dragged_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,DOGEUSDT,34,-424.53856352548536,-12.486428338984863,29.411764705882355,0,0.0,0.0,0.0,-424.53856352548536,-905.2296538210476,46.898437510688446,dragged_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,DOTUSDT,68,103.81892911736624,1.526748957608327,60.29411764705882,0,0.0,0.0,0.0,103.81892911736624,-674.2580445436779,-15.397506927429907,helped_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,ETCUSDT,28,-159.154510100331,-5.684089646440393,50.0,0,0.0,0.0,0.0,-159.154510100331,-193.01030909026915,82.45907218660321,dragged_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,ETHUSDT,3,16.746655451869724,5.5822184839565745,66.66666666666666,0,0.0,0.0,0.0,16.746655451869724,1443.6234099435253,1.160043217401473,helped_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,FILUSDT,65,-345.4463071782632,-5.31455857197328,46.15384615384615,0,0.0,0.0,0.0,-345.4463071782632,48.72536433460419,-708.966083467397,dragged_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,LINKUSDT,12,-1.2273025034112681,-0.10227520861760568,41.66666666666667,0,0.0,0.0,0.0,-1.2273025034112681,258.0378909473155,-0.47562879192104807,dragged_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,LTCUSDT,25,-377.908367036132,-15.11633468144528,24.0,0,0.0,0.0,0.0,-377.908367036132,735.6956261724786,-51.36748861784508,dragged_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,NEARUSDT,34,122.85866624963799,3.613490183812882,61.76470588235294,0,0.0,0.0,0.0,122.85866624963799,-168.19674562769177,-73.04461557275853,helped_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,SOLUSDT,14,-189.23148019506067,-13.51653429964719,42.857142857142854,0,0.0,0.0,0.0,-189.23148019506067,612.6524059779546,-30.887249988514675,dragged_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,TRXUSDT,7,59.30021855563424,8.471459793662033,85.71428571428571,0,0.0,0.0,0.0,59.30021855563424,138.45713375561797,42.82929809907906,helped_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,UNIUSDT,47,-93.80516126851417,-1.9958544950747696,55.319148936170215,0,0.0,0.0,0.0,-93.80516126851417,-660.0582121362256,14.211649752060696,dragged_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
market,XRPUSDT,37,21.241490359477282,0.5740943340399266,56.75675675675676,0,0.0,0.0,0.0,21.241490359477282,1079.5946343482624,1.9675431577427671,helped_aggregate_pnl,separate_short_side_audit_or_parking_decision_needed; no disabling proposed here
