state,market,total_trades,Long1,Long2,Short1,Short2,net_profit,profit_factor,max_drawdown_pct,win_rate,avg_trade,avg_duration_bars,source,notes
A_original_pre_unit_fix_baseline,AGGREGATE,1056,872,0,184,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
B_post_option_a_atr_distance_patch,AGGREGATE,2696,1668,501,527,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
A_original_pre_unit_fix_baseline,AAVEUSDT,53,43,0,10,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
B_post_option_a_atr_distance_patch,AAVEUSDT,145,94,29,22,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
A_original_pre_unit_fix_baseline,ADAUSDT,52,39,0,13,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
B_post_option_a_atr_distance_patch,ADAUSDT,122,71,18,33,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
A_original_pre_unit_fix_baseline,ATOMUSDT,41,23,0,18,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
B_post_option_a_atr_distance_patch,ATOMUSDT,128,48,19,61,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
A_original_pre_unit_fix_baseline,AVAXUSDT,34,27,0,7,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
B_post_option_a_atr_distance_patch,AVAXUSDT,79,47,17,15,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
A_original_pre_unit_fix_baseline,BCHUSDT,62,54,0,8,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
B_post_option_a_atr_distance_patch,BCHUSDT,138,94,25,19,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
A_original_pre_unit_fix_baseline,BNBUSDT,80,80,0,0,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
B_post_option_a_atr_distance_patch,BNBUSDT,208,159,49,0,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
A_original_pre_unit_fix_baseline,BTCUSDT,91,90,0,1,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
B_post_option_a_atr_distance_patch,BTCUSDT,219,169,49,1,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
A_original_pre_unit_fix_baseline,DOGEUSDT,38,27,0,11,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
B_post_option_a_atr_distance_patch,DOGEUSDT,98,51,12,35,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
A_original_pre_unit_fix_baseline,DOTUSDT,46,28,0,18,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
B_post_option_a_atr_distance_patch,DOTUSDT,122,45,8,69,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
A_original_pre_unit_fix_baseline,ETCUSDT,39,29,0,10,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
B_post_option_a_atr_distance_patch,ETCUSDT,103,56,19,28,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
A_original_pre_unit_fix_baseline,ETHUSDT,85,84,0,1,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
B_post_option_a_atr_distance_patch,ETHUSDT,206,156,47,3,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
A_original_pre_unit_fix_baseline,FILUSDT,27,4,0,23,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
B_post_option_a_atr_distance_patch,FILUSDT,77,9,3,65,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
A_original_pre_unit_fix_baseline,LINKUSDT,67,64,0,3,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
B_post_option_a_atr_distance_patch,LINKUSDT,166,119,35,12,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
A_original_pre_unit_fix_baseline,LTCUSDT,61,49,0,12,0,,,,,,,long2_option_a_side_effect_audit_round1.before_after_trade_counts.csv,prior counts reused; PnL/performance not recoverable from compact count summary
