rank,field,display_field,field_kind,expected_direction,executed_supporting_markets,executed_testable_markets,executed_consistency_share,starter_supporting_markets,starter_testable_markets,starter_consistency_share,both_population_supporting_markets,both_population_supporting_market_list,executed_contradiction_markets,starter_contradiction_markets,both_contradiction_markets,any_contradiction_count,sample_too_small_markets,executed_delta_clean_minus_adverse,starter_delta_clean_minus_adverse,combined_abs_aggregate_delta,min_consistency_share
1,entry_short_ema20_gap_atr,entry_short_ema20_gap_atr,pre_entry_numeric,higher_clean,10,11,0.9090909090909091,11,11,1.0,10,"AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,NEARUSDT,UNIUSDT,XRPUSDT",LTCUSDT,,,1,"AAVEUSDT,NEARUSDT",0.072786865565656,0.0648170371225007,0.1376039026881567,0.9090909090909091
2,entry_adx,entry_adx,pre_entry_numeric,lower_clean,10,11,0.9090909090909091,8,11,0.7272727272727273,8,"AAVEUSDT,ADAUSDT,DOGEUSDT,ETCUSDT,FILUSDT,LTCUSDT,UNIUSDT,XRPUSDT",DOTUSDT,"ATOMUSDT,DOTUSDT,NEARUSDT",DOTUSDT,3,"AAVEUSDT,NEARUSDT",-2.9622689395591344,-2.350594952820444,5.312863892379578,0.7272727272727273
3,entry_minus_di,minus_di,pre_entry_numeric,higher_clean,8,11,0.7272727272727273,8,11,0.7272727272727273,7,"ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,LTCUSDT","AAVEUSDT,FILUSDT,LTCUSDT","AAVEUSDT,LTCUSDT",4,"AAVEUSDT,NEARUSDT",0.44045273073130886,1.1324880282759793,1.5729407590072881,0.7272727272727273
4,entry_short_resumption_strong,entry_short_resumption_strong,pre_entry_boolean,higher_clean,8,11,0.7272727272727273,8,11,0.7272727272727273,7,"AAVEUSDT,ADAUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,NEARUSDT,UNIUSDT","ATOMUSDT,FILUSDT,LTCUSDT","ATOMUSDT,FILUSDT,XRPUSDT","ATOMUSDT,FILUSDT",4,"AAVEUSDT,NEARUSDT",0.22031793343268752,0.13551261513816576,0.3558305485708533,0.7272727272727273
5,entry_di_spread,di_spread,pre_entry_numeric,lower_clean,7,11,0.6363636363636364,9,11,0.8181818181818182,7,"ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,NEARUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,LTCUSDT,UNIUSDT","ADAUSDT,UNIUSDT","ADAUSDT,UNIUSDT",4,"AAVEUSDT,NEARUSDT",-0.5521161651611433,-1.605393471119947,2.15750963628109,0.6363636363636364
6,entry_plus_di,plus_di,pre_entry_numeric,lower_clean,6,11,0.5454545454545454,8,11,0.7272727272727273,5,"AAVEUSDT,DOGEUSDT,FILUSDT,LTCUSDT,XRPUSDT","ADAUSDT,ATOMUSDT,DOTUSDT,NEARUSDT,UNIUSDT","ADAUSDT,ETCUSDT,UNIUSDT","ADAUSDT,UNIUSDT",6,"AAVEUSDT,NEARUSDT",-0.11166343442984328,-0.4729054428439703,0.5845688772738136,0.5454545454545454
7,entry_rsi,entry_rsi,pre_entry_numeric,lower_clean,6,11,0.5454545454545454,8,11,0.7272727272727273,4,"AAVEUSDT,DOTUSDT,FILUSDT,LTCUSDT","ADAUSDT,ETCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","ATOMUSDT,DOGEUSDT,UNIUSDT",UNIUSDT,7,"AAVEUSDT,NEARUSDT",-0.17628551494696154,-0.32346458193612904,0.4997500968830906,0.5454545454545454
8,entry_atr_ratio,entry_atr_ratio,pre_entry_numeric,lower_clean,8,11,0.7272727272727273,6,11,0.5454545454545454,4,"AAVEUSDT,DOTUSDT,ETCUSDT,LTCUSDT","ADAUSDT,FILUSDT,NEARUSDT","ATOMUSDT,DOGEUSDT,NEARUSDT,UNIUSDT,XRPUSDT",NEARUSDT,7,"AAVEUSDT,NEARUSDT",-0.02104756438535149,-0.012723156429793825,0.033770720815145316,0.5454545454545454
9,entry_exec_distance_atr,entry_exec_distance_atr,pre_entry_numeric,lower_clean,9,11,0.8181818181818182,5,11,0.45454545454545453,4,"AAVEUSDT,DOGEUSDT,FILUSDT,UNIUSDT","ATOMUSDT,DOTUSDT","ADAUSDT,DOTUSDT,ETCUSDT,LTCUSDT,NEARUSDT,XRPUSDT",DOTUSDT,7,"AAVEUSDT,NEARUSDT",-0.10514581121171629,-0.021420681804831698,0.126566493016548,0.45454545454545453
10,entry_short_resumption,entry_short_resumption,pre_entry_boolean,higher_clean,0,11,0.0,0,11,0.0,0,,"AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT",11,"AAVEUSDT,NEARUSDT",0.0,0.0,0.0,0.0
11,entry_short_pullback,entry_short_pullback,pre_entry_boolean,higher_clean,0,11,0.0,0,11,0.0,0,,"AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT",11,"AAVEUSDT,NEARUSDT",0.0,0.0,0.0,0.0
12,entry_exec_bear_structure,entry_exec_bear_structure,pre_entry_boolean,higher_clean,0,11,0.0,0,11,0.0,0,,"AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT",11,"AAVEUSDT,NEARUSDT",0.0,0.0,0.0,0.0
13,entry_exec_slope_down,entry_exec_slope_down,pre_entry_boolean,higher_clean,0,11,0.0,0,11,0.0,0,,"AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT",11,"AAVEUSDT,NEARUSDT",0.0,0.0,0.0,0.0
14,entry_exec_adx_pass,entry_exec_adx_pass,pre_entry_boolean,higher_clean,0,11,0.0,0,11,0.0,0,,"AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT",11,"AAVEUSDT,NEARUSDT",0.0,0.0,0.0,0.0
15,entry_exec_atr_pass,entry_exec_atr_pass,pre_entry_boolean,higher_clean,0,11,0.0,0,11,0.0,0,,"AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT",11,"AAVEUSDT,NEARUSDT",0.0,0.0,0.0,0.0
16,entry_exec_distance_pass,entry_exec_distance_pass,pre_entry_boolean,higher_clean,0,11,0.0,0,11,0.0,0,,"AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT",11,"AAVEUSDT,NEARUSDT",0.0,0.0,0.0,0.0
17,entry_short_distance_cap_pass,entry_short_distance_cap_pass,pre_entry_boolean,higher_clean,0,11,0.0,0,11,0.0,0,,"AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT",11,"AAVEUSDT,NEARUSDT",0.0,0.0,0.0,0.0
18,entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,pre_entry_boolean,higher_clean,0,11,0.0,0,11,0.0,0,,"AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT",11,"AAVEUSDT,NEARUSDT",0.0,0.0,0.0,0.0
19,entry_exec_bear_momentum,entry_exec_bear_momentum,pre_entry_boolean,higher_clean,0,11,0.0,0,11,0.0,0,,"AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT",11,"AAVEUSDT,NEARUSDT",0.0,0.0,0.0,0.0
20,entry_short_squeeze_risk,entry_short_squeeze_risk,pre_entry_boolean,lower_clean,0,11,0.0,0,11,0.0,0,,"AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT","AAVEUSDT,ADAUSDT,ATOMUSDT,DOGEUSDT,DOTUSDT,ETCUSDT,FILUSDT,LTCUSDT,NEARUSDT,UNIUSDT,XRPUSDT",11,"AAVEUSDT,NEARUSDT",0.0,0.0,0.0,0.0
