field,display_field,symbol,contradiction_class,executed_supports,starter_supports,executed_delta_clean_minus_adverse,starter_delta_clean_minus_adverse,executed_clean_count,executed_adverse_dominant_count,starter_clean_count,starter_adverse_dominant_count,sample_too_small_to_interpret
entry_short_ema20_gap_atr,entry_short_ema20_gap_atr,LTCUSDT,executed_contradiction,False,True,-0.05054819243856168,0.09106571094113308,3,7,9,19,False
entry_short_ema20_gap_atr,entry_short_ema20_gap_atr,NEARUSDT,too_small_sample,True,True,0.15420693229219978,0.022557470820950554,7,2,15,10,True
entry_short_ema20_gap_atr,entry_short_ema20_gap_atr,AAVEUSDT,too_small_sample,True,True,0.19459812067076632,0.11055478840497529,2,6,7,13,True
entry_adx,entry_adx,DOTUSDT,both_contradict,False,False,0.19298556937636846,0.7459624409741679,11,4,33,19,False
entry_adx,entry_adx,ATOMUSDT,starter_contradiction,True,False,-0.6096891402325326,2.7905871313605353,7,7,18,25,False
entry_adx,entry_adx,NEARUSDT,starter_contradiction,True,False,-6.270533119718706,0.6967582378167769,7,2,15,10,True
entry_adx,entry_adx,AAVEUSDT,too_small_sample,True,True,-9.142832293646926,-8.049594051845439,2,6,7,13,True
entry_minus_di,minus_di,FILUSDT,starter_contradiction,True,False,0.12599345664706618,-0.37598305804948495,6,11,21,43,False
entry_minus_di,minus_di,ADAUSDT,executed_contradiction,False,True,-1.1880043295352216,0.7387769521926693,6,5,10,22,False
entry_minus_di,minus_di,LTCUSDT,both_contradict,False,False,-3.499498087642273,-0.3457799808853963,3,7,9,19,False
entry_minus_di,minus_di,NEARUSDT,too_small_sample,True,True,4.283811321539574,1.9707461826312915,7,2,15,10,True
entry_minus_di,minus_di,AAVEUSDT,both_contradict,False,False,-4.006304918638602,-1.37475875365271,2,6,7,13,True
entry_short_resumption_strong,entry_short_resumption_strong,FILUSDT,both_contradict,False,False,-0.015151515151515166,-0.01661129568106312,6,11,21,43,False
entry_short_resumption_strong,entry_short_resumption_strong,ATOMUSDT,both_contradict,False,False,0.0,-0.09111111111111109,7,7,18,25,False
entry_short_resumption_strong,entry_short_resumption_strong,XRPUSDT,starter_contradiction,True,False,0.033333333333333354,-0.06666666666666671,5,6,15,15,False
entry_short_resumption_strong,entry_short_resumption_strong,LTCUSDT,executed_contradiction,False,True,-0.2857142857142857,0.18128654970760233,3,7,9,19,False
entry_short_resumption_strong,entry_short_resumption_strong,NEARUSDT,too_small_sample,True,True,0.5714285714285714,0.23333333333333334,7,2,15,10,True
entry_short_resumption_strong,entry_short_resumption_strong,AAVEUSDT,too_small_sample,True,True,0.16666666666666669,0.2637362637362637,2,6,7,13,True
entry_di_spread,di_spread,UNIUSDT,both_contradict,False,False,1.5782205687891198,0.7548158874799435,7,5,19,16,False
entry_di_spread,di_spread,ADAUSDT,both_contradict,False,False,2.114675859704769,0.8568259543273617,6,5,10,22,False
entry_di_spread,di_spread,LTCUSDT,executed_contradiction,False,True,2.2929531703781336,-2.8599412279689087,3,7,9,19,False
entry_di_spread,di_spread,NEARUSDT,too_small_sample,True,True,-1.9770016507513901,-2.7351677165753343,7,2,15,10,True
