symbol,base_population,field,display_field,field_kind,is_major_candidate_field,expected_direction,observed_direction,supports_expected_direction,contradicts_expected_direction,sample_too_small_to_interpret,clean_count,adverse_dominant_count,clean_avg,clean_median,adverse_dominant_avg,adverse_dominant_median,delta_clean_minus_adverse,median_delta_clean_minus_adverse
FILUSDT,executed_short1,entry_short_ema20_gap_atr,entry_short_ema20_gap_atr,pre_entry_numeric,True,higher_clean,higher_clean,True,False,False,6,11,0.3921946162525696,0.3581774630913209,0.3702238340040095,0.2355471348633517,0.021970782248560083,0.12263032822796924
FILUSDT,executed_short1,entry_adx,entry_adx,pre_entry_numeric,True,lower_clean,lower_clean,True,False,False,6,11,24.682970871658483,22.650202448117767,26.818380588430593,26.07056386605112,-2.1354097167721093,-3.4203614179333535
FILUSDT,executed_short1,entry_exec_distance_atr,entry_exec_distance_atr,pre_entry_numeric,True,lower_clean,lower_clean,True,False,False,6,11,1.0232641256199513,1.1633180951486892,1.2287729613070884,1.246623068788556,-0.20550883568713707,-0.08330497363986678
FILUSDT,executed_short1,entry_atr_ratio,entry_atr_ratio,pre_entry_numeric,False,lower_clean,higher_clean,False,True,False,6,11,1.0563452345812772,1.0232066319313255,1.0194677635964644,0.9930399425832434,0.036877470984812755,0.0301666893480822
FILUSDT,executed_short1,entry_plus_di,plus_di,pre_entry_numeric,True,lower_clean,lower_clean,True,False,False,6,11,15.637562347093544,15.246008053733767,17.49223023348525,16.961346513553877,-1.8546678863917077,-1.71533845982011
FILUSDT,executed_short1,entry_minus_di,minus_di,pre_entry_numeric,False,higher_clean,higher_clean,True,False,False,6,11,25.80537717675823,24.976154446034553,25.679383720111165,25.78938067365388,0.12599345664706618,-0.8132262276193281
FILUSDT,executed_short1,entry_di_spread,di_spread,pre_entry_numeric,True,lower_clean,lower_clean,True,False,False,6,11,-10.16781482966469,-7.117402390562001,-8.187153486625917,-8.403896932065244,-1.9806613430387738,1.2864945415032434
FILUSDT,executed_short1,entry_rsi,entry_rsi,pre_entry_numeric,False,lower_clean,lower_clean,True,False,False,6,11,44.966878716492,45.32596552699286,45.25219736661,45.15175462683468,-0.2853186501180005,0.17421090015817953
FILUSDT,executed_short1,entry_short_resumption_strong,entry_short_resumption_strong,pre_entry_boolean,True,higher_clean,lower_clean,False,True,False,6,11,0.16666666666666666,0.0,0.18181818181818182,0.0,-0.015151515151515166,0.0
FILUSDT,executed_short1,entry_short_resumption,entry_short_resumption,pre_entry_boolean,False,higher_clean,flat,False,True,False,6,11,1.0,1.0,1.0,1.0,0.0,0.0
FILUSDT,executed_short1,entry_short_pullback,entry_short_pullback,pre_entry_boolean,False,higher_clean,flat,False,True,False,6,11,1.0,1.0,1.0,1.0,0.0,0.0
FILUSDT,executed_short1,entry_exec_bear_structure,entry_exec_bear_structure,pre_entry_boolean,False,higher_clean,flat,False,True,False,6,11,1.0,1.0,1.0,1.0,0.0,0.0
FILUSDT,executed_short1,entry_exec_slope_down,entry_exec_slope_down,pre_entry_boolean,False,higher_clean,flat,False,True,False,6,11,1.0,1.0,1.0,1.0,0.0,0.0
FILUSDT,executed_short1,entry_exec_adx_pass,entry_exec_adx_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,6,11,1.0,1.0,1.0,1.0,0.0,0.0
FILUSDT,executed_short1,entry_exec_atr_pass,entry_exec_atr_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,6,11,1.0,1.0,1.0,1.0,0.0,0.0
FILUSDT,executed_short1,entry_exec_distance_pass,entry_exec_distance_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,6,11,1.0,1.0,1.0,1.0,0.0,0.0
