base_population,field,display_field,field_kind,expected_direction,observed_direction,consistent_with_parent_read,include_in_predictor_ranking,parent_read_context,clean_count,adverse_dominant_count,clean_avg,clean_median,adverse_dominant_avg,adverse_dominant_median,delta_clean_minus_adverse,median_delta_clean_minus_adverse
executed_short1,entry_short_ema20_gap_atr,entry_short_ema20_gap_atr,pre_entry_numeric,higher_clean,higher_clean,True,True,below-EMA20 displacement protected followthrough,61,66,0.4424217523474931,0.4004872896972984,0.3696348867818371,0.3642909031066621,0.072786865565656,0.03619638659063629
executed_short1,entry_adx,entry_adx,pre_entry_numeric,lower_clean,lower_clean,True,True,lower pressure / less over-forced bearishness,61,66,24.537588195260575,22.88069927247729,27.49985713481971,25.97336274651228,-2.9622689395591344,-3.092663474034989
executed_short1,entry_exec_distance_atr,entry_exec_distance_atr,pre_entry_numeric,lower_clean,lower_clean,True,True,less extended entry,61,66,1.1155052253972513,1.1805437597817925,1.2206510366089676,1.3014798316741338,-0.10514581121171629,-0.12093607189234135
executed_short1,entry_atr_ratio,entry_atr_ratio,pre_entry_numeric,lower_clean,lower_clean,True,True,less volatility expansion,61,66,0.9970995045345176,0.9699150681152005,1.018147068919869,0.9935399575138815,-0.02104756438535149,-0.023624889398681015
executed_short1,entry_plus_di,plus_di,pre_entry_numeric,lower_clean,lower_clean,True,True,less counter-direction positive DI,61,66,16.734943538080227,17.03607617983211,16.84660697251007,16.934111451574815,-0.11166343442984328,0.10196472825729685
executed_short1,entry_minus_di,minus_di,pre_entry_numeric,higher_clean,higher_clean,True,True,more bearish DI pressure,61,66,24.146634321207905,23.920617123661984,23.706181590476596,23.51584596155294,0.44045273073130886,0.40477116210904285
executed_short1,entry_di_spread,di_spread,pre_entry_numeric,lower_clean,lower_clean,True,True,more bearish DI spread,61,66,-7.411690783127673,-7.171451206863612,-6.85957461796653,-6.028993750166391,-0.5521161651611433,-1.1424574566972208
executed_short1,entry_rsi,entry_rsi,pre_entry_numeric,lower_clean,lower_clean,True,True,weaker bounce pressure,61,66,44.66369260979722,45.14010076699831,44.83997812474418,44.85715020640728,-0.17628551494696154,0.28295056059102563
executed_short1,entry_short_resumption_strong,entry_short_resumption_strong,pre_entry_boolean,higher_clean,higher_clean,True,True,stronger short resumption,61,66,0.5081967213114754,1.0,0.2878787878787879,0.0,0.22031793343268752,1.0
executed_short1,entry_short_resumption,entry_short_resumption,pre_entry_boolean,higher_clean,flat,False,True,short resumption context,61,66,1.0,1.0,1.0,1.0,0.0,0.0
executed_short1,entry_short_pullback,entry_short_pullback,pre_entry_boolean,higher_clean,flat,False,True,short pullback context,61,66,1.0,1.0,1.0,1.0,0.0,0.0
executed_short1,entry_exec_bear_structure,entry_exec_bear_structure,pre_entry_boolean,higher_clean,flat,False,True,bear structure context,61,66,1.0,1.0,1.0,1.0,0.0,0.0
executed_short1,entry_exec_slope_down,entry_exec_slope_down,pre_entry_boolean,higher_clean,flat,False,True,down-slope context,61,66,1.0,1.0,1.0,1.0,0.0,0.0
executed_short1,entry_exec_adx_pass,entry_exec_adx_pass,pre_entry_boolean,higher_clean,flat,False,True,repo-native ADX pass flag,61,66,1.0,1.0,1.0,1.0,0.0,0.0
executed_short1,entry_exec_atr_pass,entry_exec_atr_pass,pre_entry_boolean,higher_clean,flat,False,True,repo-native ATR pass flag,61,66,1.0,1.0,1.0,1.0,0.0,0.0
executed_short1,entry_exec_distance_pass,entry_exec_distance_pass,pre_entry_boolean,higher_clean,flat,False,True,repo-native distance pass flag,61,66,1.0,1.0,1.0,1.0,0.0,0.0
executed_short1,entry_short_distance_cap_pass,entry_short_distance_cap_pass,pre_entry_boolean,higher_clean,flat,False,True,repo-native short distance cap pass,61,66,1.0,1.0,1.0,1.0,0.0,0.0
executed_short1,entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,pre_entry_boolean,higher_clean,flat,False,True,repo-native EMA20 proximity pass,61,66,1.0,1.0,1.0,1.0,0.0,0.0
executed_short1,entry_exec_bear_momentum,entry_exec_bear_momentum,pre_entry_boolean,higher_clean,flat,False,True,bear momentum context,61,66,1.0,1.0,1.0,1.0,0.0,0.0
executed_short1,entry_short_squeeze_risk,entry_short_squeeze_risk,pre_entry_boolean,lower_clean,flat,False,True,less squeeze risk,61,66,0.0,0.0,0.0,0.0,0.0,0.0
executed_short1,entry_short_squeeze_pass,entry_short_squeeze_pass,pre_entry_boolean,higher_clean,flat,False,True,repo-native squeeze pass,61,66,1.0,1.0,1.0,1.0,0.0,0.0
executed_short1,PnL,PnL,executed_outcome_context,descriptive_only,higher_clean,,False,"executed outcome context, not a pre-entry predictor",61,66,42.19280779685967,13.109204045458483,-71.87634185254322,-82.77563117846756,114.06914964940289,95.88483522392605
starter_short_signal,entry_short_ema20_gap_atr,entry_short_ema20_gap_atr,pre_entry_numeric,higher_clean,higher_clean,True,True,below-EMA20 displacement protected followthrough,176,227,0.45540325316131375,0.43042377089060213,0.39058621603881305,0.3644438836744136,0.0648170371225007,0.06597988721618853
starter_short_signal,entry_adx,entry_adx,pre_entry_numeric,lower_clean,lower_clean,True,True,lower pressure / less over-forced bearishness,176,227,24.412010188591136,22.795826666995467,26.76260514141158,25.30873643612044,-2.350594952820444,-2.512909769124974
starter_short_signal,entry_exec_distance_atr,entry_exec_distance_atr,pre_entry_numeric,lower_clean,lower_clean,True,True,less extended entry,176,227,1.1616595331256736,1.1887572662680614,1.1830802149305053,1.1944666796778214,-0.021420681804831698,-0.005709413409759945
starter_short_signal,entry_atr_ratio,entry_atr_ratio,pre_entry_numeric,lower_clean,lower_clean,True,True,less volatility expansion,176,227,1.0107603773834755,0.9848913384500497,1.0234835338132693,0.9983188430633444,-0.012723156429793825,-0.013427504613294672
starter_short_signal,entry_plus_di,plus_di,pre_entry_numeric,lower_clean,lower_clean,True,True,less counter-direction positive DI,176,227,16.226528322624635,16.12602014144291,16.699433765468605,16.906876389595755,-0.4729054428439703,-0.780856248152844
starter_short_signal,entry_minus_di,minus_di,pre_entry_numeric,higher_clean,higher_clean,True,True,more bearish DI pressure,176,227,24.280604607212272,23.89151864401152,23.148116578936293,23.20925283674809,1.1324880282759793,0.6822658072634304
starter_short_signal,entry_di_spread,di_spread,pre_entry_numeric,lower_clean,lower_clean,True,True,more bearish DI spread,176,227,-8.054076284587635,-7.74878040855961,-6.448682813467689,-5.745560691518122,-1.605393471119947,-2.003219717041488
starter_short_signal,entry_rsi,entry_rsi,pre_entry_numeric,lower_clean,lower_clean,True,True,weaker bounce pressure,176,227,44.39655851113722,44.65717506673113,44.72002309307335,44.89023925131557,-0.32346458193612904,-0.23306418458444256
starter_short_signal,entry_short_resumption_strong,entry_short_resumption_strong,pre_entry_boolean,higher_clean,higher_clean,True,True,stronger short resumption,176,227,0.4659090909090909,0.0,0.3303964757709251,0.0,0.13551261513816576,0.0
starter_short_signal,entry_short_resumption,entry_short_resumption,pre_entry_boolean,higher_clean,flat,False,True,short resumption context,176,227,1.0,1.0,1.0,1.0,0.0,0.0
starter_short_signal,entry_short_pullback,entry_short_pullback,pre_entry_boolean,higher_clean,flat,False,True,short pullback context,176,227,1.0,1.0,1.0,1.0,0.0,0.0
starter_short_signal,entry_exec_bear_structure,entry_exec_bear_structure,pre_entry_boolean,higher_clean,flat,False,True,bear structure context,176,227,1.0,1.0,1.0,1.0,0.0,0.0
starter_short_signal,entry_exec_slope_down,entry_exec_slope_down,pre_entry_boolean,higher_clean,flat,False,True,down-slope context,176,227,1.0,1.0,1.0,1.0,0.0,0.0
starter_short_signal,entry_exec_adx_pass,entry_exec_adx_pass,pre_entry_boolean,higher_clean,flat,False,True,repo-native ADX pass flag,176,227,1.0,1.0,1.0,1.0,0.0,0.0
starter_short_signal,entry_exec_atr_pass,entry_exec_atr_pass,pre_entry_boolean,higher_clean,flat,False,True,repo-native ATR pass flag,176,227,1.0,1.0,1.0,1.0,0.0,0.0
starter_short_signal,entry_exec_distance_pass,entry_exec_distance_pass,pre_entry_boolean,higher_clean,flat,False,True,repo-native distance pass flag,176,227,1.0,1.0,1.0,1.0,0.0,0.0
starter_short_signal,entry_short_distance_cap_pass,entry_short_distance_cap_pass,pre_entry_boolean,higher_clean,flat,False,True,repo-native short distance cap pass,176,227,1.0,1.0,1.0,1.0,0.0,0.0
starter_short_signal,entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,pre_entry_boolean,higher_clean,flat,False,True,repo-native EMA20 proximity pass,176,227,1.0,1.0,1.0,1.0,0.0,0.0
starter_short_signal,entry_exec_bear_momentum,entry_exec_bear_momentum,pre_entry_boolean,higher_clean,flat,False,True,bear momentum context,176,227,1.0,1.0,1.0,1.0,0.0,0.0
starter_short_signal,entry_short_squeeze_risk,entry_short_squeeze_risk,pre_entry_boolean,lower_clean,flat,False,True,less squeeze risk,176,227,0.0,0.0,0.0,0.0,0.0,0.0
starter_short_signal,entry_short_squeeze_pass,entry_short_squeeze_pass,pre_entry_boolean,higher_clean,flat,False,True,repo-native squeeze pass,176,227,1.0,1.0,1.0,1.0,0.0,0.0
starter_short_signal,executed_short1,executed_short1,starter_selection_context,descriptive_only,higher_clean,,False,starter execution-selection context,176,227,0.3465909090909091,0.0,0.2907488986784141,0.0,0.055842010412495036,0.0
starter_short_signal,blocked_by_open_trade_context,blocked_by_open_trade_context,starter_selection_context,descriptive_only,lower_clean,,False,starter blocked-context status,176,227,0.6534090909090909,1.0,0.7092511013215859,1.0,-0.055842010412494925,0.0
