symbol,base_population,adverse_dominant_count,mixed_chop_count,clean_followthrough_count,weak_followthrough_count,sample_too_small_to_interpret,adverse_like_field_votes,clean_like_field_votes,weak_like_field_votes,tie_votes,not_testable_votes,mixed_affinity,field_affinity_detail
AAVEUSDT,executed_short1,6,1,2,1,False,3,4,5,5,0,weak_followthrough,fwd_24bar_short_return:weak_followthrough;fwd_24bar_mfe_atr:adverse_dominant;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:clean_followthrough;entry_short_ema20_gap_atr:clean_followthrough;entry_exec_distance_atr:clean_followthrough;entry_adx:weak_followthrough;entry_atr_ratio:weak_followthrough;entry_plus_di:weak_followthrough;entry_minus_di:adverse_dominant;entry_di_spread:adverse_dominant;entry_short_resumption_strong:weak_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie
ADAUSDT,executed_short1,5,2,6,0,False,7,5,0,5,0,adverse_dominant,fwd_24bar_short_return:adverse_dominant;fwd_24bar_mfe_atr:adverse_dominant;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:adverse_dominant;entry_short_ema20_gap_atr:adverse_dominant;entry_exec_distance_atr:clean_followthrough;entry_adx:adverse_dominant;entry_atr_ratio:adverse_dominant;entry_plus_di:clean_followthrough;entry_minus_di:adverse_dominant;entry_di_spread:clean_followthrough;entry_short_resumption_strong:clean_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie
ATOMUSDT,executed_short1,7,3,7,1,False,1,5,5,6,0,inconsistent_or_tied,fwd_24bar_short_return:weak_followthrough;fwd_24bar_mfe_atr:clean_followthrough;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:clean_followthrough;entry_short_ema20_gap_atr:weak_followthrough;entry_exec_distance_atr:weak_followthrough;entry_adx:weak_followthrough;entry_atr_ratio:clean_followthrough;entry_plus_di:weak_followthrough;entry_minus_di:adverse_dominant;entry_di_spread:clean_followthrough;entry_short_resumption_strong:tie;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie
DOGEUSDT,executed_short1,8,0,3,0,True,0,0,0,0,17,sample_too_small_no_mixed_chop,fwd_24bar_short_return:not_testable;fwd_24bar_mfe_atr:not_testable;fwd_24bar_mae_atr:not_testable;mfe_minus_mae_atr:not_testable;entry_short_ema20_gap_atr:not_testable;entry_exec_distance_atr:not_testable;entry_adx:not_testable;entry_atr_ratio:not_testable;entry_plus_di:not_testable;entry_minus_di:not_testable;entry_di_spread:not_testable;entry_short_resumption_strong:not_testable;entry_short_resumption:not_testable;entry_short_pullback:not_testable;entry_exec_bear_momentum:not_testable;entry_short_squeeze_risk:not_testable;entry_short_squeeze_pass:not_testable
DOTUSDT,executed_short1,4,3,11,0,False,1,11,0,5,0,clean_followthrough,fwd_24bar_short_return:clean_followthrough;fwd_24bar_mfe_atr:clean_followthrough;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:clean_followthrough;entry_short_ema20_gap_atr:adverse_dominant;entry_exec_distance_atr:clean_followthrough;entry_adx:clean_followthrough;entry_atr_ratio:clean_followthrough;entry_plus_di:clean_followthrough;entry_minus_di:clean_followthrough;entry_di_spread:clean_followthrough;entry_short_resumption_strong:clean_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie
ETCUSDT,executed_short1,5,1,4,0,False,4,8,0,5,0,clean_followthrough,fwd_24bar_short_return:clean_followthrough;fwd_24bar_mfe_atr:clean_followthrough;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:clean_followthrough;entry_short_ema20_gap_atr:adverse_dominant;entry_exec_distance_atr:clean_followthrough;entry_adx:adverse_dominant;entry_atr_ratio:adverse_dominant;entry_plus_di:adverse_dominant;entry_minus_di:clean_followthrough;entry_di_spread:clean_followthrough;entry_short_resumption_strong:clean_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie
FILUSDT,executed_short1,11,3,6,3,False,4,3,5,5,0,weak_followthrough,fwd_24bar_short_return:weak_followthrough;fwd_24bar_mfe_atr:weak_followthrough;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:weak_followthrough;entry_short_ema20_gap_atr:clean_followthrough;entry_exec_distance_atr:weak_followthrough;entry_adx:adverse_dominant;entry_atr_ratio:adverse_dominant;entry_plus_di:adverse_dominant;entry_minus_di:clean_followthrough;entry_di_spread:adverse_dominant;entry_short_resumption_strong:weak_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie
LTCUSDT,executed_short1,7,1,3,0,False,4,8,0,5,0,clean_followthrough,fwd_24bar_short_return:clean_followthrough;fwd_24bar_mfe_atr:adverse_dominant;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:clean_followthrough;entry_short_ema20_gap_atr:adverse_dominant;entry_exec_distance_atr:adverse_dominant;entry_adx:clean_followthrough;entry_atr_ratio:clean_followthrough;entry_plus_di:adverse_dominant;entry_minus_di:clean_followthrough;entry_di_spread:clean_followthrough;entry_short_resumption_strong:clean_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie
NEARUSDT,executed_short1,2,1,7,1,False,2,3,7,5,0,weak_followthrough,fwd_24bar_short_return:adverse_dominant;fwd_24bar_mfe_atr:weak_followthrough;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:clean_followthrough;entry_short_ema20_gap_atr:weak_followthrough;entry_exec_distance_atr:adverse_dominant;entry_adx:weak_followthrough;entry_atr_ratio:weak_followthrough;entry_plus_di:weak_followthrough;entry_minus_di:weak_followthrough;entry_di_spread:weak_followthrough;entry_short_resumption_strong:clean_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie
UNIUSDT,executed_short1,5,0,7,4,True,0,0,0,0,17,sample_too_small_no_mixed_chop,fwd_24bar_short_return:not_testable;fwd_24bar_mfe_atr:not_testable;fwd_24bar_mae_atr:not_testable;mfe_minus_mae_atr:not_testable;entry_short_ema20_gap_atr:not_testable;entry_exec_distance_atr:not_testable;entry_adx:not_testable;entry_atr_ratio:not_testable;entry_plus_di:not_testable;entry_minus_di:not_testable;entry_di_spread:not_testable;entry_short_resumption_strong:not_testable;entry_short_resumption:not_testable;entry_short_pullback:not_testable;entry_exec_bear_momentum:not_testable;entry_short_squeeze_risk:not_testable;entry_short_squeeze_pass:not_testable
XRPUSDT,executed_short1,6,1,5,1,False,1,7,4,5,0,clean_followthrough,fwd_24bar_short_return:weak_followthrough;fwd_24bar_mfe_atr:clean_followthrough;fwd_24bar_mae_atr:weak_followthrough;mfe_minus_mae_atr:weak_followthrough;entry_short_ema20_gap_atr:clean_followthrough;entry_exec_distance_atr:clean_followthrough;entry_adx:clean_followthrough;entry_atr_ratio:weak_followthrough;entry_plus_di:clean_followthrough;entry_minus_di:adverse_dominant;entry_di_spread:clean_followthrough;entry_short_resumption_strong:clean_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie
AAVEUSDT,starter_short_signal,13,1,7,1,False,1,6,5,5,0,clean_followthrough,fwd_24bar_short_return:weak_followthrough;fwd_24bar_mfe_atr:clean_followthrough;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:clean_followthrough;entry_short_ema20_gap_atr:clean_followthrough;entry_exec_distance_atr:clean_followthrough;entry_adx:weak_followthrough;entry_atr_ratio:weak_followthrough;entry_plus_di:weak_followthrough;entry_minus_di:adverse_dominant;entry_di_spread:clean_followthrough;entry_short_resumption_strong:weak_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie
ADAUSDT,starter_short_signal,22,3,10,1,False,4,4,4,5,0,inconsistent_or_tied,fwd_24bar_short_return:adverse_dominant;fwd_24bar_mfe_atr:weak_followthrough;fwd_24bar_mae_atr:weak_followthrough;mfe_minus_mae_atr:weak_followthrough;entry_short_ema20_gap_atr:adverse_dominant;entry_exec_distance_atr:weak_followthrough;entry_adx:adverse_dominant;entry_atr_ratio:clean_followthrough;entry_plus_di:clean_followthrough;entry_minus_di:clean_followthrough;entry_di_spread:clean_followthrough;entry_short_resumption_strong:adverse_dominant;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie
ATOMUSDT,starter_short_signal,25,5,18,8,False,3,5,4,5,0,clean_followthrough,fwd_24bar_short_return:weak_followthrough;fwd_24bar_mfe_atr:weak_followthrough;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:clean_followthrough;entry_short_ema20_gap_atr:clean_followthrough;entry_exec_distance_atr:weak_followthrough;entry_adx:weak_followthrough;entry_atr_ratio:adverse_dominant;entry_plus_di:clean_followthrough;entry_minus_di:adverse_dominant;entry_di_spread:adverse_dominant;entry_short_resumption_strong:clean_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie
DOGEUSDT,starter_short_signal,30,0,18,8,True,0,0,0,0,17,sample_too_small_no_mixed_chop,fwd_24bar_short_return:not_testable;fwd_24bar_mfe_atr:not_testable;fwd_24bar_mae_atr:not_testable;mfe_minus_mae_atr:not_testable;entry_short_ema20_gap_atr:not_testable;entry_exec_distance_atr:not_testable;entry_adx:not_testable;entry_atr_ratio:not_testable;entry_plus_di:not_testable;entry_minus_di:not_testable;entry_di_spread:not_testable;entry_short_resumption_strong:not_testable;entry_short_resumption:not_testable;entry_short_pullback:not_testable;entry_exec_bear_momentum:not_testable;entry_short_squeeze_risk:not_testable;entry_short_squeeze_pass:not_testable
DOTUSDT,starter_short_signal,19,7,33,4,False,1,7,4,5,0,clean_followthrough,fwd_24bar_short_return:adverse_dominant;fwd_24bar_mfe_atr:weak_followthrough;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:weak_followthrough;entry_short_ema20_gap_atr:weak_followthrough;entry_exec_distance_atr:weak_followthrough;entry_adx:clean_followthrough;entry_atr_ratio:clean_followthrough;entry_plus_di:clean_followthrough;entry_minus_di:clean_followthrough;entry_di_spread:clean_followthrough;entry_short_resumption_strong:clean_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie
ETCUSDT,starter_short_signal,15,1,11,2,False,3,8,1,5,0,clean_followthrough,fwd_24bar_short_return:weak_followthrough;fwd_24bar_mfe_atr:adverse_dominant;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:clean_followthrough;entry_short_ema20_gap_atr:clean_followthrough;entry_exec_distance_atr:clean_followthrough;entry_adx:adverse_dominant;entry_atr_ratio:adverse_dominant;entry_plus_di:clean_followthrough;entry_minus_di:clean_followthrough;entry_di_spread:clean_followthrough;entry_short_resumption_strong:clean_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie
FILUSDT,starter_short_signal,43,5,21,5,False,5,3,4,5,0,adverse_dominant,fwd_24bar_short_return:adverse_dominant;fwd_24bar_mfe_atr:weak_followthrough;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:clean_followthrough;entry_short_ema20_gap_atr:adverse_dominant;entry_exec_distance_atr:weak_followthrough;entry_adx:weak_followthrough;entry_atr_ratio:clean_followthrough;entry_plus_di:adverse_dominant;entry_minus_di:adverse_dominant;entry_di_spread:adverse_dominant;entry_short_resumption_strong:weak_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie
LTCUSDT,starter_short_signal,19,4,9,1,False,2,4,6,5,0,weak_followthrough,fwd_24bar_short_return:weak_followthrough;fwd_24bar_mfe_atr:weak_followthrough;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:weak_followthrough;entry_short_ema20_gap_atr:adverse_dominant;entry_exec_distance_atr:adverse_dominant;entry_adx:clean_followthrough;entry_atr_ratio:clean_followthrough;entry_plus_di:clean_followthrough;entry_minus_di:weak_followthrough;entry_di_spread:weak_followthrough;entry_short_resumption_strong:weak_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie
NEARUSDT,starter_short_signal,10,2,15,1,False,1,5,6,5,0,weak_followthrough,fwd_24bar_short_return:adverse_dominant;fwd_24bar_mfe_atr:weak_followthrough;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:weak_followthrough;entry_short_ema20_gap_atr:weak_followthrough;entry_exec_distance_atr:clean_followthrough;entry_adx:clean_followthrough;entry_atr_ratio:weak_followthrough;entry_plus_di:weak_followthrough;entry_minus_di:clean_followthrough;entry_di_spread:weak_followthrough;entry_short_resumption_strong:clean_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie
