symbol,population_scope,field,expected_direction,executed_followthrough_count,executed_adverse_count,executed_followthrough_avg,executed_followthrough_median,executed_adverse_avg,executed_adverse_median,executed_avg_delta_follow_minus_adverse,executed_median_delta_follow_minus_adverse,supports_expected_direction,contradicts_expected_direction,sample_too_small_to_interpret,starter_followthrough_count,starter_adverse_count,starter_followthrough_avg,starter_followthrough_median,starter_adverse_avg,starter_adverse_median,starter_avg_delta_follow_minus_adverse,starter_median_delta_follow_minus_adverse
FILUSDT,executed_short1,entry_short_ema20_gap_atr,higher_in_followthrough,6.0,17.0,0.3921946162525696,0.3581774630913209,0.3859457797762249,0.3663258795041382,0.006248836476344666,-0.008148416412817272,True,False,False,,,,,,,,
FILUSDT,starter_short_signal,entry_short_ema20_gap_atr,higher_in_followthrough,,,,,,,,,True,False,False,21.0,53.0,0.5150742679232289,0.4804791341172815,0.42023823391343507,0.432859077030864,0.09483603400979379,0.04762005708641748
DOTUSDT,executed_short1,entry_short_ema20_gap_atr,higher_in_followthrough,11.0,7.0,0.47780359677890716,0.5289844243440407,0.4201930017655974,0.4714267975093102,0.057610595013309784,0.05755762683473048,True,False,False,,,,,,,,
DOTUSDT,starter_short_signal,entry_short_ema20_gap_atr,higher_in_followthrough,,,,,,,,,True,False,False,33.0,30.0,0.4289939276471809,0.3984395326581547,0.3917115073130334,0.34045061888691563,0.037282420334147526,0.05798891377123905
ATOMUSDT,executed_short1,entry_short_ema20_gap_atr,higher_in_followthrough,7.0,11.0,0.42679882464716556,0.4359324534918558,0.3943815980338153,0.4133522203182608,0.03241722661335028,0.022580233173594977,True,False,False,,,,,,,,
ATOMUSDT,starter_short_signal,entry_short_ema20_gap_atr,higher_in_followthrough,,,,,,,,,True,False,False,18.0,38.0,0.4302468616270365,0.4420513341893152,0.41642737252962875,0.43993280745115304,0.013819489097407767,0.002118526738162152
UNIUSDT,executed_short1,entry_short_ema20_gap_atr,higher_in_followthrough,7.0,9.0,0.40443420013929327,0.3961379251092972,0.39654301451853186,0.327227376972984,0.00789118562076141,0.0689105481363132,True,False,False,,,,,,,,
UNIUSDT,starter_short_signal,entry_short_ema20_gap_atr,higher_in_followthrough,,,,,,,,,True,False,False,19.0,23.0,0.379620430496656,0.3569538659493279,0.35371685788778284,0.323475309998973,0.02590357260887316,0.03347855595035487
ADAUSDT,executed_short1,entry_short_ema20_gap_atr,higher_in_followthrough,6.0,7.0,0.5045251528297333,0.5196434975178017,0.41583790000198695,0.4367885678608452,0.08868725282774637,0.08285492965695651,True,False,False,,,,,,,,
ADAUSDT,starter_short_signal,entry_short_ema20_gap_atr,higher_in_followthrough,,,,,,,,,True,False,False,10.0,26.0,0.5283203604792597,0.5196434975178017,0.3617195637412092,0.3617252154301599,0.16660079673805045,0.1579182820876418
XRPUSDT,executed_short1,entry_short_ema20_gap_atr,higher_in_followthrough,5.0,8.0,0.3722831346335994,0.3273535892781495,0.3699589907526294,0.37548024134004604,0.00232414388097002,-0.048126652061896535,True,False,False,,,,,,,,
XRPUSDT,starter_short_signal,entry_short_ema20_gap_atr,higher_in_followthrough,,,,,,,,,True,False,False,15.0,19.0,0.4500170381472496,0.4273247269463616,0.3728174724442815,0.3198099476165694,0.0771995657029681,0.1075147793297922
LTCUSDT,executed_short1,entry_short_ema20_gap_atr,higher_in_followthrough,3.0,9.0,0.32942670448506384,0.2344274112247347,0.41059830068379227,0.4897190790691551,-0.08117159619872844,-0.2552916678444204,False,True,False,,,,,,,,
LTCUSDT,starter_short_signal,entry_short_ema20_gap_atr,higher_in_followthrough,,,,,,,,,True,False,False,9.0,25.0,0.46182231153783143,0.4510729217760267,0.37982495173559605,0.3530421030643403,0.08199735980223538,0.0980308187116864
DOGEUSDT,executed_short1,entry_short_ema20_gap_atr,higher_in_followthrough,3.0,8.0,0.46436955868843904,0.5101953493345212,0.4067356103189383,0.4139210212701035,0.057633948369500754,0.09627432806441766,True,False,False,,,,,,,,
DOGEUSDT,starter_short_signal,entry_short_ema20_gap_atr,higher_in_followthrough,,,,,,,,,True,False,False,18.0,38.0,0.5157862104866817,0.5321386493515332,0.45549442477279345,0.4737871371301866,0.06029178571388827,0.0583515122213466
NEARUSDT,executed_short1,entry_short_ema20_gap_atr,higher_in_followthrough,7.0,4.0,0.417158496076296,0.3888556665220594,0.3911719767348034,0.4117905808536727,0.025986519341492598,-0.02293491433161332,True,False,False,,,,,,,,
NEARUSDT,starter_short_signal,entry_short_ema20_gap_atr,higher_in_followthrough,,,,,,,,,False,True,False,15.0,13.0,0.4370391060703388,0.3888556665220594,0.4539047062939815,0.5148655871421335,-0.016865600223642696,-0.1260099206200741
ETCUSDT,executed_short1,entry_short_ema20_gap_atr,higher_in_followthrough,4.0,6.0,0.6080396308828875,0.6418574451661074,0.46344951246465044,0.496790422110743,0.14459011841823705,0.14506702305536445,True,False,False,,,,,,,,
ETCUSDT,starter_short_signal,entry_short_ema20_gap_atr,higher_in_followthrough,,,,,,,,,True,False,False,11.0,18.0,0.46204094094778725,0.4577378003945409,0.37123854557624036,0.424302247957776,0.09080239537154688,0.03343555243676488
AAVEUSDT,executed_short1,entry_short_ema20_gap_atr,higher_in_followthrough,2.0,8.0,0.46893254093797027,0.46893254093797027,0.35953816298107966,0.35855091200146716,0.10939437795689061,0.1103816289365031,True,False,True,,,,,,,,
AAVEUSDT,starter_short_signal,entry_short_ema20_gap_atr,higher_in_followthrough,,,,,,,,,True,False,False,7.0,15.0,0.44404755969149706,0.4045117122745947,0.3710469872646798,0.3548458972937482,0.07300057242681729,0.04966581498084649
