population_scope,combination,core_field,secondary_field,secondary_display,core_expected_direction,secondary_expected_direction,core_supporting_market_count,secondary_supporting_market_count,both_supporting_market_count,testable_market_count,core_only_support_count,secondary_only_support_count,both_contradict_count,value_vs_displacement_alone,both_supporting_markets,new_combo_failure_markets,secondary_only_markets,both_contradict_markets,core_aggregate_avg_delta,secondary_aggregate_avg_delta
executed_short1,displacement_plus_lower_adx,entry_short_ema20_gap_atr,entry_adx,entry_adx,higher_in_followthrough,lower_in_followthrough,10,11,10,11,0,1,0,adds_no_consistency_value,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT",,LTCUSDT,,0.044006740880364326,-2.573878239755821
executed_short1,displacement_plus_lower_entry_exec_distance_atr,entry_short_ema20_gap_atr,entry_exec_distance_atr,entry_exec_distance_atr,higher_in_followthrough,lower_in_followthrough,10,10,9,11,1,1,0,weakens_consistency,"FILUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,XRPUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT",DOTUSDT,LTCUSDT,,0.044006740880364326,-0.12577524935010298
executed_short1,displacement_plus_favorable_di_spread,entry_short_ema20_gap_atr,entry_di_spread,di_spread,higher_in_followthrough,lower_in_followthrough,10,7,7,11,3,0,1,weakens_consistency,"FILUSDT,DOTUSDT,ATOMUSDT,XRPUSDT,DOGEUSDT,NEARUSDT,ETCUSDT","UNIUSDT,ADAUSDT,AAVEUSDT",,LTCUSDT,0.044006740880364326,-0.45188846336410116
executed_short1,displacement_plus_lower_plus_di,entry_short_ema20_gap_atr,entry_plus_di,plus_di,higher_in_followthrough,lower_in_followthrough,10,7,6,11,4,1,0,weakens_consistency,"FILUSDT,XRPUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT","DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT",LTCUSDT,,0.044006740880364326,-0.20953915071999418
executed_short1,displacement_plus_short_resumption_strong,entry_short_ema20_gap_atr,entry_short_resumption_strong,entry_short_resumption_strong,higher_in_followthrough,higher_in_followthrough,10,7,7,11,3,0,1,weakens_consistency,"DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT,DOGEUSDT,NEARUSDT,ETCUSDT","FILUSDT,XRPUSDT,AAVEUSDT",,LTCUSDT,0.044006740880364326,0.1252179979072201
executed_short1,displacement_plus_lower_atr_ratio,entry_short_ema20_gap_atr,entry_atr_ratio,entry_atr_ratio,higher_in_followthrough,lower_in_followthrough,10,9,8,11,2,1,0,weakens_consistency,"DOTUSDT,ATOMUSDT,UNIUSDT,XRPUSDT,DOGEUSDT,NEARUSDT,ETCUSDT,AAVEUSDT","FILUSDT,ADAUSDT",LTCUSDT,,0.044006740880364326,-0.015516525679114879
executed_short1,displacement_plus_higher_minus_di,entry_short_ema20_gap_atr,entry_minus_di,minus_di,higher_in_followthrough,higher_in_followthrough,10,7,7,11,3,0,1,weakens_consistency,"FILUSDT,DOTUSDT,ATOMUSDT,XRPUSDT,DOGEUSDT,NEARUSDT,ETCUSDT","UNIUSDT,ADAUSDT,AAVEUSDT",,LTCUSDT,0.044006740880364326,0.24234931264410875
starter_short_signal,displacement_plus_lower_adx,entry_short_ema20_gap_atr,entry_adx,entry_adx,higher_in_followthrough,lower_in_followthrough,10,8,8,11,2,0,1,weakens_consistency,"FILUSDT,UNIUSDT,ADAUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,ETCUSDT,AAVEUSDT","DOTUSDT,ATOMUSDT",,NEARUSDT,0.05464784415466589,-2.086235505607103
starter_short_signal,displacement_plus_lower_entry_exec_distance_atr,entry_short_ema20_gap_atr,entry_exec_distance_atr,entry_exec_distance_atr,higher_in_followthrough,lower_in_followthrough,10,6,6,11,4,0,1,weakens_consistency,"FILUSDT,DOTUSDT,ATOMUSDT,UNIUSDT,DOGEUSDT,AAVEUSDT","ADAUSDT,XRPUSDT,LTCUSDT,ETCUSDT",,NEARUSDT,0.05464784415466589,-0.03569011234254171
starter_short_signal,displacement_plus_favorable_di_spread,entry_short_ema20_gap_atr,entry_di_spread,di_spread,higher_in_followthrough,lower_in_followthrough,10,8,7,11,3,1,0,weakens_consistency,"FILUSDT,DOTUSDT,ATOMUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,ETCUSDT","UNIUSDT,ADAUSDT,AAVEUSDT",NEARUSDT,,0.05464784415466589,-1.5604189451228994
