symbol,population_scope,displacement_supports,displacement_avg_delta,followthrough_count,adverse_count,sample_too_small_to_interpret,displacement_plus_lower_adx_secondary_supports,displacement_plus_lower_adx_combo_supports,displacement_plus_lower_entry_exec_distance_atr_secondary_supports,displacement_plus_lower_entry_exec_distance_atr_combo_supports,displacement_plus_favorable_di_spread_secondary_supports,displacement_plus_favorable_di_spread_combo_supports,displacement_plus_lower_plus_di_secondary_supports,displacement_plus_lower_plus_di_combo_supports,displacement_plus_short_resumption_strong_secondary_supports,displacement_plus_short_resumption_strong_combo_supports,displacement_plus_lower_atr_ratio_secondary_supports,displacement_plus_lower_atr_ratio_combo_supports,displacement_plus_higher_minus_di_secondary_supports,displacement_plus_higher_minus_di_combo_supports,combos_creating_new_failure,secondary_only_support_when_displacement_contradicts
FILUSDT,executed_short1,True,0.006248836476344666,6,17,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,"displacement_plus_short_resumption_strong,displacement_plus_lower_atr_ratio",
DOTUSDT,executed_short1,True,0.057610595013309784,11,7,False,True,True,False,False,True,True,False,False,True,True,True,True,True,True,"displacement_plus_lower_entry_exec_distance_atr,displacement_plus_lower_plus_di",
ATOMUSDT,executed_short1,True,0.03241722661335028,7,11,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,displacement_plus_lower_plus_di,
UNIUSDT,executed_short1,True,0.00789118562076141,7,9,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,"displacement_plus_favorable_di_spread,displacement_plus_lower_plus_di,displacement_plus_higher_minus_di",
ADAUSDT,executed_short1,True,0.08868725282774637,6,7,False,True,True,True,True,False,False,False,False,True,True,False,False,False,False,"displacement_plus_favorable_di_spread,displacement_plus_lower_plus_di,displacement_plus_lower_atr_ratio,displacement_plus_higher_minus_di",
XRPUSDT,executed_short1,True,0.00232414388097002,5,8,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,displacement_plus_short_resumption_strong,
LTCUSDT,executed_short1,False,-0.08117159619872844,3,9,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,,"displacement_plus_lower_adx,displacement_plus_lower_entry_exec_distance_atr,displacement_plus_lower_plus_di,displacement_plus_lower_atr_ratio"
DOGEUSDT,executed_short1,True,0.057633948369500754,3,8,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
NEARUSDT,executed_short1,True,0.025986519341492598,7,4,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
ETCUSDT,executed_short1,True,0.14459011841823705,4,6,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
AAVEUSDT,executed_short1,True,0.10939437795689061,2,8,True,True,True,True,True,False,False,True,True,False,False,True,True,False,False,"displacement_plus_favorable_di_spread,displacement_plus_short_resumption_strong,displacement_plus_higher_minus_di",
FILUSDT,starter_short_signal,True,0.09483603400979379,21,53,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,"displacement_plus_short_resumption_strong,displacement_plus_lower_atr_ratio,displacement_plus_higher_minus_di",
DOTUSDT,starter_short_signal,True,0.037282420334147526,33,30,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,displacement_plus_lower_adx,
ATOMUSDT,starter_short_signal,True,0.013819489097407767,18,38,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,"displacement_plus_lower_adx,displacement_plus_short_resumption_strong,displacement_plus_lower_atr_ratio",
UNIUSDT,starter_short_signal,True,0.02590357260887316,19,23,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,"displacement_plus_favorable_di_spread,displacement_plus_lower_atr_ratio,displacement_plus_higher_minus_di",
ADAUSDT,starter_short_signal,True,0.16660079673805045,10,26,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,"displacement_plus_lower_entry_exec_distance_atr,displacement_plus_favorable_di_spread,displacement_plus_lower_plus_di",
XRPUSDT,starter_short_signal,True,0.0771995657029681,15,19,False,True,True,False,False,True,True,True,True,False,False,False,False,True,True,"displacement_plus_lower_entry_exec_distance_atr,displacement_plus_short_resumption_strong,displacement_plus_lower_atr_ratio",
LTCUSDT,starter_short_signal,True,0.08199735980223538,9,25,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,displacement_plus_lower_entry_exec_distance_atr,
DOGEUSDT,starter_short_signal,True,0.06029178571388827,18,38,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,displacement_plus_lower_atr_ratio,
NEARUSDT,starter_short_signal,False,-0.016865600223642696,15,13,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,,"displacement_plus_favorable_di_spread,displacement_plus_lower_plus_di,displacement_plus_short_resumption_strong,displacement_plus_lower_atr_ratio,displacement_plus_higher_minus_di"
ETCUSDT,starter_short_signal,True,0.09080239537154688,11,18,False,True,True,False,False,True,True,False,False,True,True,True,True,True,True,"displacement_plus_lower_entry_exec_distance_atr,displacement_plus_lower_plus_di",
AAVEUSDT,starter_short_signal,True,0.07300057242681729,7,15,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,"displacement_plus_favorable_di_spread,displacement_plus_higher_minus_di",
