symbol,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,direction,is_winner,is_loser
BTCUSDT,-0.28162314,63,162,3549.07,3646.4499999999994,7129843963.594989,,-28.43767384136623,1.0132124681664,-0.028451893031131895,2019-01-23 12:00:00+00:00,2019-02-09 00:00:00+00:00,16 days 12:00:00,Short1,short,False,True
ETHUSDT,-8.63275392,69,162,115.77999999999999,118.28000000000002,422416722.29805857,,-22.592175991257758,1.0102911912576,-0.022603472102263142,2019-01-24 12:00:00+00:00,2019-02-09 00:00:00+00:00,15 days 12:00:00,Short1,short,False,True
SOLUSDT,-430.81907322,280,462,2.32,2.0469,30067349.53571799,,116.71601699095979,0.940671905422209,0.11677437499999999,2020-10-08 16:00:00+00:00,2020-11-08 00:00:00+00:00,30 days 08:00:00,Short1,short,True,False
SOLUSDT,-724.54335439,747,792,1.3811,1.8614,14714737.558473378,,-349.1728390268218,1.1746659133047874,-0.34894015639707476,2020-12-25 12:00:00+00:00,2021-01-02 00:00:00+00:00,7 days 12:00:00,Short1,short,False,True
SOLUSDT,-50.25342064,5760,5772,20.26,22.56,82769720.93168734,,-116.65879320790218,1.0759257359024001,-0.11458094768015778,2023-04-10 00:00:00+00:00,2023-04-12 00:00:00+00:00,2 days 00:00:00,Short1,short,False,True
SOLUSDT,-51.25848272,6019,6054,19.84,20.7,47473985.83647395,,-45.12130458393432,1.0390094447344,-0.04436844758064504,2023-05-23 04:00:00+00:00,2023-05-29 00:00:00+00:00,5 days 20:00:00,Short1,short,False,True
SOLUSDT,-49.87818006,6107,6252,20.38,18.3,120917068.25552201,,102.78197052243947,0.9646440023603999,0.10111187438665341,2023-06-06 20:00:00+00:00,2023-07-01 00:00:00+00:00,24 days 04:00:00,Short1,short,True,False
SOLUSDT,-49.61212168,6606,6732,20.51,19.96,60200300.63502711,,26.28276564180528,1.0039012821948001,0.02582959531935651,2023-08-29 00:00:00+00:00,2023-09-19 00:00:00+00:00,21 days 00:00:00,Short1,short,True,False
XRPUSDT,-3149.02410168,58,114,0.3174,0.30083,1374557.64657445,,51.2059187796469,0.9734105851908132,0.05123152173913054,2019-01-22 16:00:00+00:00,2019-02-01 00:00:00+00:00,9 days 08:00:00,Short1,short,True,False
XRPUSDT,-3289.621544,129,162,0.30399,0.30991,921871.3546085489,,-20.48430887341092,1.0097493329308,-0.020484061975723115,2019-02-03 12:00:00+00:00,2019-02-09 00:00:00+00:00,5 days 12:00:00,Short1,short,False,True
